"Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"Si Woo Kim",22529128,7800,69.36,69.72,5.7,96,31.5,76.7,3.7,80.4,0.78,7.43576944093473,0.718,26,0.019,0.035,0.002,0.154,-0.033,-0.009,-0.021,0.016,-0.014,0.881,0.6715,0.0184,0.3965,0.2911,0.162,0.0875,0.0546,0.0196,100,0.1074,34.5,2.51,0.96,0.14,6,2022-05-15,"AT&T Byron Nelson"
"Davis Riley",22529129,7700,61.97,57.47,7.4,87.5,28.5,64.4,1.9,66.3,-0.1,7.34180998860345,0.079,25,0.024,0.047,0.004,0.058,-0.04,-0.061,-0.006,0,-0.067,0.104,0.4961,0.0047,0.1981,0.1241,0.0568,0.0243,0.0133,0.0034,9,0.0628,115.5,0.44,-1,-0.15,7,2022-05-15,"AT&T Byron Nelson"
"Matt Kuchar",22529130,7700,71.23,59.86,3.6,88.5,29,67.8,2.3,70.1,0.08,5.2997691180571,0.732,43,-0.037,-0.129,0.046,-0.334,0,0.082,-0.03,0.022,0.075,0.354,0.5698,0.0089,0.2609,0.173,0.0806,0.0374,0.0216,0.006,12,0.0622,107.5,0.78,-0.66,-0.1,4,2022-05-15,"AT&T Byron Nelson"
"Lanto Griffin",22529131,7700,64.88,63.87,11.8,92.5,30,72.9,3,76,0.5,8.91959242774371,0.621,33,-0.004,0.005,0.016,0.025,-0.04,-0.025,0.009,0.01,-0.006,0.618,0.5993,0.0075,0.3086,0.214,0.1084,0.0527,0.0316,0.0097,51,0.105,87.5,1.26,-0.18,-0.03,12,2022-05-15,"AT&T Byron Nelson"
"Mito Pereira",22529133,7600,67.06,68.27,9.1,95.5,31.5,73.2,3.1,76.4,0.58,9.54449588487133,0.652,27,0.018,0.041,-0.013,0.047,-0.04,-0.029,-0.013,0.01,-0.032,0.674,0.6344,0.0126,0.3362,0.2372,0.1246,0.0625,0.0382,0.0116,17,0.0817,108,1.53,0.2,0.03,9,2022-05-15,"AT&T Byron Nelson"
"Sebastian Munoz",22529134,7600,66.4,64.02,11.4,91.5,30.5,75,3.4,78.4,0.74,9.09963532789094,0.688,29,0.011,-0.002,-0.02,0.115,-0.025,-0.019,-0.018,0.011,-0.026,0.742,0.6465,0.0154,0.3587,0.2576,0.1412,0.0745,0.0455,0.0156,3,0.1181,137,2.05,0.72,0.11,12,2022-05-15,"AT&T Byron Nelson"
"Sepp Straka",22529135,7600,58.32,60.4,9.5,90.5,29.5,74.9,3.3,78.2,0.72,6.88050183938428,0.774,29,0.012,0.107,-0.054,-0.055,-0.006,-0.045,-0.004,0.016,-0.033,0.744,0.6306,0.0094,0.3474,0.2466,0.1301,0.0669,0.04,0.0129,73,0.0886,77,1.7,0.37,0.06,10,2022-05-15,"AT&T Byron Nelson"
"Bubba Watson",22529136,7500,52.4,60.63,3.8,89.5,29.5,75.4,3.5,78.9,0.82,6.87728157571444,0.749,43,-0.035,-0.02,0.063,0.088,-0.04,-0.039,-0.002,0.005,-0.037,0.768,0.6464,0.0157,0.3653,0.2632,0.144,0.076,0.0472,0.0168,100,0.0519,33,2.24,1.04,0.16,4,2022-05-15,"AT&T Byron Nelson"
"Keith Mitchell",22529137,7500,68.14,68.86,12.5,96,31.5,73.9,3.2,77.1,0.69,8.26870820914349,0.669,30,0.008,0.029,0.005,0.061,-0.003,-0.073,0.007,0.005,-0.061,0.707,0.635,0.0154,0.3494,0.2499,0.1336,0.0692,0.0421,0.0141,76,0.1392,77,1.88,0.68,0.1,13,2022-05-15,"AT&T Byron Nelson"
"Kevin Kisner",22529138,7500,63,58.46,2.4,88.58,29.43,67.7,2.3,70,0.17,4.3642236743855,0.447,38,-0.018,-0.018,0.048,-0.203,-0.04,0.061,-0.029,0.018,0.05,0.266,0.5502,0.0094,0.2455,0.1632,0.079,0.0374,0.0216,0.0068,100,0.035,32,0.91,-0.29,-0.04,2,2022-05-15,"AT&T Byron Nelson"
