"Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"Sahith Theegala",22969181,8700,65.77,59.44,10.9,83.5,26.5,60.8,3,63.9,-0.02,8.26775993683985,0.254,24,0.027,0.06,-0.006,0.093,-0.04,-0.048,0.023,0.006,-0.019,0.37,0.6624,0.0098,0.3562,0.2429,0.1202,0.0556,0.0333,0.009,53,0.136,47,1.03,-0.45,-0.07,11,2022-06-12,"RBC Canadian Open"
"Jhonattan Vegas",22969182,8500,66.28,66.99,11.6,90,28.5,63.9,3.7,67.5,0.35,9.6098072070151,0.686,37,-0.017,0.063,0.006,0.001,-0.04,-0.143,0.03,0.001,-0.111,0.588,0.7008,0.0139,0.4117,0.2881,0.1479,0.0694,0.0391,0.0118,53,0.1527,61.5,1.39,0.18,0.03,12,2022-06-12,"RBC Canadian Open"
"Mackenzie Hughes",22969183,8400,56.17,53.49,8.8,80,25,58.6,2.7,61.3,-0.03,9.53081878906193,0.342,31,0.004,0.011,-0.031,-0.103,-0.04,0.003,0.031,0.02,0.055,0.237,0.637,0.0093,0.3199,0.2143,0.1003,0.046,0.0243,0.0072,28,0.0949,72.5,0.86,-0.24,-0.04,9,2022-06-12,"RBC Canadian Open"
"Rasmus Hojgaard",22969184,8300,70.71,59.93,5.5,84.5,26,57.5,2.5,60,-0.04,5.08607098923611,0.015,21,0.037,0.031,0.028,0.074,-0.04,-0.113,0.046,0,-0.067,0.077,0.6077,0.0073,0.289,0.188,0.0864,0.0369,0.0192,0.0052,100,0.1173,20.5,0.63,-0.38,-0.06,5,2022-06-12,"RBC Canadian Open"
"Brendon Todd",22969185,8200,58.06,59.65,16.7,83.5,26.5,59.1,2.8,61.8,0.1,10.7034851741646,0.543,36,-0.014,-0.125,0.014,-0.22,-0.04,0.166,-0.097,0.021,0.089,0.248,0.6402,0.0073,0.3178,0.2116,0.0989,0.0448,0.0243,0.0064,13,0.1561,77.5,0.78,-0.16,-0.02,17,2022-06-12,"RBC Canadian Open"
"Aaron Rai",22969187,7900,57.74,62.48,11.6,85.5,27.5,59.3,2.7,62,0.31,6.3696952863241,0.362,27,0.018,0.016,-0.017,-0.059,-0.04,0.023,-0.049,0.006,-0.02,0.26,0.6445,0.0077,0.3291,0.2187,0.1026,0.045,0.0241,0.0066,13,0.1239,83.5,0.84,0.05,0.01,12,2022-06-12,"RBC Canadian Open"
"Mark Hubbard",22969188,7900,69.72,60.61,5.4,84,27,59,2.7,61.7,0.29,5.57618912390475,0.304,33,-0.001,0.003,0.014,-0.107,-0.04,0.102,-0.024,0.014,0.093,0.265,0.6482,0.0082,0.3292,0.2172,0.1008,0.0457,0.0244,0.0059,44,0.1265,67.5,0.75,-0.04,-0.01,5,2022-06-12,"RBC Canadian Open"
"Cameron Champ",22969189,7800,51.77,50.25,8.4,77,24.5,58.4,2.6,61,0.29,5.90824756167101,0.039,26,0.019,0.025,0.019,0.228,-0.04,-0.18,0.02,-0.015,-0.175,0.114,0.6134,0.0072,0.2957,0.1964,0.0927,0.0431,0.0249,0.0069,100,0.0611,25.5,0.88,0.12,0.02,8,2022-06-12,"RBC Canadian Open"
"Adam Long",22969190,7800,56.19,53.79,8.7,79,25,61.4,3,64.4,0.55,5.42887568771582,0.411,34,-0.007,-0.009,-0.008,-0.003,-0.04,0.057,-0.049,0.008,0.015,0.36,0.6564,0.0133,0.3481,0.2406,0.1221,0.0576,0.0322,0.0097,21,0.0608,65.5,1.24,0.48,0.07,9,2022-06-12,"RBC Canadian Open"
"Patrick Rodgers",22969191,7700,55.29,58.44,7.3,83,26,58.6,2.6,61.3,0.38,4.39825636388197,0.284,29,0.009,-0.08,-0.012,0.092,-0.04,-0.084,0.044,0.004,-0.037,0.216,0.6365,0.0079,0.3142,0.2066,0.0963,0.0418,0.0223,0.0054,18,0.0926,80.5,0.7,-0.03,0,7,2022-06-12,"RBC Canadian Open"
"J.J. Spaun",22969192,7700,60.34,56.37,8.9,82.5,25.5,60.6,2.9,63.5,0.55,6.62234114667446,0.306,31,0.003,0.055,-0.014,0.06,-0.04,0.031,-0.042,0,-0.011,0.359,0.6577,0.0127,0.3488,0.2372,0.117,0.0546,0.0291,0.0076,100,0.0787,24,0.99,0.26,0.04,9,2022-06-12,"RBC Canadian Open"
"Nick Taylor",22969193,7700,54.42,57.95,10.3,82.5,26,57.1,2.4,59.5,0.24,7.26353960173928,0.094,34,-0.005,0.019,0.024,-0.015,-0.038,0.017,-0.002,0.001,0.016,0.094,0.6085,0.0098,0.2874,0.1836,0.0827,0.0368,0.0191,0.0052,28,0.0642,75.5,0.68,-0.05,-0.01,10,2022-06-12,"RBC Canadian Open"
"Dean Burmester",22969194,7600,61.85,58.14,1.4,83,26,56.4,2.3,58.7,0.24,3.38522644328409,0.043,33,-0.001,-0.055,-0.01,0.181,-0.04,-0.157,0.064,-0.004,-0.097,0.021,0.601,0.0062,0.2722,0.1739,0.0776,0.0342,0.0178,0.0046,100,0.0196,19,0.61,-0.08,-0.01,1,2022-06-12,"RBC Canadian Open"
"Dylan Frittelli",22969196,7600,55.05,53.12,9.2,79,24.5,60.8,3,63.8,0.64,6.58205225760026,0.238,32,0.002,0.084,-0.005,0.085,-0.04,-0.057,0.046,0.007,-0.005,0.359,0.6536,0.0118,0.3492,0.2368,0.1153,0.0522,0.0289,0.0084,61,0.0935,49.5,1.11,0.42,0.06,9,2022-06-12,"RBC Canadian Open"
"Austin Smotherman",22969197,7500,57.75,55.26,9.8,81,25.5,54.7,2,56.7,0.15,5.39115453968878,-0.167,28,0.015,0.047,0.015,0.026,-0.04,-0.052,-0.025,-0.014,-0.091,-0.193,0.5596,0.0053,0.2328,0.1464,0.063,0.0268,0.0139,0.0036,44,0.0719,66.5,0.48,-0.18,-0.03,10,2022-06-12,"RBC Canadian Open"
"Tyler Duncan",22969198,7500,55.47,53.51,7.6,80,25,55.4,2.2,57.6,0.22,5.60903495193633,-0.025,32,-0.001,0,0.017,-0.021,-0.04,0.046,-0.055,-0.007,-0.017,-0.087,0.5724,0.0084,0.2483,0.1587,0.0695,0.0294,0.0152,0.0045,100,0.0754,30,0.6,-0.06,-0.01,8,2022-06-12,"RBC Canadian Open"
"Martin Laird",22969199,7500,53.86,56.11,4.7,80.5,25.5,54.4,2.1,56.5,0.14,3.29354303368294,0.084,39,-0.022,-0.117,-0.006,0.086,-0.04,0.008,-0.07,-0.009,-0.071,-0.087,0.5806,0.0049,0.2463,0.1565,0.0659,0.0273,0.0138,0.0032,100,0.0322,24.5,0.43,-0.23,-0.03,5,2022-06-12,"RBC Canadian Open"
"Alex Smalley",22969200,7500,55.52,59.91,6.5,84.5,27,58.8,2.7,61.5,0.52,4.93694294613535,0.151,25,0.023,0.007,0.016,0.112,-0.04,-0.06,-0.013,-0.004,-0.077,0.193,0.6288,0.0081,0.312,0.2066,0.0954,0.0439,0.0232,0.0069,21,0.0593,81.5,0.92,0.26,0.04,7,2022-06-12,"RBC Canadian Open"
"Matt Wallace",22969201,7400,46.21,49.76,6.1,76.5,24.5,48.8,1.3,50.1,-0.12,3.92881402821484,-0.579,31,0.004,0.051,-0.02,0.002,-0.04,-0.007,0.023,-0.005,0.012,-0.571,0.4821,0.0034,0.1548,0.0886,0.0346,0.0131,0.0069,0.0015,35,0.0454,66.5,0.2,-0.41,-0.06,6,2022-06-12,"RBC Canadian Open"
"Danny Willett",22969202,7400,49.12,53.35,1.9,79.5,25.5,55,2.1,57.1,0.25,3.26905732304033,-0.089,34,-0.007,0.011,0.004,-0.008,-0.04,-0.007,0.016,0.005,0.015,-0.114,0.5702,0.0062,0.2412,0.1511,0.064,0.0261,0.0135,0.0035,28,0.0222,75.5,0.47,-0.14,-0.02,2,2022-06-12,"RBC Canadian Open"
"Emiliano Grillo",22969203,7400,51.78,57.34,4.8,83,26,56,2.2,58.3,0.34,4.41483014692225,-0.017,29,0.01,0.041,-0.001,0.053,-0.04,-0.025,-0.039,-0.01,-0.074,-0.028,0.5864,0.0071,0.2608,0.1671,0.0755,0.0336,0.0182,0.0049,28,0.0713,76.5,0.66,0.05,0.01,5,2022-06-12,"RBC Canadian Open"
"John Huh",22969204,7400,55.12,53.68,4,80,25.5,54.2,2,56.2,0.18,3.6278710816253,-0.039,32,0.002,-0.065,-0.015,0.008,-0.04,0.071,-0.046,-0.001,0.024,-0.126,0.5739,0.005,0.2436,0.1507,0.064,0.0265,0.0137,0.0032,25,0.036,70,0.43,-0.18,-0.03,4,2022-06-12,"RBC Canadian Open"
"David Lipsky",22969205,7300,55.48,63.51,8.3,86.5,28,59.1,2.8,61.9,0.68,6.53076965802348,0.31,33,-0.004,0.023,0.011,-0.082,-0.04,0.035,-0.034,0.007,0.008,0.226,0.6298,0.0107,0.3195,0.2146,0.1004,0.0444,0.0242,0.007,100,0.1749,25,0.96,0.4,0.06,8,2022-06-12,"RBC Canadian Open"
"Stephan Jaeger",22969206,7300,49.26,53.42,4.1,80,25.5,56.6,2.2,58.8,0.44,4.49026142761991,0.022,33,-0.001,0.028,-0.019,-0.069,-0.04,0.047,0.025,0.015,0.086,0.008,0.5954,0.0068,0.2717,0.1744,0.0786,0.0339,0.0185,0.0044,100,0.0576,21,0.6,0.04,0.01,4,2022-06-12,"RBC Canadian Open"
"Matthias Schwab",22969207,7300,58.79,62.14,6,85,27.5,56.3,2.3,58.6,0.43,4.65909596086751,0.106,27,0.017,0.063,-0.007,-0.132,-0.04,0.027,0.006,0.012,0.045,0.053,0.6037,0.0091,0.2786,0.1782,0.0787,0.0332,0.0181,0.0042,100,0.117,16.5,0.58,0.02,0,6,2022-06-12,"RBC Canadian Open"
"Greyson Sigg",22969208,7300,55.62,53.76,1.4,79,25.5,54.8,2.1,56.9,0.29,3.02845968643322,-0.219,27,0.018,0.058,0.021,0.032,-0.04,0.035,-0.009,-0.003,0.022,-0.108,0.5783,0.0054,0.2459,0.1538,0.0668,0.0264,0.0134,0.0034,100,0.0129,16,0.47,-0.09,-0.01,1,2022-06-12,"RBC Canadian Open"
"Ryan Armour",22969209,7300,47.38,56.92,5.2,82.5,25.5,54.3,2,56.3,0.25,3.04868440589024,-0.109,46,-0.045,-0.01,0.03,-0.011,-0.04,0.091,-0.094,-0.006,-0.008,-0.193,0.5564,0.0053,0.2269,0.143,0.0607,0.025,0.013,0.0035,35,0.0334,62,0.48,-0.08,-0.01,5,2022-06-12,"RBC Canadian Open"
"Joseph Bramlett",22969210,7200,50.88,54.44,2.5,80.5,25,54.2,2,56.2,0.3,2.67853480890219,-0.368,34,-0.005,0.129,0.025,0.238,-0.04,-0.134,0.037,-0.015,-0.112,-0.132,0.5645,0.0077,0.2373,0.1502,0.0649,0.0274,0.0143,0.0033,100,0.0134,16.5,0.46,-0.05,-0.01,2,2022-06-12,"RBC Canadian Open"
"Nick Hardy",22969211,7200,53.43,55.11,2.2,81.5,25.5,54.9,2.1,57,0.37,3.56721853374958,-0.213,26,0.021,0.048,0.025,0.102,-0.04,-0.065,0.027,-0.01,-0.047,-0.104,0.5718,0.008,0.2471,0.1555,0.0682,0.0281,0.0148,0.0042,35,0.0196,71,0.58,0.07,0.01,2,2022-06-12,"RBC Canadian Open"
"J.T. Poston",22969212,7200,46.22,52.35,9.5,79,24.5,59.5,2.7,62.2,0.76,5.95119257157068,0.227,29,0.012,-0.022,0.029,-0.013,-0.04,0.002,-0.004,0.008,0.005,0.198,0.6256,0.0101,0.3097,0.2064,0.0956,0.0427,0.0226,0.0059,100,0.1057,20,0.82,0.31,0.05,10,2022-06-12,"RBC Canadian Open"
"Rory Sabbatini",22969213,7200,60.07,56.32,5.4,81.5,25.5,54.5,2.1,56.6,0.33,4.02257066576812,0.113,46,-0.044,-0.106,0.032,-0.157,-0.04,0.092,-0.024,0.007,0.074,-0.129,0.5635,0.0052,0.2401,0.1519,0.0654,0.0271,0.0138,0.0034,100,0.1014,25.5,0.47,-0.04,-0.01,5,2022-06-12,"RBC Canadian Open"
"Trey Mullinax",22969215,7100,50.16,51.75,2,78,24.5,52,1.7,53.6,0.17,1.7070592236397,-0.48,29,0.009,0.046,-0.009,0.224,-0.04,-0.135,0.054,-0.02,-0.101,-0.351,0.526,0.0039,0.2,0.1194,0.0482,0.0195,0.0096,0.0022,69,0.0111,54,0.31,-0.15,-0.02,2,2022-06-12,"RBC Canadian Open"
"Chase Seiffert",22969216,7100,54.25,54.23,2.3,80,25.5,51.9,1.7,53.6,0.16,1.86278379486231,-0.414,30,0.006,0.026,0.025,0.018,-0.04,0.052,-0.024,-0.006,0.022,-0.356,0.5212,0.0043,0.1973,0.1194,0.05,0.0199,0.0103,0.0024,28,0.0154,67,0.34,-0.12,-0.02,2,2022-06-12,"RBC Canadian Open"
"Brandt Snedeker",22969217,7100,44.61,52.95,4,78.5,25.5,49.4,1.4,50.8,-0.02,2.39940188269386,-0.358,41,-0.029,-0.11,-0.014,-0.064,-0.053,0.096,-0.018,0,0.078,-0.549,0.4787,0.0041,0.1571,0.0898,0.0316,0.011,0.0058,0.0012,48,0.029,62.5,0.17,-0.29,-0.04,4,2022-06-12,"RBC Canadian Open"
"Brian Stuard",22969218,7100,47.56,53.23,1.8,79,25,50.9,1.6,52.5,0.08,1.97653100517979,-0.208,39,-0.022,-0.107,0.042,-0.133,-0.017,0.186,-0.087,0.003,0.102,-0.344,0.5187,0.0064,0.1883,0.1101,0.0437,0.0175,0.0088,0.002,100,0.0175,17.5,0.28,-0.18,-0.03,2,2022-06-12,"RBC Canadian Open"
"Adam Svensson",22969219,7100,53.52,56.82,14.2,80.5,25.5,56,2.2,58.3,0.53,8.00841459361342,-0.054,28,0.014,-0.023,0.015,0.028,-0.04,0.037,-0.03,-0.006,0.002,-0.059,0.5814,0.0066,0.2575,0.1646,0.0718,0.0297,0.0158,0.0041,21,0.1402,79.5,0.58,0.12,0.02,14,2022-06-12,"RBC Canadian Open"
"Doug Ghim",22969221,7000,52.29,57.77,10.3,82.5,26,60.1,2.9,63,0.95,6.23021800608195,0.093,26,0.022,0.021,-0.013,0.283,-0.04,0.019,-0.056,-0.006,-0.042,0.323,0.6552,0.0115,0.3434,0.2296,0.1106,0.05,0.0278,0.0076,18,0.0926,73.5,1.09,0.68,0.1,10,2022-06-12,"RBC Canadian Open"
"Lee Hodges",22969222,7000,51.85,53.59,2.7,81.35,25.5,54,2,56,0.41,2.80399637615839,-0.237,26,0.019,0.004,0.023,0.083,-0.04,0.003,-0.012,-0.007,-0.016,-0.164,0.5609,0.0073,0.2306,0.1404,0.059,0.0234,0.0115,0.0027,48,0.0198,62,0.39,-0.02,0,3,2022-06-12,"RBC Canadian Open"
"Peter Malnati",22969223,7000,56.79,49.59,4.8,76,24,55.2,2.1,57.3,0.52,3.54179437680241,0.097,34,-0.007,-0.043,-0.008,-0.143,-0.04,0.026,0.031,0.011,0.069,-0.076,0.573,0.008,0.2468,0.1548,0.0667,0.0289,0.0154,0.0036,100,0.054,16,0.51,0.1,0.01,5,2022-06-12,"RBC Canadian Open"
"Andrew Novak",22969224,7000,53,53.8,1.7,81,26,53.5,1.9,55.4,0.37,2.82517972051296,-0.231,27,0.018,0.012,0.016,-0.036,-0.04,0.005,0.028,-0.001,0.032,-0.228,0.5517,0.0053,0.2218,0.1353,0.0565,0.0242,0.0126,0.0032,64,0.0203,52.5,0.46,0.05,0.01,2,2022-06-12,"RBC Canadian Open"
"Hank Lebioda",22969225,7000,44.25,53.81,2.8,79.5,25,51.4,1.7,53.1,0.19,2.34970408416404,-0.205,28,0.014,-0.001,-0.019,-0.13,-0.04,0.035,-0.003,0.006,0.038,-0.343,0.5237,0.006,0.1984,0.1205,0.0506,0.0197,0.0095,0.0022,28,0.0172,67.5,0.31,-0.1,-0.01,3,2022-06-12,"RBC Canadian Open"
"Scott Piercy",22969226,7000,48.76,51.8,1.8,78.5,24.5,54.1,2,56.1,0.42,2.85102627425192,-0.145,43,-0.036,-0.031,0.004,0.063,-0.04,0.011,0.011,-0.004,0.018,-0.168,0.5585,0.0074,0.2303,0.1414,0.0597,0.0235,0.012,0.0033,21,0.0139,81,0.47,0.06,0.01,2,2022-06-12,"RBC Canadian Open"
"Hayden Buckley",22969228,6900,49.98,50.54,1.7,77.5,24.5,49.5,1.4,51,0.09,1.27891674930848,-0.619,26,0.021,-0.017,-0.015,0.202,-0.04,0.001,-0.033,-0.023,-0.056,-0.524,0.4878,0.0047,0.1632,0.0928,0.0363,0.0139,0.0065,0.0016,100,0.0081,26.5,0.23,-0.13,-0.02,2,2022-06-12,"RBC Canadian Open"
"Wyndham Clark",22969229,6900,53.85,48.25,3.7,75.5,24,55.5,2.2,57.6,0.6,4.06870026652946,-0.151,28,0.014,0.029,0.014,0.169,-0.04,-0.145,0.064,0.006,-0.074,-0.04,0.5834,0.0082,0.2594,0.1642,0.0723,0.0291,0.0148,0.0037,7,0.0514,92,0.54,0.18,0.03,4,2022-06-12,"RBC Canadian Open"
"Luke Donald",22969230,6900,48.91,52.74,4.2,78,25,50.5,1.5,52,0.17,2.95989715929262,-0.17,44,-0.039,-0.107,0.045,-0.286,-0.005,0.094,0.021,0.009,0.124,-0.439,0.5008,0.0046,0.1752,0.1025,0.0404,0.0162,0.0083,0.0017,100,0.0198,28.5,0.25,-0.11,-0.02,4,2022-06-12,"RBC Canadian Open"
"Kramer Hickok",22969231,6900,45.46,50.93,1.3,76.5,24.5,53.8,2,55.8,0.46,2.66137012014123,-0.198,30,0.008,-0.037,0.007,0.132,-0.04,0.03,-0.043,-0.006,-0.02,-0.148,0.5642,0.0054,0.2338,0.145,0.0614,0.0247,0.0134,0.003,61,0.019,56,0.43,0.07,0.01,1,2022-06-12,"RBC Canadian Open"
"Sean O'Hair",22969234,6800,53.94,48.85,0.89,75.5,24,47.3,1.2,48.4,-0.02,1.72308330205654,-0.626,39,-0.024,0.009,-0.003,0.047,-0.048,-0.021,-0.012,-0.008,-0.041,-0.687,0.4624,0.0025,0.1456,0.0823,0.0305,0.012,0.0056,0.0015,64,0.0114,44.5,0.22,-0.1,-0.01,1,2022-06-12,"RBC Canadian Open"
"Wesley Bryan",22969235,6800,53.64,53.29,1.7,79.85,25,48,1.2,49.3,0.03,1.31101346432494,-0.452,32,0.002,0.021,-0.01,-0.345,-0.04,0.037,0.05,0.007,0.093,-0.731,0.4522,0.0032,0.1407,0.0814,0.0314,0.0114,0.0056,0.0015,100,0.0162,25,0.22,-0.1,-0.01,2,2022-06-12,"RBC Canadian Open"
"Bill Haas",22969236,6800,53.46,44.73,1.5,71.5,23,50.3,1.4,51.7,0.21,1.31103855327715,-0.301,40,-0.024,-0.08,0.02,-0.092,-0.047,0.013,0.035,0.006,0.054,-0.47,0.5047,0.0039,0.1724,0.0986,0.038,0.0138,0.0064,0.0014,100,0.0254,22,0.21,-0.11,-0.02,1,2022-06-12,"RBC Canadian Open"
"Justin Lower",22969237,6800,56.85,40.35,2.6,68.5,22,50.9,1.6,52.5,0.27,2.22713673679884,-0.354,33,-0.002,-0.012,-0.007,-0.008,-0.04,0.027,0.004,-0.011,0.019,-0.403,0.5111,0.0056,0.1883,0.1118,0.0454,0.0174,0.0084,0.0018,35,0.0131,64,0.26,-0.06,-0.01,3,2022-06-12,"RBC Canadian Open"
"Ryan Moore",22969238,6800,46.44,49.62,1.9,76.5,24,46.7,1.1,47.8,-0.04,1.17408873505336,-0.279,39,-0.022,-0.16,-0.216,-0.097,-0.04,0.113,-0.075,-0.016,0.022,-0.791,0.4416,0.0025,0.1275,0.0692,0.0238,0.0083,0.0043,8e-04,35,0.0082,75.5,0.12,-0.2,-0.03,2,2022-06-12,"RBC Canadian Open"
"Vaughn Taylor",22969239,6800,50.79,51.64,5.5,78,24.5,48.9,1.4,50.3,0.1,2.21139252445189,-0.391,46,-0.045,-0.085,0.007,-0.07,-0.04,0.126,-0.055,-0.005,0.067,-0.557,0.4828,0.005,0.161,0.0949,0.0369,0.0131,0.0062,0.0013,48,0.0243,55.5,0.19,-0.13,-0.02,5,2022-06-12,"RBC Canadian Open"
"Harry Higgs",22969240,6800,45.79,46.69,2.7,74,23.5,52.3,1.7,54,0.39,2.7277562972036,-0.324,30,0.007,0.074,-0.004,-0.027,-0.04,-0.008,0.035,0.006,0.034,-0.282,0.5384,0.0072,0.2074,0.1277,0.0534,0.0217,0.0107,0.0022,100,0.0155,13,0.32,0,0,3,2022-06-12,"RBC Canadian Open"
"Carlos Ortiz",22969242,6700,56.76,49.87,7.4,77,24,53.5,1.9,55.4,0.56,3.24030937013257,-0.133,31,0.005,0.017,-0.038,-0.025,-0.04,-0.023,0.023,-0.002,-0.002,-0.215,0.5476,0.008,0.22,0.1352,0.055,0.0218,0.0111,0.0029,46,0.0554,60,0.43,0.16,0.02,7,2022-06-12,"RBC Canadian Open"
"Brice Garnett",22969243,6700,49.7,54.79,3.9,80.5,25.5,52.7,1.8,54.5,0.49,2.90827814553359,-0.089,38,-0.02,-0.053,-0.006,-0.055,-0.04,0.051,-0.044,0,0.008,-0.254,0.5424,0.0043,0.2115,0.1272,0.0513,0.0204,0.0101,0.0024,100,0.038,21,0.36,0.09,0.01,4,2022-06-12,"RBC Canadian Open"
"Paul Barjon",22969244,6700,46.35,46.47,0.69,74,23.5,47.4,1.2,48.6,0.04,1.44015765940064,-0.917,29,0.01,0.095,-0.013,0.243,-0.04,-0.086,0.017,-0.028,-0.098,-0.72,0.4536,0.0031,0.1357,0.0754,0.0261,0.0097,0.0046,0.001,46,0.0048,68,0.15,-0.12,-0.02,1,2022-06-12,"RBC Canadian Open"
"Ben Kohles",22969245,6700,54,44.63,1.2,72.5,22.5,49.8,1.4,51.2,0.24,1.78989576627326,-0.476,32,0.001,0.029,0.02,-0.094,-0.04,0.081,-0.005,-0.004,0.072,-0.488,0.4953,0.0044,0.169,0.0972,0.0372,0.0146,0.0065,0.0013,100,0.0022,20,0.19,-0.08,-0.01,1,2022-06-12,"RBC Canadian Open"
"Callum Tarren",22969246,6700,54.18,47.75,4.3,75.5,24,51.9,1.7,53.5,0.42,2.17187939897905,-0.36,31,0.003,0.05,0.018,0.045,-0.04,-0.111,0.063,-0.011,-0.059,-0.343,0.5328,0.0045,0.2009,0.1191,0.0486,0.0201,0.0101,0.0022,100,0.0262,23,0.33,0.06,0.01,4,2022-06-12,"RBC Canadian Open"
"Charley Hoffman",22969247,6700,45.74,52.84,5.1,79,25,50,1.4,51.4,0.25,3.08865580383966,-0.355,45,-0.042,-0.049,-0.103,0.043,0.005,-0.053,0.039,-0.013,-0.026,-0.527,0.4837,0.0055,0.1647,0.097,0.0379,0.0148,0.0074,0.0019,35,0.0235,62,0.28,0.01,0,5,2022-06-12,"RBC Canadian Open"
"Camilo Villegas",22969248,6600,45.47,47.87,1.2,74.5,24,48.7,1.3,49.9,0.2,1.08483787212275,-0.696,40,-0.025,-0.087,0.005,0.137,-0.038,0.046,0.033,-0.012,0.067,-0.637,0.4718,0.0036,0.1502,0.086,0.0318,0.0123,0.0063,0.0013,100,0.0079,27,0.2,-0.02,0,1,2022-06-12,"RBC Canadian Open"
"Jonathan Byrd",22969249,6600,51.83,45.54,1.3,72.5,23,50,1.5,51.4,0.32,2.04691407260701,-0.486,44,-0.038,0.011,0.065,-0.121,-0.039,0.059,0.02,0.007,0.086,-0.523,0.4935,0.004,0.171,0.1013,0.0389,0.016,0.008,0.0019,100,0.0092,25,0.29,0.07,0.01,1,2022-06-12,"RBC Canadian Open"
"Rafa Cabrera Bello",22969250,6600,41.4,46.34,0.75,73,23.5,45.6,1,46.7,-0.02,0.96272708583886,-0.84,38,-0.017,0.004,-0.032,0.038,-0.04,0.073,-0.01,-0.004,0.059,-0.83,0.4229,0.0036,0.1152,0.0617,0.0209,0.0075,0.0035,7e-04,64,0.0048,43,0.11,-0.11,-0.02,1,2022-06-12,"RBC Canadian Open"
"Sam Ryder",22969252,6600,51.4,52.43,2.7,79.5,25,54.3,2,56.3,0.69,3.48295952255667,-0.037,32,0.001,0.032,0.014,-0.106,-0.04,0.033,-0.01,0.001,0.023,-0.112,0.575,0.0049,0.2465,0.1528,0.0645,0.0265,0.013,0.0033,100,0.0332,20,0.5,0.28,0.04,3,2022-06-12,"RBC Canadian Open"
"Brandon Hagy",22969253,6600,42.32,41.97,0.79,69.5,22.5,47.8,1.2,49,0.13,0.851616147202102,-0.865,31,0.005,0.064,-0.013,0.219,-0.04,-0.147,0.094,-0.017,-0.07,-0.7,0.4544,0.0039,0.1391,0.0795,0.0302,0.0111,0.0054,0.001,64,0.0018,51.5,0.15,-0.07,-0.01,1,2022-06-12,"RBC Canadian Open"
"Kelly Kraft",22969254,6600,39.28,37.74,0.18,65.5,21,45.1,1,46.1,-0.04,0.801533324990046,-0.844,33,-0.003,0.06,0.017,-0.118,-0.04,0.078,-0.022,-0.01,0.046,-0.883,0.4215,0.0021,0.1122,0.0625,0.0207,0.0075,0.004,9e-04,13,0.0019,87,0.14,-0.08,-0.01,0,2022-06-12,"RBC Canadian Open"
"Danny Lee",22969255,6600,48.24,49.54,7.3,77.5,24,54,1.9,56,0.67,3.40889793184891,-0.092,31,0.003,-0.101,-0.017,0.06,-0.047,-0.016,0.008,-0.012,-0.019,-0.213,0.5454,0.0076,0.2218,0.1379,0.0584,0.0236,0.0119,0.0028,10,0.0485,85,0.42,0.2,0.03,7,2022-06-12,"RBC Canadian Open"
"David Lingmerth",22969256,6500,50.2,49.36,3.2,76.5,24,47.7,1.2,48.9,0.18,0.870630955581024,-0.7,34,-0.007,-0.069,0.101,-0.092,-0.04,0.147,-0.044,-0.004,0.099,-0.708,0.4557,0.0036,0.1426,0.0799,0.0299,0.011,0.0054,0.0014,100,0.02,30.5,0.22,0.05,0.01,3,2022-06-12,"RBC Canadian Open"
"Cameron Percy",22969257,6500,49.25,51.15,2.7,77.5,24.5,47,1.2,48.2,0.13,1.69778705888875,-0.428,48,-0.051,-0.078,-0.061,-0.072,-0.036,0.061,-0.007,-0.016,0.038,-0.687,0.4513,0.0037,0.1353,0.0752,0.0265,0.0099,0.0048,9e-04,59,0.0103,55.5,0.14,-0.03,0,3,2022-06-12,"RBC Canadian Open"
"Trevor Werbylo",22969258,6500,56.97,38.12,0.32,66,21,42.2,0.7,42.9,-0.11,0.169866991125806,-1.209,24,0.028,0.004,0.056,0.01,-0.04,-0.002,0.03,-0.026,0.002,-1.148,0.37,0.0026,0.0843,0.0441,0.0133,0.0039,0.0016,3e-04,100,0.0051,31.5,0.05,-0.12,-0.02,0,2022-06-12,"RBC Canadian Open"
"Dylan Wu",22969259,6500,48.12,46.97,0.71,74.5,23.5,49.1,1.3,50.5,0.31,1.54871955861835,-0.619,25,0.022,0.031,0,0.003,-0.04,-0.009,0.014,-0.004,0.001,-0.602,0.4729,0.0055,0.155,0.0876,0.0321,0.0116,0.0061,0.0013,100,0.0056,16.5,0.2,0.03,0,1,2022-06-12,"RBC Canadian Open"
"Curtis Thompson",22969260,6500,43.31,47.34,0.22,75,23.5,46.2,1.1,47.2,0.06,0.933749287901769,-0.824,29,0.011,0.011,0.025,0.106,-0.04,-0.082,0.055,-0.017,-0.044,-0.755,0.4408,0.0036,0.1264,0.0675,0.0232,0.0082,0.0036,8e-04,100,0.0013,21.5,0.12,-0.05,-0.01,0,2022-06-12,"RBC Canadian Open"
