"","Name","ID","Salary","ceil","fpts","total_pts","odds_open","odds_close","odds_delta_per","odds_rank","win","residuals","proj_own","own_change","own"
"1","Scottie Scheffler",22969164,11100,106.5,87.45,102.68,0.0904,0.0942,0.042,2,0.104,-1.01,18,7.45,0.25
"2","Justin Thomas",22969165,10900,118.35,91.54,102.68,0.0795,0.0855,0.0755,3,0.0907,-0.73,17.2,9.31,0.27
"3","Rory McIlroy",22969166,10500,110,89.91,97.43,0.0808,0.0957,0.1844,1,0.0927,2.25,21.1,9.65,0.31
"4","Cameron Smith",22969167,10300,102.5,83.71,69.89,0.0651,0.0749,0.1505,4,0.0723,1.19,14.1,8.23,0
"5","Shane Lowry",22969168,10100,99.5,80.96,67.67,0.0432,0.0521,0.206,6,0.0549,-0.2,12.8,6.15,0
"6","Sam Burns",22969169,10000,97,76.76,72.31,0.0549,0.0531,-0.0328,5,0.0466,0.29,11.3,6.44,0.18
"7","Harold Varner III",22969171,9700,93,72.33,77.56,0.0263,0.0262,-0.0038,10,0.0266,-1.37,9.3,4.27,0.14
"8","Corey Conners",22969172,9600,97,77.7,66.37,0.037,0.0394,0.0649,7,0.0339,0.32,19.3,5.89,0.04
"9","Tyrrell Hatton",22969173,9500,97.5,76.44,66.37,0.0298,0.037,0.2416,8,0.03,0.38,14.3,6.54,0.07
"10","Tony Finau",22969174,9400,95.5,75.25,66.37,0.0303,0.0331,0.0924,9,0.029,0.27,17.1,5.54,0.23
"11","Adam Hadwin",22969175,9300,88.5,66.01,75.82,0.0192,0.0237,0.2344,11,0.0126,-0.45,15.8,4.46,0.2
"12","Sebastian Munoz",22969176,9200,90,67.26,69.47,0.0191,0.0181,-0.0524,13,0.0184,-0.8,9.5,4.31,0.14
"13","Chris Kirk",22969177,9100,93.5,73.72,71.62,0.0184,0.0199,0.0815,12,0.0189,-0.36,14.1,4.84,0.19
"14","Keith Mitchell",22969178,9000,87.85,65.17,72.62,0.0179,0.0176,-0.0168,14,0.0166,-0.39,10.9,4.34,0.15
"15","Justin Rose",22969180,8800,85.5,61.91,64.05,0.014,0.0126,-0.1,18,0.0101,-0.55,8.2,3.61,0.12
"16","Sahith Theegala",22969181,8700,83.5,59.44,60.16,0.0128,0.0126,-0.0156,18,0.009,-0.37,9.4,3.72,0.13
