"","Name","ID","Salary","ceil","fpts","total_points","fpts_avg","course_fit","final_prediction","win","residuals","proj_own_avg","own_change","own"
"44","Ryan Fox",28153689,7100,85,63.76,55.9,59.83,-0.6,0.46,0.0032,-0.14,5.65,-2.77,0.05
"45","Seamus Power",28153690,7100,79.5,54.67,57.8,56.24,0.16,0.607,0.0037,-0.07,3.76,0.69,0.05
"46","Patrick Rodgers",28153691,7100,82,59.39,58.7,59.05,-0.13,0.75,0.0043,0.02,1.95,-0.58,0.05
"47","Thomas Detry",28153692,7100,80.5,57.13,55.1,56.12,0.1,0.422,0.0032,-0.14,2.17,0.38,0.05
"48","Nicolai Hojgaard",28153693,7000,81.5,57.74,52.1,54.92,-1.35,0.174,0.0019,-0.29,2.92,-6.22,0
"49","Stephan Jaeger",28153694,7000,81,58.33,59.9,59.11,0.66,0.799,0.0057,0.25,4.76,3.1,0.1
"50","Beau Hossler",28153695,7000,74.5,48.39,56.8,52.59,0.27,0.562,0.0046,0.1,1.27,1.27,0
"51","Hayden Buckley",28153696,7000,79,54.2,59.4,56.8,-0.55,0.725,0.0056,0.24,2.58,-2.36,0.05
"52","Davis Riley",28153697,6900,77,51.63,51.9,51.76,-0.74,0.188,0.0018,-0.25,1.3,-3.46,0
"53","Justin Suh",28153698,6900,76,50.66,52.5,51.58,-1.13,0.214,0.0017,-0.26,4.38,-5.22,0
"54","Adam Svensson",28153699,6900,79.5,55.55,57.8,56.67,-0.02,0.602,0.0045,0.14,6.5,-0.02,0.05
"55","Eric Cole",28153700,6900,79.85,56.89,53.5,55.2,-0.16,0.324,0.0026,-0.13,3.7,-0.79,0.05
"56","Joseph Bramlett",28153701,6900,77.5,52.72,53,52.86,-0.38,0.323,0.002,-0.22,1.15,-1.82,0
"57","Lucas Herbert",28153702,6800,73,45.97,58.2,52.08,-0.6,0.619,0.0047,0.22,2.27,-2.59,0
"58","Adam Schenk",28153703,6800,77.5,52.75,55.7,54.23,-0.26,0.443,0.0026,-0.09,3.15,-1.22,0.05
"59","Alex Smalley",28153704,6800,78.5,53.5,59,56.25,0.16,0.683,0.0045,0.19,2.93,0.82,0.05
"60","J.J. Spaun",28153705,6800,77.5,52.35,58.1,55.23,0.38,0.625,0.0041,0.13,1.17,1.78,0.05
"61","J.T. Poston",28153706,6800,79,55.05,57.7,56.38,0.18,0.624,0.0043,0.16,1.29,0.89,0.05
"62","Kevin Streelman",28153707,6700,77.5,53.16,54.5,53.83,0.1,0.394,0.0024,-0.06,4.99,0.42,0.05
"63","Will Gordon",28153708,6700,75,49.43,52.7,51.06,-0.96,0.203,0.0016,-0.18,1.14,-4.41,0
"64","Brendon Todd",28153709,6700,76.5,51.36,57.9,54.63,1.48,0.674,0.0046,0.27,4.6,6.8,0.1
"65","Garrick Higgo",28153710,6700,74,47.86,50.5,49.18,-1.12,0.082,0.0017,-0.17,0.76,-5.13,0
"66","Taylor Pendrith",28153711,6700,77,52.49,49.1,50.8,-1.43,-0.089,0.001,-0.27,1.95,-6.57,0
"67","Sepp Straka",28153712,6600,76,50.08,55.5,52.79,-0.48,0.441,0.0033,0.12,5.7,-2.1,0.05
"68","Luke List",28153713,6600,73,46.51,49.8,48.16,-1.84,0.041,0.0015,-0.15,0.95,-8.36,0
"69","Brandon Wu",28153714,6600,77.5,52.77,56.4,54.58,-0.07,0.502,0.0032,0.1,2.16,-0.27,0.05
"70","Seonghyeon Kim",28153715,6600,76.5,51.07,51.7,51.39,-0.59,0.162,0.0022,-0.05,0.93,-2.68,0.05
"71","Austin Eckroat",28153716,6600,76.5,50.86,53.4,52.13,-0.69,0.28,0.0022,-0.05,5.04,-3.13,0.05
"72","Alex Noren",28153717,6500,74.5,48.66,52.5,50.58,0.56,0.286,0.0024,0.05,1.31,2.55,0.05
"73","Mackenzie Hughes",28153719,6500,70,43.02,54.2,48.61,0.18,0.348,0.0025,0.06,1.44,0.84,0
"74","Matthew NeSmith",28153721,6500,76,50.66,55.7,53.18,-0.05,0.479,0.0036,0.23,4.08,-0.11,0.05
"75","Mark Hubbard",28153722,6500,75.5,50.28,54.2,52.24,0.19,0.39,0.0021,0,4.44,0.86,0.05
"76","Andrew Putnam",28153723,6400,75,49.49,57.9,53.7,0.83,0.686,0.004,0.35,5.23,3.91,0
"77","Robby Shelton",28153724,6400,73,47,53.6,50.3,0.31,0.324,0.0023,0.09,2.15,1.44,0
"78","Ben Griffin",28153725,6400,76.85,52.26,52.8,52.53,-0.03,0.267,0.0025,0.12,1.83,-0.07,0
"79","Joel Dahmen",28153726,6400,72,45.3,49.9,47.6,-0.39,0.05,0.0017,0,1.7,-1.76,0
"80","Nick Hardy",28153727,6400,72.5,45.71,49.9,47.8,-1.04,0.046,0.0011,-0.1,0.73,-4.73,0
"81","David Lipsky",28153728,6400,73,46.09,51.5,48.8,0.12,0.125,0.0016,-0.02,1.29,0.53,0
"82","Chad Ramey",28153729,6400,64.35,36.53,48.5,42.52,-0.66,-0.097,0.0011,-0.1,0.46,-3.02,0
"83","Matt Wallace",28153731,6300,71.5,44.43,49.1,46.76,0.05,-0.055,0.001,-0.05,1.21,0.2,0
"84","Francesco Molinari",28153732,6300,71,44,49.1,46.55,-0.31,-0.092,0.0011,-0.04,0.9,-1.42,0
"85","Lee Hodges",28153733,6300,74,47.44,54.7,51.07,-0.57,0.345,0.0031,0.28,1.98,-2.42,0
"86","Scott Stallings",28153734,6300,75.5,49.45,52.5,50.98,-0.47,0.207,0.002,0.11,1.08,-2.06,0
"87","Danny Willett",28153735,6300,74,46.96,51.5,49.23,0.07,0.153,0.0016,0.04,0.66,0.34,0
"88","Stewart Cink",28153736,6300,72,45.2,47.3,46.25,-1.16,-0.224,0.001,-0.05,0.55,-5.24,0
"89","Sam Ryder",28153737,6300,72.5,46.19,48.1,47.14,-0.76,-0.113,9e-04,-0.07,0.64,-3.46,0
"90","Chez Reavie",28153738,6200,69.5,42.25,50.6,46.42,-0.4,0.069,0.0012,0.05,2.54,-1.78,0
"91","MJ Daffue",28153739,6200,72.5,45.62,45.7,45.66,-1.79,-0.359,5e-04,-0.06,0.75,-8.09,0
"92","Chris Gotterup",28153740,6200,71.5,43.87,47.2,45.53,-1.1,-0.246,8e-04,-0.01,2.1,-4.96,0
"93","Adam Long",28153741,6200,72.5,45.55,46.6,46.08,-0.28,-0.185,7e-04,-0.03,0.22,-1.28,0
"94","Lucas Glover",28153742,6200,72,45.44,47.3,46.37,-0.8,-0.187,0.0012,0.05,1.04,-3.58,0
"95","Zach Johnson",28153743,6200,65.5,37.61,43.7,40.66,-0.68,-0.454,5e-04,-0.06,0.28,-3.09,0
"96","Brandt Snedeker",28153744,6200,71,43.78,39.8,41.79,-0.89,-0.847,0,-0.14,0.4,-4.08,0
"97","Ben Taylor",28153745,6200,70,42.29,44,43.14,-1.06,-0.444,0,-0.14,0.46,-4.84,0
