"offPlayer","offTeam","defPlayer","defTeam","advantage","expectedSnaps"
"DeAndre Hopkins","ARZ","All Defenders","CAR","84.55773835","57.35342296"
"DeAndre Hopkins","ARZ","Donte Jackson","CAR","80.50292968","45.79870405"
"DeAndre Hopkins","ARZ","Keith Taylor","CAR","72.29452187","2.310943782"
"DeAndre Hopkins","ARZ","Myles Hartsfield","CAR","89.47955263","9.24377513"
"Christian Kirk","ARZ","All Defenders","CAR","48.34245896","51.17718583"
"Christian Kirk","ARZ","Donte Jackson","CAR","57.94246049","10.77399122"
"Christian Kirk","ARZ","Keith Taylor","CAR","50.15471504","30.7063115"
"Christian Kirk","ARZ","Myles Hartsfield","CAR","65.12689916","10.23543717"
"Rondale Moore","ARZ","All Defenders","CAR","50.91856331","36.37645947"
"Rondale Moore","ARZ","Donte Jackson","CAR","59.85954373","3.994116392"
"Rondale Moore","ARZ","Keith Taylor","CAR","52.04788126","2.472548243"
"Rondale Moore","ARZ","Myles Hartsfield","CAR","67.2512561","30.38822669"
"Olamide Zaccheaus","ATL","All Defenders","DAL","46.00508656","43.06924378"
"Olamide Zaccheaus","ATL","Trevon Diggs","DAL","52.83641035","17.44154627"
"Olamide Zaccheaus","ATL","Anthony Brown","DAL","46.04179698","12.34831021"
"Olamide Zaccheaus","ATL","Jourdan Lewis","DAL","62.33813354","13.40909309"
"Tajae Sharpe","ATL","All Defenders","DAL","50.52218445","45.43008573"
"Tajae Sharpe","ATL","Trevon Diggs","DAL","58.66002957","13.27371051"
"Tajae Sharpe","ATL","Anthony Brown","DAL","51.75349203","20.05805144"
"Tajae Sharpe","ATL","Jourdan Lewis","DAL","68.60886525","11.79885379"
"Russell Gage","ATL","All Defenders","DAL","51.05533091","42.67910747"
"Russell Gage","ATL","Trevon Diggs","DAL","57.22962415","8.298715342"
"Russell Gage","ATL","Anthony Brown","DAL","50.35057758","10.37339418"
"Russell Gage","ATL","Jourdan Lewis","DAL","67.06863945","23.71061526"
"Sammy Watkins","BLT","All Defenders","MIA","41.62705031","45.86485737"
"Sammy Watkins","BLT","Byron Jones","MIA","46.70284029","28.93487646"
"Sammy Watkins","BLT","Xavien Howard","MIA","37.40173638","8.311081537"
"Sammy Watkins","BLT","Justin Coleman","MIA","75.44645247","8.618899371"
