"","G","G","G","G","G","G"
"1",22064239,22064242,22064261,22064279,22064298,22064299
"2",22064239,22064242,22064261,22064279,22064298,22064299
"3",22064239,22064242,22064267,22064269,22064298,22064299
"4",22064239,22064242,22064264,22064276,22064298,22064300
"5",22064239,22064242,22064264,22064276,22064298,22064302
"6",22064242,22064244,22064247,22064294,22064298,22064299
"7",22064239,22064242,22064264,22064286,22064295,22064296
"8",22064239,22064242,22064264,22064286,22064294,22064297
"9",22064239,22064242,22064267,22064276,22064295,22064298
"10",22064239,22064242,22064264,22064276,22064301,22064302
"11",22064239,22064242,22064264,22064275,22064300,22064301
"12",22064239,22064242,22064264,22064297,22064298,22064299
"13",22064239,22064242,22064267,22064272,22064294,22064300
"14",22064239,22064242,22064264,22064284,22064295,22064296
"15",22064239,22064242,22064264,22064287,22064289,22064298
"16",22064239,22064242,22064263,22064286,22064293,22064294
"17",22064239,22064242,22064262,22064287,22064294,22064298
"18",22064239,22064242,22064258,22064295,22064298,22064302
"19",22064239,22064242,22064264,22064287,22064295,22064297
"20",22064239,22064242,22064263,22064286,22064295,22064297
