"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"31","Cameron Young",22064270,7500,65.46,0.0054,0.0082,40,0.0028,0.5185,59.97,3.4,83,27,1.09,1,-0.27,18.09,20,0.0356,105.5,"2022-04-14","RBC Heritage"
"32","Ian Poulter",22064271,7500,47.85,0.0101,0.0069,52,-0.0032,-0.3168,57.34,6.6,81,26.5,0.92,1,-0.44,4.27,10,0.0393,70,"2022-04-14","RBC Heritage"
"33","Luke List",22064272,7400,60.67,0.0075,0.0071,48,-0.000399999999999999,-0.0533,61.88,3.7,85,27.5,0.96,1,-0.3,9,15,0.0348,25.5,"2022-04-14","RBC Heritage"
"34","Troy Merritt",22064273,7400,68.38,0.0087,0.0086,37,-9.99999999999994e-05,-0.0115,54,4.2,79,25.5,1.16,1,-0.1,9.73,15,0.0702,84.5,"2022-04-14","RBC Heritage"
"35","Dylan Frittelli",22064274,7400,53.91,0.0053,0.0061,57,8e-04,0.1509,49.79,4.1,75,24.5,0.82,1,-0.44,11.5,15,0.0309,50.5,"2022-04-14","RBC Heritage"
"36","J.J. Spaun",22064276,7300,65.83,0.009,0.0082,40,-0.000799999999999999,-0.0889,53.75,5.6,79.07,25,1.12,1,-0.05,8.44,15,0.0921,23,"2022-04-14","RBC Heritage"
"37","Russell Knox",22064277,7300,63.94,0.011,0.0114,29,0.000400000000000001,0.0364,57.24,7.7,81.07,26,1.56,1,0.39,11.11,20,0.0698,28,"2022-04-14","RBC Heritage"
"38","Erik Van Rooyen",22064278,7300,63.79,0.0092,0.0074,45,-0.0018,-0.1957,58.5,4.7,83,26.5,1.01,1,-0.16,6.66,10,NA,NA,"2022-04-14","RBC Heritage"
"39","Sepp Straka",22064279,7200,57.97,0.0071,0.0089,36,0.0018,0.2535,55.56,5.1,80,26,1.24,1,0.16,14.36,20,0.0639,100,"2022-04-14","RBC Heritage"
"40","Denny McCarthy",22064280,7200,66.69,0.0101,0.0079,42,-0.0022,-0.2178,52.6,4.9,77.5,25,1.1,1,0.02,6.09,10,0.0784,63,"2022-04-14","RBC Heritage"
"41","Stewart Cink",22064281,7200,52.25,0.0023,0.01,32,0.0077,3.3478,48.4,3.6,75.5,24.5,1.39,1,0.31,35.63,40,0.0343,60.5,"2022-04-14","RBC Heritage"
"42","Lucas Glover",22064282,7200,65.96,0.0066,0.0079,42,0.0013,0.197,55.96,3.2,80.5,26,1.1,1,0.02,13,15,0.0449,59,"2022-04-14","RBC Heritage"
"43","Charles Howell III",22064283,7100,63.15,0.0094,0.01,32,6e-04,0.0638,61.37,4.6,84,27,1.41,1,0.41,11.55,15,0.0539,17,"2022-04-14","RBC Heritage"
"44","Sahith Theegala",22064284,7100,65.29,0.0023,0.0058,60,0.0035,1.5217,55.83,4.4,80.5,25.5,0.82,1,-0.18,26.86,30,0.0441,49,"2022-04-14","RBC Heritage"
"45","Patton Kizzire",22064285,7100,61.2,0.0077,0.0079,42,0.000200000000000001,0.026,59.23,5.9,83,26.5,1.11,1,0.11,10.49,15,0.0442,77,"2022-04-14","RBC Heritage"
"46","Aaron Wise",22064286,7100,65.33,0.0101,0.0106,30,5e-04,0.0495,58.44,5,82,26.5,1.49,1,0.49,11.39,15,0.0365,72,"2022-04-14","RBC Heritage"
"47","Anirban Lahiri",22064287,7100,51.63,0.0039,0.0055,64,0.0016,0.4103,49.04,4.4,75,24.5,0.77,1,-0.23,14.71,20,0.0263,56.5,"2022-04-14","RBC Heritage"
"48","Cameron Tringale",22064288,7000,68.18,0.0071,0.0056,62,-0.0015,-0.2113,58.44,5.2,82,26.5,0.8,1,-0.12,7.36,15,0.046,75,"2022-04-14","RBC Heritage"
"49","Davis Riley",22064289,7000,61.07,0.0033,0.005,66,0.0017,0.5152,53.53,4.6,79.07,25.5,0.71,1,-0.21,15.9,20,0.0194,29,"2022-04-14","RBC Heritage"
"50","Rickie Fowler",22064290,7000,55.86,0.003,0.005,66,0.002,0.6667,53.62,3.9,78.5,25.5,0.71,1,-0.21,18.29,20,0.0216,14.5,"2022-04-14","RBC Heritage"
"51","C.T. Pan",22064291,7000,62.89,0.0052,0.0065,55,0.0013,0.25,54.79,4.8,80,25.5,0.93,1,0.01,13.23,20,0.0432,62,"2022-04-14","RBC Heritage"
"52","Scott Stallings",22064292,7000,58.19,0.0055,0.0076,44,0.0021,0.3818,52.55,2.8,77.5,25,1.09,1,0.17,15.79,20,0.0214,17.5,"2022-04-14","RBC Heritage"
"53","Charley Hoffman",22064293,6900,51.33,0.0026,0.0022,106,-4e-04,-0.1538,54.93,0.9,80.5,25.5,0.32,1,-0.54,9.03,10,0.0076,23,"2022-04-14","RBC Heritage"
