"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_pass","opponent","def_rank","prsh_rank","cov_rank","btt_twp","avg_depth_of_target","ttt_run_p2s","avg_time_to_throw","grades_run","pressure_to_sack_rate","att_game","yards_game","ypa"
"1","Tanner Mordecai","SMU",8100,34.73,32,"Healthy",-17.5,72.5,84.7,"USF",NA,NA,NA,3,10,7.2,2.66,48.3,17.9,37.2,309.5,8.3
"2","Jayden Daniels","LSU",8500,31.46,25,"Late Nov - Shoulder",-3.5,60.5,73.5,"ARK",90,23,119,4.2,7.4,8.2,2.9,89.9,31.7,29.9,221.6,7.4
"3","Hendon Hooker","TENN",8300,29.68,18,"Healthy",-19.5,57.5,85.8,"MIZZ",12,25,11,4.1,11.7,7.3,2.67,78.4,28.6,28.1,281.4,10
"4","KJ Jefferson","ARK",6500,24.5,16,"Healthy",3.5,60.5,87.6,"LSU",30,42,91,2.4,9.6,12.3,3.09,71.7,18,27.9,247.6,8.9
"5","Katravis Marsh","USF",5000,17.66,16,"Healthy",17.5,72.5,67.2,"SMU",121,130,115,2.2,8.5,5.1,2.21,54.5,23.8,21.5,165.8,7.7
"6","C.J. Stroud","OSU",9500,31.15,10,"Healthy",-40.5,61,83.5,"IU",93,112,111,1.3,10.7,9.5,2.77,57.2,16.7,27.7,272.1,9.8
"7","Michael Pratt","TUL",6100,20.76,10,"Healthy",-1,54.5,73.7,"UCF",67,96,58,1.1,8.9,8.7,2.73,87.4,27.5,26.8,229.6,8.6
"8","Malik Cunningham","UL",7600,24.57,9,"Healthy",NA,NA,65.4,"CLEM",21,7,52,1.1,9.7,11.6,3.04,76.6,20,24.9,184.5,7.4
"9","Hunter Dekkers","ISU",5700,20.48,9,"Healthy",-1.5,48,74.7,"OKST",74,58,74,1,7.1,9.1,2.56,59.4,16.8,39.6,263.3,6.7
"10","Dillon Gabriel","OU",8000,26.42,8,"Healthy",-8.5,68.5,79.7,"WVU",116,69,124,6.3,9.7,8,2.59,76.1,24.5,29.8,254.2,8.5
"11","J.J. McCarthy","MICH",6500,23.29,6,"Healthy",-30.5,49.5,80.8,"NEB",94,28,77,2,9.4,14.4,2.72,68.7,13,21.8,179.4,8.2
"12","Jaxson Dart","MISS",6400,21.95,6,"Healthy",NA,NA,69.5,"BAMA",6,24,14,1.8,11.9,30.5,2.78,76.9,7,24,212.3,8.8
"13","Grant Wells","VT",6000,19.51,6,"Healthy",10,50,66.8,"DUKE",56,10,85,1.5,8.9,8,2.72,65.3,22.2,31.6,205.7,6.5
"14","Brady Cook","MIZZ",5600,16.85,6,"Healthy",19.5,57.5,66.2,"TENN",101,108,106,1.1,8.3,7.9,2.6,70.9,23.2,28,199.7,7.1
"15","Bryce Young","BAMA",9300,24.85,4,"Healthy",-11.5,65,90.1,"MISS",48,44,48,2.2,10,18.7,3,63.5,10.2,34,279.1,8.2
"16","JT Daniels","WVU",6700,21.03,4,"Late Nov - Shoulder",8.5,68.5,69.9,"OU",104,122,112,1,9.2,7,2.48,51.3,18.1,35,226.9,6.5
"17","Taulia Tagovailoa","UMD",6600,18.05,4,"Healthy",10.5,57,87.5,"PSU",81,21,62,1.1,7.5,9.6,3.07,58.8,18.9,32.4,259.2,8
"18","Sean Clifford","PSU",7200,18.17,3,"Healthy",-10.5,57,73.8,"UMD",78,126,43,1.3,8.8,15.6,2.8,60.8,10.9,28.6,227.2,8
"19","DJ Uiagalelei","CLEM",7100,23.25,3,"Healthy",-7,52,77.7,"UL",NA,NA,NA,3.3,9.6,8.9,2.53,63.9,18.2,30.4,221.6,7.3
"20","Aidan O'Connell","PUR",6200,14.69,3,"Healthy",6.5,44.5,70.1,"IL",3,46,3,0.9,8.5,9.1,2.47,58.9,16,44.8,304.6,6.8
"21","Drew Pyne","ND",6000,16.97,3,"Healthy",-17,40.5,68,"NAVY",108,30,128,3,8,11.8,2.95,55.4,13.8,22.8,159.8,7
"22","Tommy DeVito","IL",5900,16.55,3,"Healthy",-6.5,44.5,83.3,"PUR",92,37,103,2.3,6.9,7.5,2.46,71.3,23.5,28.2,208.7,7.4
"23","Riley Leonard","DUKE",7900,24.37,2,"Healthy",-10,50,65.8,"VT",64,38,92,2.6,7.4,15.8,2.69,78.6,13.4,27.3,203.9,7.5
"24","Garret Rangel","OKST",7500,18.07,2,"Healthy",1.5,48,76.3,"ISU",62,104,71,1.1,7.9,9,2.68,42,12.5,21,152,7.2
"25","Chubba Purdy","NEB",5400,11.58,2,"Healthy",30.5,49.5,25.8,"MICH",4,27,6,0.2,10.9,9.3,3.26,61.6,21.7,7.2,18.2,2.5
"26","Mikey Keene","UCF",7600,14.23,1,"Healthy",1,54.5,92.1,"TUL",14,64,5,2.6,9.6,8.6,2.84,43.1,14.3,24.5,197.5,8.1
"27","Connor Bazelak","IU",5800,10.87,1,"Prob Sat - Undisclosed",40.5,61,53.4,"OSU",5,26,18,0.7,8.4,10.6,2.47,63.3,14.7,47.6,262.4,5.5
"28","Maasai Maynor","NAVY",5000,4.67,1,"Healthy",17,40.5,41.9,"ND",38,86,54,1.2,16.8,4,3.18,63.6,50,5,81,16.2
"29","Jalen Milroe","BAMA",8400,NA,0,"Healthy",-11.5,65,32.3,"MISS",48,44,48,0,7.5,8.8,3.2,76.8,27.8,8,45.7,5.7
"30","Kyle McCord","OSU",8200,NA,0,"Healthy",-40.5,61,76.6,"IU",93,112,111,NA,4.4,Inf,2.23,54.8,0,3.6,33,9.2
"31","John Rhys Plumlee","UCF",7800,NA,0,"Ques Sat - Undisclosed",1,54.5,77.3,"TUL",14,64,5,1.1,8.9,8.4,2.91,68,23.6,26.9,237.4,8.8
"32","Spencer Sanders","OKST",7700,NA,0,"Ques Sat - Undisclosed",1.5,48,67.7,"ISU",62,104,71,0.9,10,17.9,2.72,73.9,11.2,36,272,7.6
"33","Davis Beville","OU",7400,NA,0,"Healthy",-8.5,68.5,50.1,"WVU",116,69,124,0,10.9,2.3,2.94,59.3,75,10,34,3.4
"34","Gunnar Gundy","OKST",7300,NA,0,"Healthy",1.5,48,44.6,"ISU",62,104,71,0,7.4,8.8,2.5,78,22.2,13.5,72,5.3
"35","Garrett Nussmeier","LSU",7000,NA,0,"Healthy",-3.5,60.5,54.7,"ARK",90,23,119,0.5,7.8,Inf,2.19,60.8,0,13,107.7,8.3
"36","Kevin Jennings","SMU",6900,NA,0,"Healthy",-17.5,72.5,73.9,"USF",NA,NA,NA,1.1,8.2,1.7,2.12,39.5,50,11,91,8.3
"37","Joe Milton III","TENN",6800,NA,0,"Healthy",-19.5,57.5,67.4,"MIZZ",12,25,11,2.3,16.1,Inf,3.29,77.5,0,5.5,90,16.4
"38","Thomas Castellanos","UCF",6800,NA,0,"Healthy",1,54.5,78.5,"TUL",14,64,5,NA,1.8,Inf,1.44,81.9,0,2.7,22.7,8.5
"39","Ty Lenhart","DUKE",6500,NA,0,"Healthy",-10,50,NA,"VT",64,38,92,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Garrett Greene","WVU",6300,2.51,0,"Healthy",8.5,68.5,68.5,"OU",104,122,112,NA,14.1,Inf,2.56,73.9,0,5,34.3,6.9
"41","Alan Bowman","MICH",6200,NA,0,"Healthy",-30.5,49.5,56.3,"NEB",94,28,77,NA,4,NA,2.53,NA,0,3.5,30,8.6
"42","Drew Allar","PSU",6100,2.36,0,"Healthy",-10.5,57,73.7,"UMD",78,126,43,Inf,9.7,10.6,2.89,68.7,18.8,6.1,40.6,6.6
"43","Brock Domann","UL",6000,NA,0,"Healthy",NA,NA,61.8,"CLEM",21,7,52,0,12.6,25.8,2.65,46.8,4.8,10.8,81.8,7.6
"44","Casey Thompson","NEB",6000,NA,0,"Out Sat - Elbow",30.5,49.5,78.8,"MICH",4,27,6,1.6,11.1,12.7,2.74,77.7,16.7,28.4,252.9,8.9
"45","Billy Edwards Jr.","UMD",6000,NA,0,"Healthy",10.5,57,65.5,"PSU",81,21,62,2.1,10.2,8.1,3.16,81.9,32.1,8.8,52.6,6
"46","Malik Hornsby","ARK",5900,NA,0,"Healthy",3.5,60.5,59.4,"LSU",30,42,91,0.5,11.4,24.1,3.62,66.6,10,4.2,55.2,13
"47","Logan Smothers","NEB",5800,NA,0,"Healthy",30.5,49.5,76.2,"MICH",4,27,6,Inf,9.8,4.8,2.76,68.9,40,5.5,40.5,7.4
"48","Cade Klubnik","CLEM",5600,NA,0,"Healthy",-7,52,49.8,"UL",NA,NA,NA,0.6,8.2,10.3,3.56,64.3,22.2,4,17,4.3
"49","Jack Tuttle","IU",5600,NA,0,"out for season - Shoulder",40.5,61,73.4,"OSU",5,26,18,NA,3.3,3.4,2.53,58.3,42.9,12,82,6.8
"50","Steve Angeli","ND",5500,NA,0,"Healthy",-17,40.5,NA,"NAVY",108,30,128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Xavier Arline","NAVY",5400,4.67,0,"Healthy",17,40.5,26.9,"ND",38,86,54,0,13.8,9.3,3.7,62.6,25,1.7,1,0.6
"52","Jason Brown","VT",5300,NA,0,"Healthy",10,50,72.7,"DUKE",56,10,85,Inf,11,NA,2.74,NA,66.7,6,31.5,5.3
"53","Austin Burton","PUR",5300,NA,0,"Healthy",6.5,44.5,70.4,"IL",3,46,3,0,4.9,14.4,2.71,59.1,11.1,16,99.5,6.2
"54","Artur Sitkowski","IL",5200,NA,0,"Healthy",-6.5,44.5,56.1,"PUR",92,37,103,1,4.7,Inf,2.29,66.2,0,8.3,37,4.4
"55","Dexter Williams II","IU",5200,NA,0,"Healthy",40.5,61,42.6,"OSU",5,26,18,0,11.8,Inf,3.05,65.1,0,11,41,3.7
"56","Kai Horton","TUL",5200,NA,0,"Healthy",-1,54.5,46.3,"UCF",67,96,58,0,14.7,4,2.56,66.9,42.9,7.7,55,7.2
"57","Luke Altmyer","MISS",5100,NA,0,"Healthy",NA,NA,50.1,"BAMA",6,24,14,0,10.6,7.6,2.42,52.2,16.7,5.7,41.7,7.4
"58","Nate Glantz","ISU",5000,NA,0,"Healthy",-1.5,48,NA,"OKST",74,58,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Jordan Smith","USF",4800,NA,0,"out for season - Undisclosed",17.5,72.5,NA,"SMU",121,130,115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Jack Abraham","MIZZ",4700,NA,0,"Healthy",19.5,57.5,47.2,"TENN",101,108,106,0,14.6,NA,2.42,NA,0,3,17,5.7
