"","Name","week","TeamAbbrev","Salary","Own","FPTS","sum_sd","FPTS_vs_proj","FPTS_dollar","ppo","advantage","yprr","man_yprr","man_rank","opponent"
"27","Olamide Zaccheaus",15,"ATL",3500,0.3,7.3,-0.382,1.1,0.00209,24.3,59.2,0.99,0.46,22,"SF"
"28","Nick Westbrook-Ikhine",15,"TEN",4200,1.2,7.2,-0.211,0.8,0.00171,6,48.4,1.31,0.85,25,"PIT"
"29","Chester Rogers",15,"TEN",3200,0.1,7,-0.419,1.2,0.00219,70,44.8,0.96,0.95,25,"PIT"
"30","James Washington",15,"PIT",3500,1.2,6.6,NA,1.6,0.00189,5.5,NA,0.84,0.35,15,"TEN"
"31","Michael Gallup",15,"DAL",5500,8.8,6.2,0.415,0.6,0.00113,0.7,67.2,1.38,2.49,21,"NYG"
"32","Antoine Wesley",15,"ARI",3000,0.2,4.9,NA,0.7,0.00163,24.5,NA,0.99,1.23,18,"DET"
"33","Allen Lazard",15,"GB",4000,7.8,4.8,-0.356,0.5,0.0012,0.6,44.1,0.94,1.44,3,"BAL"
"34","Brandon Aiyuk",15,"SF",6300,8.1,4.6,0.183,0.4,0.00073,0.6,65,1.49,1.24,12,"ATL"
"35","Tee Higgins",15,"CIN",6500,7.5,4.3,1.453,0.3,0.00066,0.6,88.5,2.22,2.3,1,"DEN"
"36","Darius Slayton",15,"NYG",4500,0.5,4.3,-0.49,0.7,0.00096,8.6,27.9,1.07,1.87,5,"DAL"
"37","Devin Duvernay",15,"BAL",3600,0.6,4.3,-1.101,1.2,0.00119,7.2,23.3,0.72,0.45,23,"GB"
"38","Rondale Moore",15,"ARI",4400,4.8,4,-0.14,0.4,0.00091,0.8,50.4,1.71,0.83,18,"DET"
"39","Kalif Raymond",15,"DET",4400,0.6,4,-0.566,0.4,0.00091,6.7,26.1,1.13,1.39,13,"ARI"
"40","Sterling Shepard",15,"NYG",4700,2.2,3.5,0.298,0.4,0.00074,1.6,50.8,1.83,2.29,5,"DAL"
"41","Marvin Jones Jr.",15,"JAX",4600,8.2,3.4,0.585,0.3,0.00074,0.4,81.2,1.27,1.78,24,"HOU"
"42","Nico Collins",15,"HOU",3500,2.7,3.4,-0.946,0.5,0.00097,1.3,27.8,1.13,0.49,16,"JAC"
"43","Courtland Sutton",15,"DEN",4600,1.6,3.2,0.334,0.3,7e-04,2,62,1.52,2.44,19,"CIN"
"44","Chris Conley",15,"HOU",3600,0.3,3.2,-0.844,0.4,0.00089,10.7,29.2,0.97,1.5,16,"JAC"
"45","Amari Cooper",15,"DAL",6400,11,2.8,0.671,0.2,0.00044,0.3,77.2,1.78,2.03,21,"NYG"
"46","Tavon Austin",15,"JAX",3200,0.1,2.1,NA,0.5,0.00066,21,NA,0.96,0,24,"HOU"
"47","Albert Wilson",15,"MIA",3400,3.3,2,-0.757,0.2,0.00059,0.6,31.6,1.06,0.8,14,"NYJ"
"48","Chase Claypool",15,"PIT",5900,10,1.9,0.32,0.1,0.00032,0.2,53.9,2.06,2.66,15,"TEN"
"49","Rashod Bateman",15,"BAL",5000,3.8,1.5,-0.225,0.2,3e-04,0.4,37.3,1.64,2.12,23,"GB"
"50","Cody Hollister",15,"TEN",3000,0,1.5,NA,0.3,5e-04,Inf,NA,0.65,0.57,25,"PIT"
"51","Ja'Marr Chase",15,"CIN",7100,7.4,1.3,1.229,0.1,0.00018,0.2,53.9,2.27,3.65,1,"DEN"
"52","Julio Jones",15,"TEN",5400,6.7,0,0.819,0,0,0,85.1,2.08,0.95,25,"PIT"
"53","Jerry Jeudy",15,"DEN",5400,3.6,0,-0.316,0,0,0,27.3,2.08,1.42,19,"CIN"
"54","Sammy Watkins",15,"BAL",4100,0,0,NA,NA,0,NA,NA,1.59,1.56,23,"GB"
"55","Cedrick Wilson",15,"DAL",3500,1.1,0,NA,NA,0,0,NA,1.54,1.31,21,"NYG"
"56","Tajae Sharpe",15,"ATL",3300,0.2,0,-0.728,0,0,0,41.4,0.84,0.93,22,"SF"
"57","Mack Hollins",15,"MIA",3100,0.6,0,NA,0,0,0,NA,0.98,0.49,14,"NYJ"
"58","Denzel Mims",15,"NYJ",3000,0,0,-0.91,0,0,NA,26.1,0.99,0.38,2,"MIA"
"59","Preston Williams",15,"MIA",3000,0,0,NA,0,0,NA,NA,0.69,0.13,14,"NYJ"
