Player,Roster Position,%Drafted,FPTS
Darrell Henderson Jr.,FLEX,37.98%,9.4
Cardinals ,DST,35.87%,11
Derrick Henry,RB,26.17%,16.4
Chris Godwin,WR,25.21%,28.1
Cooper Kupp,FLEX,20.63%,40.6
Calvin Ridley,WR,19.07%,12.6
Jaylen Waddle,WR,18.38%,15.3
Cordarrelle Patterson,RB,18.17%,14.1
Davante Adams,WR,17.28%,19.6
Rashod Bateman,WR,16.71%,11
Chuba Hubbard,RB,16.58%,9.6
Mecole Hardman,WR,15.42%,5.8
Darrel Williams,RB,15.05%,8
Matthew Stafford,QB,14.53%,30.16
Mike Gesicki,TE,14.02%,21.5
Ricky Seals-Jones,TE,12.96%,11.1
Marquise Brown,WR,12.79%,19
Dallas Goedert,TE,12.44%,12
Damien Harris,RB,12.15%,28.3
Leonard Fournette,RB,11.83%,17
Ja'Marr Chase,WR,11.59%,37.1
Patriots ,DST,11.01%,12
Patrick Mahomes,QB,11.00%,9.74
Darnell Mooney,WR,10.88%,5.9
Mike Evans,WR,10.44%,31.6
A.J. Brown,WR,10.44%,30.3
Miles Sanders,FLEX,10.42%,3.7
Lamar Jackson,QB,10.35%,23.08
Zach Ertz,TE,10.18%,16
DJ Moore,WR,10.13%,13.3
Matt Ryan,QB,9.98%,22.44
Brandin Cooks,WR,9.60%,7.1
Aaron Jones,RB,9.36%,8.9
Tyreek Hill,WR,9.35%,12.7
Eagles ,DST,9.10%,1
Hunter Henry,TE,8.72%,10.3
Hunter Renfrow,WR,8.53%,12.8
DeAndre Hopkins,WR,8.41%,18.3
J.D. McKissic,RB,8.00%,9.6
Travis Kelce,TE,7.80%,13.5
Aaron Rodgers,QB,7.68%,24.66
Robert Woods,WR,7.67%,15
D'Andre Swift,RB,7.66%,28.4
Jalen Hurts,QB,7.57%,24.54
Mark Andrews,TE,7.22%,7.8
Kyle Pitts,TE,7.11%,26.3
Kyler Murray,QB,6.90%,22.44
Josh Jacobs,RB,6.85%,15.8
Tua Tagovailoa,QB,6.78%,28.54
Joe Mixon,RB,6.53%,11.9
Jakobi Meyers,WR,6.52%,9.4
DeVonta Smith,WR,6.30%,11.1
Devonta Freeman,RB,6.12%,12.9
Tom Brady,QB,6.11%,24.44
A.J. Green,WR,5.81%,9.6
Robby Anderson,WR,5.73%,4.4
Ravens ,DST,5.47%,-1
