DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
31990009,Christian McCaffrey,RB/FLEX,SF,WAS,,9600,,28.21,28.21,2.9385416666666666,33.49999999999794,33.31828387571821,0,100,31.5716,49.6278,28.2119,20.1,27.2,35.3,39.9,47.6,57.101,24.4495,17.3,23.425,30.5625,34.7,42.1,50.7,24.4495,17.3,23.425,30.5625,34.7,42.1,50.7,28.2119,20.1,27.2,35.3,39.9,47.6,57.101,11.0377,9.78554,9.78554,11.0377,0,0,0,0,0,4.39373,36.8889,0.376267,20.6016,103.873,1.01249
31989925,Jalen Hurts,QB,PHI,ARI,,8300,,27.46,27.46,3.3084337349397592,10.030000000000184,9.785332878712444,0,100,30.0605,47.3668,27.4555,20.0875,26.42,33.72,38.123,45.4215,54.8606,26.8052,20.06,26.2,32.74,36.5815,43.12,51.64,26.8052,20.06,26.2,32.74,36.5815,43.12,51.64,27.4555,20.0875,26.42,33.72,38.123,45.4215,54.8606,10.0806,9.35842,9.35842,10.0806,28.3635,18.91,227.392,1.8091,0.43695,0,0,0,10.7788,55.4157,0.92535
31990309,Tyreek Hill,WR/FLEX,MIA,BAL,,9300,,23.8,23.8,2.5591397849462365,14.750000000000007,15.425816801494788,0,100,21.5169,46.1088,23.7981,15.6,22.95,30.9,35,42.805,51.503,18.2576,12.075,17.2,23.4,27,33.905,42.201,18.2576,12.075,17.2,23.4,27,33.905,42.201,23.7981,15.6,22.95,30.9,35,42.805,51.503,10.5901,8.44649,8.44649,10.5901,0,0,0,0,0,8.1385,102.556,0.614469,0.44425,1.88897,0.0178437
31989927,Lamar Jackson,QB,BAL,MIA,,7700,,22.52,22.52,2.9246753246753245,7.0600000000001,6.962671229420778,0,100,24.5919,46.1088,22.5201,16.4,21.62,27.605,31.24,38.1208,46.4604,21.9909,16.34,21.37,26.84,30.143,35.94,43.2026,21.9909,16.34,21.37,26.84,30.143,35.94,43.2026,22.5201,16.4,21.62,27.605,31.24,38.1208,46.4604,8.51023,7.85267,7.85267,8.51023,31.4746,20.9808,220.736,1.58772,0.613437,0,0,0,8.81616,53.5977,0.372344
31989926,Josh Allen,QB,BUF,NE,,8200,,22.32,22.32,2.7219512195121953,4.090000000000014,4.090321584743929,0,100,27.6078,40.5641,22.3236,16.2,21.37,27.545,31.02,37.6915,45.702,21.8485,16.155,21.1,26.78,30.003,36.0805,43.4109,21.8485,16.155,21.1,26.78,30.003,36.0805,43.4109,22.3236,16.2,21.37,27.545,31.02,37.6915,45.702,8.43965,7.9319,7.9319,8.43965,33.2625,21.3924,236.643,1.78444,0.798625,0,0,0,6.98391,34.2875,0.45975
31989932,Brock Purdy,QB,SF,WAS,,7000,,22.11,22.11,3.1585714285714284,10.830000000000208,10.339990761236004,0,100,31.5716,49.6278,22.1079,16.5,21.51,27.18,30.24,35.701,42.1101,20.9203,16,20.4,25.28,28.08,33.16,39.22,20.9203,16,20.4,25.28,28.08,33.16,39.22,22.1079,16.5,21.51,27.18,30.24,35.701,42.1101,7.7377,6.92832,6.92832,7.7377,32.2742,22.2867,285.917,2.1086,0.790489,0,0,0,3.06007,11.3186,0.137489
31989928,Patrick Mahomes,QB,KC,CIN,,7500,,21.82,21.82,2.909333333333333,3.9200000000000097,3.9288399495707673,0,100,25.0638,43.4683,21.8173,16.235,21.2525,26.68,29.6873,35.301,41.783,20.7199,15.86,20.27,24.96,27.76,32.781,39.2206,20.7199,15.86,20.27,24.96,27.76,32.781,39.2206,21.8173,16.235,21.2525,26.68,29.6873,35.301,41.783,7.59438,6.82723,6.82723,7.59438,36.1055,23.6235,280.85,1.82079,0.797917,0,0,0,5.02404,21.8685,0.158125
31990011,Kyren Williams,RB/FLEX,LAR,NYG,,8300,,21.65,21.65,2.608433734939759,18.379999999999608,19.323701135925266,0,100,24.9098,42.993,21.6482,14.1,20.5,27.9,32.3075,39.8,49.104,19.0238,12.3375,17.8625,24.3062,28.3,35.4,44.3005,19.0238,12.3375,17.8625,24.3062,28.3,35.4,44.3005,21.6482,14.1,20.5,27.9,32.3075,39.8,49.104,10.0105,8.84462,8.84462,10.0105,0,0,0,0,0,2.55926,20.9278,0.172086,20.1136,98.492,0.807286
31989930,Justin Fields,QB,CHI,ATL,,7300,,20.41,20.41,2.7958904109589042,2.069999999999993,2.0799171992943184,0,100,21.1331,39.237899999999996,20.4124,14.62,19.525,25.325,28.84,35.68,44.0018,19.9249,14.58,19.32,24.66,27.76,33.462,40.82,19.9249,14.58,19.32,24.66,27.76,33.462,40.82,20.4124,14.62,19.525,25.325,28.84,35.68,44.0018,8.18766,7.57223,7.57223,8.18766,28.6073,18.1314,194.532,1.19566,0.82997,0,0,0,10.2544,60.0826,0.39335
31990021,James Cook,RB/FLEX,BUF,NE,,7100,,20.1,20.1,2.830985915492958,14.570000000000027,15.084012315441564,0,100,27.6078,40.5641,20.0959,13.1,18.95,25.825,29.815,37,45.403,17.4518,11.5,16.4,22.3,25.8,32.205,39.902,17.4518,11.5,16.4,22.3,25.8,32.205,39.902,20.0959,13.1,18.95,25.825,29.815,37,45.403,9.19768,7.97624,7.97624,9.19768,0,0,0,0,0,2.98181,27.9379,0.186312,17.3813,90.9499,0.514719
