player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Rahsaan Lewis,76688,WR,KENTUCKY,4,4.7,1,71.4,,0,0,0,16.7,1,2,202,1,49.8,13.7,52.3,,54.6,0.0,0,0,21,0.0,0,35,1,5,88.6,31,85.7,30,132.1,7,1,14.3,5,52,24,4.8,10.4,1.68
A'Jon Vivens,75949,HB,COLO STATE,5,-0.4,0,57.1,,0,0,0,20.0,1,1,144,0,49.8,32.8,49.8,30.1,53.5,0.0,0,0,19,38.9,14,36,0,4,55.6,20,11.1,4,65.2,7,0,0.0,0,26,22,5.5,6.5,1.3
Jamal Johnson,145646,HB,BOWL GREEN,6,-0.9,0,57.1,0.0,0,1,0,33.3,2,0,122,0,26.0,57.9,56.9,49.4,41.6,2.8,2,0,7,18.1,13,72,0,4,80.6,58,9.7,7,62.2,7,0,25.0,18,12,20,5.0,3.0,0.21
Cade Conley,145709,TE,C MICHIGAN,7,2.0,1,85.7,,0,0,0,0.0,0,5,134,0,77.5,66.2,65.9,29.7,71.9,68.6,35,1,23,7.8,4,51,1,6,82.4,42,27.5,14,72.3,7,0,2.0,1,76,67,11.2,12.7,1.81
Andreas Paaske,145747,TE,E MICHIGAN,8,11.1,0,85.7,,0,0,0,14.3,1,5,160,0,53.4,66.2,66.1,54.8,75.1,68.3,41,0,75,20.0,12,60,1,6,73.3,44,30.0,18,158.3,7,1,0.0,0,176,100,16.7,29.3,4.0
Jonah Morris,40336,WR,ILLINOIS,6,9.4,0,57.1,33.3,1,3,0,20.0,1,3,187,0,45.4,65.0,59.3,,58.3,0.0,0,0,21,0.0,0,42,1,4,97.6,41,26.2,11,82.4,7,0,73.8,31,55,18,4.5,13.8,1.34
Boden Groen,71325,TE,RICE,8,9.0,1,42.9,0.0,0,1,1,25.0,1,1,275,0,45.9,65.0,44.0,59.8,51.9,72.2,65,0,13,25.6,23,90,2,3,68.9,62,17.8,16,50.3,7,0,10.0,9,20,7,2.3,6.7,0.32
Elijah Mojarro,71312,TE,CAL,9,5.7,1,85.7,,0,0,0,0.0,0,4,130,0,53.4,66.2,49.7,73.5,51.7,52.2,60,0,20,7.8,9,115,0,6,87.8,101,38.3,44,110.1,7,0,7.0,8,73,34,5.7,12.2,0.72
Brendon Barrow,146362,HB,STANFORD,8,1.7,0,57.1,,0,0,0,33.3,2,2,300,0,25.7,77.3,62.6,52.3,44.6,0.0,0,0,11,13.3,6,45,0,4,86.7,39,13.3,6,64.0,7,0,8.9,4,24,19,4.8,6.0,0.62
Marcus Burke,146699,WR,FLORIDA,6,11.3,0,28.6,0.0,0,1,0,0.0,0,2,163,0,70.7,62.9,61.2,,60.8,0.0,0,0,14,0.0,0,30,0,2,90.0,27,46.7,14,39.6,7,0,50.0,15,21,26,13.0,10.5,0.78
