"","teams","lines","totals"
"1","Wake Forest","-12.5","50.5"
"2","Old Dominion","12.5","50.5"
"3","Louisville","-7.5","43.5"
"4","Indiana","7.5","43.5"
"5","Iowa State","-2.5","35.5"
"6","Ohio","2.5","35.5"
"7","Liberty","-4.5","50.5"
"8","Buffalo","4.5","50.5"
"9","LIU","40.5","48.5"
"10","Baylor","-40.5","48.5"
"11","North Dakota","14.5","53.5"
"12","Boise State","-14.5","53.5"
"13","Central Connecticut State","28.5","51.5"
"14","Kent State","-28.5","51.5"
"15","Georgia Southern","16.5","55.5"
"16","Wisconsin","-16.5","55.5"
"17","Kansas State","2.5","58.5"
"18","Missouri","-2.5","58.5"
"19","LSU","-10.5","49.5"
"20","Mississippi State","10.5","49.5"
"21","Florida State","-17.5","51.5"
"22","Boston College","17.5","51.5"
"23","Penn State","-13.5","43.5"
"24","Illinois","13.5","43.5"
"25","Massachusetts","7","50.5"
"26","Eastern Michigan","-7","50.5"
"27","VMI","44","51.5"
"28","North Carolina State","-44","51.5"
"29","Norfolk State","30.5","54.5"
"30","Temple","-30.5","54.5"
"31","Weber State","27","44"
"32","Utah","-27","44"
"33","Indiana State","26.5","45"
"34","Ball State","-26.5","45"
"35","Central Michigan","34.5","51"
"36","Notre Dame","-34.5","51"
"37","South Carolina","26.5","54.5"
"38","Georgia Bulldogs","-26.5","54.5"
"39","Minnesota","7","51"
"40","North Carolina","-7","51"
"41","Northwestern","17","48"
"42","Duke","-17","48"
"43","Alabama","-34","61"
"44","South Florida","34","61"
"45","Oklahoma","-28","58.5"
"46","Tulsa","28","58.5"
"47","Western Michigan","28.5","43"
"48","Iowa","-28.5","43"
"49","San Diego State","24.5","48"
"50","Oregon State","-24.5","48"
"51","East Carolina","8","48"
"52","Appalachian State","-8","48"
"53","FIU","7","42.5"
"54","UConn","-7","42.5"
"55","Western Kentucky","30","65.5"
"56","Ohio State","-30","65.5"
"57","Tulane","-11.5","49.5"
"58","Southern Mississippi","11.5","49.5"
"59","ULM","36","53.5"
"60","Texas A&M","-36","53.5"
"61","Idaho","12.5","52.5"
"62","California","-12.5","56"
"63","Washington","-16","56"
"64","Michigan State","16","60.5"
"65","North Carolina Central","35","60.5"
"66","UCLA","-35","53.5"
"67","Northern Colorado","45.5","53.5"
"68","Washington State","-45.5","52"
"69","Georgia State","-6.5","52"
"70","Charlotte","6.5","55"
"71","Villanova","27","55"
"72","UCF","-27","56.5"
"73","Tennessee","-5.5","56.5"
"74","Florida","5.5","42"
"75","Northern Illinois","13","42"
"76","Nebraska","-13","44.5"
"77","Miami OH","14","44.5"
"78","Cincinnati","-14","48.5"
"79","South Alabama","7","48.5"
"80","Oklahoma State","-7","46.5"
"81","James Madison","2.5","46.5"
"82","Troy","-2.5","56.5"
"83","San Jose State","7.5","56.5"
"84","Toledo","-7.5","58"
"85","Vanderbilt","-4.5","58"
"86","UNLV","4.5","67.5"
"87","North Texas","4.5","67.5"
"88","Louisiana Tech","-4.5","59.5"
"89","Louisiana-Lafayette","2.5","59.5"
"90","UAB","-2.5","48"
"91","Stony Brook","23.5","48"
"92","Arkansas State","-23.5","57"
"93","Samford","34","57"
"94","Auburn","-34","50.5"
"95","Murray State","34.5","50.5"
"96","Middle Tennessee","-34.5","55.5"
"97","Duquesne","32","55.5"
"98","Coastal Carolina","-32","72.5"
"99","Tarleton State","36","72.5"
"100","Texas Tech","-36","58"
"101","Texas Southern","34","58"
"102","Rice","-34","63"
"103","Prairie View","42","63"
"104","SMU","-42","57"
"105","Syracuse","-2","57"
"106","Purdue","2","61.5"
"107","Georgia Tech","16.5","61.5"
"108","Ole Miss","-16.5","48"
"109","BYU","8","48"
"110","Arkansas","-8","47.5"
"111","Pittsburgh","2.5","47.5"
"112","West Virginia","-2.5","53.5"
"113","Bowling Green","40.5","53.5"
"114","Michigan","-40.5","48.5"
"115","Akron","26","48.5"
"116","Kentucky","-26","48.5"
"117","Wyoming","29","48.5"
"118","Texas","-29","64"
"119","TCU","-7.5","64"
"120","Houston","7.5","51.5"
"121","Florida Atlantic","24.5","51.5"
"122","Clemson","-24.5","68"
"123","Hawaii","38","68"
"124","Oregon","-38","52.5"
"125","New Mexico State","2.5","52.5"
"126","New Mexico","-2.5","60.5"
"127","Sacramento State","7","60.5"
"128","Stanford","-7","59"
"129","Jackson State","17","59"
"130","Texas State","-17","64"
"131","Colorado State","24","64"
"132","Colorado","-24","58.5"
"133","Kansas","-28","58.5"
"134","Nevada","28","48.5"
"135","Fresno State","-3","48.5"
"136","Arizona State","3","57.5"
"137","UTEP","18.5","57.5"
