player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jakob Johnson,32565,FB,LV,7,2.5,1,50.0,,0,0,0,50.0,1,0,23,0,28.8,61.2,46.1,81.9,48.5,13.3,6,0,12,26.7,12,45,2,1,71.1,32,0.0,0,68.8,2,0,15.6,7,12,11,11.0,12.0,0.38
Simi Fehoko,84424,WR,LAC,2,9.5,0,50.0,,0,0,0,0.0,0,1,27,0,64.7,61.2,60.4,66.2,65.0,0.0,0,0,9,10.0,1,10,0,1,90.0,9,40.0,4,102.1,2,1,60.0,6,9,7,7.0,9.0,1.0
Nick Bawden,27413,FB,NYJ,12,-1.5,0,100.0,,0,0,0,0.0,0,0,22,0,68.3,66.2,46.9,40.0,54.2,12.5,4,0,7,37.5,12,32,1,2,59.4,19,0.0,0,93.8,2,0,15.6,5,13,16,8.0,6.5,0.68
JaMycal Hasty,25582,HB,NE,2,14.0,0,0.0,,0,0,0,,0,0,19,0,,,58.9,,57.6,0.0,0,0,0,0.0,0,3,0,0,100.0,3,0.0,0,39.6,2,0,33.3,1,0,0,,,0.0
Hunter Luepke,91319,FB,DAL,12,0.5,1,100.0,,0,0,0,0.0,0,1,9,0,68.3,71.5,57.5,73.2,56.2,9.7,3,0,12,9.7,3,31,0,2,74.2,23,3.2,1,87.5,2,0,3.2,1,10,9,4.5,5.0,0.43
Alex Armah,11948,FB,WAS,3,-4.5,0,100.0,,0,0,0,0.0,0,0,32,0,68.3,64.0,55.2,,60.0,25.0,2,0,3,0.0,0,8,0,2,100.0,8,0.0,0,79.2,2,0,0.0,0,3,12,6.0,1.5,0.38
Damiere Byrd,9964,WR,ATL,1,20.0,0,0.0,0.0,0,1,0,,0,0,2,0,,,51.7,,52.0,0.0,0,1,0,0.0,0,12,0,0,100.0,12,8.3,1,0.0,2,0,91.7,11,0,0,,,0.0
Tyler Goodson,101659,HB,IND,1,-3.5,0,100.0,,0,0,0,0.0,0,0,14,0,68.3,64.0,62.2,,63.0,0.0,0,0,7,0.0,0,3,0,2,100.0,3,0.0,0,89.6,2,0,33.3,1,11,18,9.0,5.5,3.67
Israel Abanikanda,122999,HB,NYJ,1,0.0,0,50.0,,0,0,0,50.0,1,0,22,0,28.8,67.2,53.0,,29.6,0.0,0,0,5,0.0,0,9,0,1,100.0,9,0.0,0,56.3,2,0,11.1,1,5,9,9.0,5.0,0.56
Damien Williams,9205,HB,ARZ,3,0.5,1,100.0,,0,0,0,0.0,0,0,1,0,68.3,74.4,72.7,80.2,66.7,0.0,0,0,8,23.1,3,13,0,2,76.9,10,7.7,1,91.7,2,0,7.7,1,12,11,5.5,6.0,1.2
Sean Tucker,123056,HB,TB,3,-1.0,0,100.0,,0,0,0,0.0,0,0,30,0,68.3,76.2,55.8,73.0,59.6,0.0,0,0,6,6.7,1,15,0,2,86.7,13,6.7,1,85.4,2,0,0.0,0,9,11,5.5,4.5,0.69
Charlie Jones,55038,WR,CIN,4,3.0,0,50.0,,0,0,0,50.0,1,1,7,0,28.9,81.1,48.5,,55.8,0.0,0,0,6,0.0,0,8,0,1,100.0,8,62.5,5,56.3,2,0,37.5,3,6,7,7.0,6.0,0.75
Evan Hull,97302,HB,IND,1,2.0,0,100.0,,0,0,0,0.0,0,0,14,0,68.3,66.2,65.7,,64.6,0.0,0,0,6,0.0,0,6,0,1,83.3,5,0.0,0,91.7,1,0,0.0,0,6,4,4.0,6.0,1.2
