player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kyler Murray,38334,QB,ARZ,8,7.36,0,363,1,72.9,247,271,9.3,2.7,9,8,2.8,63.1,171,93,5.0,307,84.6,9,94,,,,64.4,68.0,87.1,62.8,,,77.9,,2,6,332,20.4,82.8,6.2,19,17,3,10,9,12,3.6,1711,6.3,75.5,241,264,6.6,2.47,9,6,2.2,64.8,171,77,6.0,294,81.0,11,84,,,,74.9,65.7,87.0,62.0,,,71.6,,2,5,315,23.4,80.8,6.1,18,12,3,9,7,10,3.2,1510,5.7,80.4,56,61,9.6,2.76,0,2,3.1,72.1,44,20,2.2,69,19.0,1,22,,,,45.9,74.7,79.5,68.0,,,85.7,,0,1,76,5.0,104.8,1.4,1,5,0,5,3,2,2.6,484,7.9,0,94.0,50,54,-3.4,1.59,0,0,0.0,81.5,44,4,6.4,56,15.4,3,12,,,,81.4,68.3,78.6,67.5,,,,,0,0,59,0.0,94.7,0.0,0,0,0,4,1,0,0.0,283,5.2,2.21
Tom Brady,698,QB,TB,8,-7.87,0,356,30,71.2,274,293,9.5,2.41,4,18,5.7,62.8,184,69,5.6,308,86.5,11,97,,,,70.6,75.1,86.9,75.2,,,39.9,,1,1,331,18.8,90.6,4.2,13,2,2,12,8,7,2.1,2005,6.8,74.2,271,286,7.6,2.2,3,16,5.3,67.1,192,60,4.5,302,84.8,9,88,,,,69.9,71.1,86.8,71.5,,,39.9,,1,1,322,21.7,92.5,4.3,13,2,2,9,8,6,1.9,1825,6.4,74.5,47,54,9.3,2.64,1,2,3.5,59.3,32,9,8.6,54,15.2,3,22,,,,81.2,81.9,78.5,80.0,,,,,0,0,57,0.0,91.8,0.0,0,0,0,6,1,1,1.8,443,8.2,0,93.2,44,47,-2.9,1.34,0,0,0.0,85.1,40,0,2.4,48,13.5,1,13,,,,80.1,66.0,77.8,65.4,,,,,0,0,48,,97.1,0.0,0,0,0,3,1,0,0.0,263,5.6,1.82
Joe Burrow,28022,QB,CIN,8,-8.98,0,348,7,77.7,260,281,8.3,2.54,9,11,3.7,68.3,192,91,5.0,323,92.8,10,110,,,,60.3,77.3,47.1,74.9,60.0,,73.7,,5,6,343,30.8,103.2,8.7,28,13,0,7,17,10,2.9,2221,7.9,80.6,232,250,6.7,2.44,8,7,2.6,70.8,177,76,5.3,287,82.5,10,97,,,,68.9,75.5,44.2,73.5,60.0,,71.1,,4,4,306,31.6,104.5,8.4,24,12,0,6,14,7,2.3,1886,7.5,70.0,50,55,11.2,2.64,2,4,6.9,61.8,34,17,2.9,61,17.5,1,18,,,,41.0,73.9,78.9,71.3,60.0,,65.9,,1,2,64,29.4,90.2,8.2,5,1,0,2,3,3,4.7,443,8.1,0,90.9,22,24,-2.4,1.63,1,0,0.0,79.2,19,2,5.0,25,7.2,1,5,,,,76.8,64.1,75.8,63.6,,,,,0,0,27,50.0,85.4,4.0,1,0,0,1,0,0,0.0,108,4.5,0.51
Justin Herbert,28237,QB,LAC,7,8.31,0,328,27,73.7,255,279,7.9,2.84,9,7,2.4,63.8,178,114,5.3,298,90.9,10,90,,,,81.5,69.3,86.7,67.8,,,62.6,,6,4,312,8.8,90.2,3.4,10,9,0,9,11,6,1.9,1859,6.7,73.7,198,216,7.1,2.66,5,5,2.2,63.4,137,83,6.2,231,70.4,9,64,,,,76.9,66.7,86.1,66.4,,,54.0,,5,3,242,8.4,86.7,3.0,7,8,0,8,8,6,2.5,1306,6.0,81.9,83,92,6.0,3.05,5,2,2.1,71.7,66,34,2.9,97,29.6,2,34,,,,85.1,72.0,80.6,69.1,60.0,,74.7,,1,1,102,8.8,103.7,3.1,3,2,0,3,4,0,0.0,703,7.6,0,100.0,26,29,-4.0,2.13,1,0,0.0,86.2,25,3,3.8,30,9.1,1,8,,,,77.7,66.4,76.5,67.4,60.0,,58.3,,0,0,32,0.0,99.7,0.0,0,1,0,2,1,0,0.0,150,5.2,1.59
Matt Ryan,4317,QB,IND,7,-12.09,0,327,14,78.5,247,277,7.2,2.68,8,2,0.7,66.4,184,110,5.2,307,93.9,10,102,,,,25.7,56.9,44.1,58.5,,,43.0,,3,8,322,21.8,85.4,7.8,24,6,1,18,9,13,4.0,1939,7.0,81.3,219,239,6.0,2.55,4,2,0.8,70.7,169,94,5.1,263,80.4,9,81,,,,28.4,58.5,40.1,60.7,,,36.6,,3,8,277,21.3,83.1,7.6,20,4,1,12,6,11,4.0,1585,6.6,72.9,48,58,7.9,2.89,4,0,0.0,58.6,34,16,2.9,64,19.6,1,24,,,,25.3,54.7,79.0,53.5,,,66.4,,0,1,67,25.0,91.6,6.3,4,2,0,6,3,3,4.5,426,7.3,0,95.0,20,20,-4.0,1.62,0,0,0.0,95.0,19,0,0.0,20,6.1,0,3,,,,75.6,61.6,75.0,61.3,,,,,0,1,22,,60.8,0.0,0,0,0,0,0,1,4.5,72,3.6,0.71
Josh Allen,46601,QB,BUF,7,4.83,0,302,4,75.1,217,242,10.0,2.83,11,20,7.9,63.6,154,96,5.5,279,92.4,9,114,,,,72.4,90.7,61.3,83.2,,,91.7,,2,6,290,11.5,105.1,3.9,11,26,1,11,18,13,4.5,2062,8.5,76.1,176,196,8.5,2.66,8,16,7.8,64.3,126,75,6.0,228,75.5,8,88,,,,67.7,89.0,57.8,80.4,,,91.1,,2,5,236,14.7,97.4,4.8,11,20,1,9,11,10,4.2,1586,8.1,79.0,62,68,10.0,2.87,3,4,5.6,69.1,47,22,4.1,74,24.5,2,34,,,,83.2,83.3,79.6,78.1,,,80.5,,0,1,77,0.0,130.3,0.0,0,6,0,3,8,3,3.9,612,9.0,0,95.2,21,22,-2.6,1.27,0,0,0.0,86.4,19,1,5.0,23,7.6,1,8,,,,75.9,64.9,75.2,64.4,,,,,0,0,23,0.0,107.6,0.0,0,0,0,1,1,0,0.0,136,6.2,0.91
Trevor Lawrence,77632,QB,JAX,8,3.68,0,299,15,69.9,216,232,10.6,2.71,4,9,3.6,59.1,137,81,9.3,252,84.3,14,87,,,,35.7,57.5,86.9,53.7,,,74.3,,2,6,272,14.8,83.6,4.8,12,8,1,9,10,12,4.4,1597,6.9,72.6,197,208,8.0,2.43,4,6,2.7,61.5,128,61,10.5,226,75.6,15,68,,,,30.0,55.3,86.6,50.6,,,75.6,,0,4,240,14.8,81.2,4.0,9,7,1,6,7,10,4.2,1228,5.9,76.2,63,69,9.2,2.85,1,3,3.9,65.2,45,22,6.3,73,24.4,3,31,,,,83.4,65.9,79.7,65.8,60.0,,58.3,,2,2,80,13.6,96.1,4.1,3,1,0,3,3,2,2.5,617,8.9,0,90.9,44,45,-3.2,1.58,1,0,0.0,80.0,36,2,10.0,47,15.7,4,12,,,,80.1,61.7,77.9,61.6,60.0,,,,0,0,48,0.0,89.6,0.0,0,0,0,0,0,0,0.0,248,5.5,3.04
Aaron Rodgers,2241,QB,GB,8,-1.61,0,295,12,72.2,194,215,10.1,2.75,3,18,7.8,60.9,131,75,6.4,235,79.7,9,69,,,,76.8,78.3,63.9,77.1,,,59.6,,3,4,253,22.7,87.9,7.2,17,3,1,14,9,5,2.0,1489,6.9,78.8,189,205,7.0,2.39,4,17,7.9,66.8,137,57,8.1,221,74.9,12,64,,,,90.3,78.1,62.9,77.1,,,59.6,,2,4,233,22.8,92.5,5.9,13,3,1,9,10,4,1.7,1309,6.4,73.0,63,69,7.7,2.66,0,1,1.4,65.2,45,19,2.2,74,25.1,1,21,,,,47.2,69.4,79.7,68.5,,,,,1,0,80,21.1,100.6,5.4,4,0,0,5,3,1,1.3,491,7.1,0,94.8,58,59,-2.4,1.29,1,0,0.0,86.4,51,1,7.3,60,20.3,4,16,,,,81.5,66.8,78.6,66.1,,,,,0,0,60,0.0,111.2,0.0,0,0,0,0,4,0,0.0,311,5.3,0.73
Patrick Mahomes,11765,QB,KC,7,5.04,0,292,16,76.1,209,232,9.3,2.86,2,15,5.8,64.2,149,102,6.3,260,89.0,10,112,,,,79.7,88.1,62.7,84.5,,,79.3,,4,5,285,11.8,107.7,4.6,12,15,0,17,18,9,3.2,1963,8.5,76.7,189,208,8.0,2.68,1,10,4.4,65.9,137,85,5.5,229,78.4,8,96,,,,76.9,84.0,60.4,80.0,,,83.0,,4,5,246,10.6,102.2,3.9,9,11,0,14,13,8,3.3,1720,8.3,85.4,48,55,7.1,2.79,3,5,7.9,70.9,39,19,4.9,63,21.6,2,27,,,,82.6,83.8,79.3,83.0,,,58.9,,0,0,71,15.8,134.0,4.8,3,4,0,4,7,1,1.4,439,8.0,0,96.4,28,31,-3.8,1.45,2,0,0.0,87.1,27,2,0.0,32,11.0,0,11,,,,77.7,64.6,76.4,64.1,,,,,0,0,32,0.0,114.5,0.0,0,0,0,1,2,0,0.0,196,6.3,-0.29
Matthew Stafford,4924,QB,LA,7,4.81,0,287,26,74.8,202,214,8.3,2.71,3,9,4.1,67.8,145,87,4.0,243,84.7,6,78,,,,46.9,63.7,11.9,63.6,58.9,,65.6,,0,7,249,27.6,84.6,9.9,24,4,0,9,7,10,4.0,1480,6.9,76.9,186,196,6.5,2.39,3,8,4.0,69.4,136,70,4.9,216,75.3,7,66,,,,58.6,61.7,7.1,62.0,58.9,,62.6,,0,7,221,25.7,82.2,8.3,18,1,0,7,7,8,3.6,1190,6.1,79.3,58,62,5.8,3.07,0,1,1.6,74.2,46,20,0.0,71,24.7,0,29,,,,44.1,71.3,79.3,69.6,,,64.9,,0,1,72,30.0,95.7,8.5,6,3,0,4,0,2,2.8,573,9.2,0,90.5,42,44,-2.9,1.7,0,0,0.0,84.1,37,3,2.6,44,15.3,1,17,,,,79.6,68.8,77.5,68.0,,,,,0,1,44,0.0,84.0,0.0,0,0,0,2,0,0,0.0,283,6.4,3.17
