player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cam'Ron Valdez,144749,HB,TEXAS TECH,3,12,2,2,72.5,95,0,131,0,0,2,63,87.5,2,3,315,0,7,74.4,77.9,74.0,,65.7,54.5,78.6,,54,0,0,0,11,13,0,0,0,12,1,131,63,5.25,10.9,0.0,5
Hunter Herring,147138,QB,LA MONROE,2,6,2,0,0.0,0,0,27,0,0,1,23,63.9,1,5,209,0,3,71.4,64.1,77.6,60.9,,,63.4,60.0,18,0,0,0,0,43,43,6,0,6,0,70,49,4.08,5.8,,2
Dante Dowdell,174131,HB,OREGON,4,12,2,0,0.0,0,0,61,0,0,2,39,54.2,2,4,264,0,4,74.0,73.7,72.0,,71.1,58.2,71.3,60.0,13,0,0,0,1,14,0,0,0,12,1,61,39,3.25,5.1,0.0,8
Seth Davis,172539,HB,MISS STATE,5,12,3,1,23.8,15,0,63,0,0,3,46,82.1,3,3,227,0,5,74.1,70.4,75.9,,82.5,60.3,71.7,60.0,15,0,17,2,19,14,0,0,3,14,0,63,46,3.83,5.3,0.89,7
Anwar Lewis,163961,HB,JVILLE ST,2,12,1,0,0.0,0,0,37,0,0,1,21,13.5,0,0,196,0,2,74.0,53.4,75.0,,77.4,60.9,52.7,55.9,7,0,19,1,9,18,0,0,1,13,0,37,21,1.75,3.1,2.11,10
Devon Rivers,173506,HB,FRESNO ST,3,12,3,0,0.0,0,0,44,0,0,3,39,81.3,2,2,169,0,4,74.4,61.0,75.1,,17.7,52.2,64.8,60.0,14,0,0,0,13,14,0,0,0,12,0,44,39,3.25,3.7,0.0,7
Jordan Brunson,123342,HB,MIAMI OH,2,11,0,3,66.4,87,0,131,0,0,0,30,0.0,4,5,221,0,4,73.5,69.0,70.7,,76.8,,66.7,,57,0,0,0,0,11,0,0,0,11,1,131,30,2.73,11.9,,7
Nate Milanowski,158034,HB,MIAMI OH,1,11,1,1,33.3,23,0,69,0,0,1,37,30.6,2,4,221,0,2,73.5,58.4,69.0,,,,58.7,,23,0,0,0,0,11,0,0,0,11,1,69,37,3.36,6.3,,9
Anthony Simpson,146244,WR,UMASS,6,11,1,2,41.5,34,0,82,3,6,1,28,46.9,5,5,216,1,2,43.1,68.8,83.8,,,66.3,75.1,57.1,17,0,440,27,179,138,0,0,44,38,1,82,28,2.55,7.5,2.46,0
Aaron Bedgood,97079,WR,LIBERTY,5,11,1,2,77.0,67,0,87,1,2,1,61,110.9,3,3,206,2,8,22.9,55.4,79.9,,,59.5,50.3,62.3,49,0,38,4,34,82,0,0,6,15,1,87,61,5.55,7.9,1.12,3
Doug Brumfield,128348,QB,UNLV,3,5,6,1,25.3,19,0,40,0,0,3,16,192.0,4,4,325,0,1,71.7,50.9,78.3,45.5,,,65.0,60.0,19,0,0,0,0,40,35,6,0,5,1,75,53,4.82,6.8,,3
