player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Chevan Cordeiro,75886,QB,S JOSE ST,5,69.8,159,169,9.2,2.8,1,12,6.6,60.4,102,0,53,8.1,197,9,57,285,43.3,66.3,67.9,54.0,2,2,211,0,18.9,84.5,5.1,10,18,1,6,6,12,5.7,1022,6.0
Grayson McCall,98002,QB,COAST CAR,5,71.6,162,168,8.4,2.56,0,5,2.8,64.3,108,0,55,6.9,189,8,59,141,55.8,69.1,71.2,55.7,1,6,202,1,16.4,85.0,4.8,9,12,0,5,6,6,3.0,1302,7.8
Gunnar Watson,83570,QB,TROY,5,70.7,157,166,9.5,2.55,4,9,5.1,60.8,101,0,67,9.0,184,10,59,318,29.8,71.2,71.8,60.3,1,4,193,4,20.9,93.5,7.6,14,4,0,4,9,12,6.2,1301,7.8
Kedon Slovis,100580,QB,BYU,5,68.2,157,166,10.0,2.81,1,8,4.5,59.6,99,0,60,7.5,173,8,61,128,64.5,75.5,73.3,67.6,3,3,185,1,8.3,95.5,2.9,5,2,0,5,10,8,4.3,1241,7.5
Haynes King,124329,QB,GA TECH,5,71.5,158,166,10.2,2.54,2,8,4.6,63.9,106,0,54,6.2,189,7,75,176,66.0,71.7,68.3,68.5,1,4,197,1,9.3,112.3,2.6,5,16,0,5,15,8,4.1,1472,8.9
Spencer Rattler,97408,QB,S CAROLINA,5,81.9,155,165,7.2,2.8,0,4,2.3,72.1,119,0,79,6.3,207,8,64,289,76.0,78.7,71.0,81.7,0,3,215,1,26.6,104.4,10.1,21,16,1,9,7,6,2.8,1411,8.6
Jayden Daniels,97993,QB,LSU,5,81.3,155,164,10.1,2.76,2,14,8.3,71.3,117,0,49,7.1,200,9,81,211,67.1,91.4,90.9,72.5,1,2,205,0,24.5,132.4,6.0,12,24,4,2,16,4,2.0,1709,10.4
Ben Bryant,77655,QB,NWESTERN,5,66.7,150,163,9.5,2.7,2,5,3.0,58.3,95,0,67,5.0,189,5,44,256,52.7,55.4,55.0,58.7,3,3,194,1,22.4,78.9,7.9,15,11,1,7,6,9,4.6,925,5.7
Joey Aguilar,174978,QB,APP STATE,5,67.3,153,163,11.3,2.56,3,9,5.4,60.1,98,0,65,4.9,181,5,70,108,44.4,67.0,63.7,68.4,2,5,186,1,4.6,95.1,1.7,3,14,0,5,12,11,5.9,1219,7.5
Jalen Mayden,83520,QB,S DIEGO ST,6,70.4,152,163,8.1,3.07,0,3,1.8,60.7,99,0,76,7.5,198,8,60,284,46.9,63.5,58.0,69.7,1,5,204,1,19.7,77.5,7.6,15,20,1,9,5,9,4.4,1069,6.6
Will Howard,122599,QB,KANSAS ST,5,71.1,152,162,9.6,2.63,3,7,4.2,63.0,102,0,55,5.6,173,6,61,199,78.4,76.1,67.2,82.5,2,6,188,1,10.9,85.6,3.5,6,5,0,5,8,6,3.4,1167,7.2
