player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jahsen Wint,42914,CB,MARSHALL,4,1,0,66.7,0,0,214,71.2,71.4,81.0,57.7,68.1,53.5,0,1,0,7,20.0,1,0,0,70.1,2,0,3,1,41,71,3,0,0,3,0,1,68,3,27,63,1,3,3,1,0,6,15,3.0
Mason White,43872,CB,TCU,1,0,0,100.0,0,0,305,50.2,51.7,72.0,,62.1,73.5,0,0,0,14,0.0,0,0,0,118.8,1,0,5,15,14,21,0,0,0,0,0,0,21,0,7,1,0,1,1,0,0,14,5,14.0
Chaz Ah You,51989,LB,BYU,1,0,0,100.0,0,0,128,42.8,45.8,69.3,59.1,69.5,73.1,0,0,0,20,0.0,0,0,0,118.8,1,0,7,0,3,8,1,0,0,1,0,0,7,1,4,0,1,1,1,0,0,20,18,20.0
Sinjun Astani,52257,DI,USC,3,0,0,,0,0,326,,68.7,73.4,58.4,70.9,23.1,0,2,0,,100.0,1,0,0,0.0,0,0,0,0,0,16,16,2,10,0,4,0,0,8,8,0,0,0,0,2,0,0,0,
Malik Vann,52555,ED,CINCINNATI,5,2,1,,0,0,138,,81.5,78.9,73.9,79.6,78.5,0,4,0,,0.0,0,0,0,0.0,0,2,0,0,0,113,113,0,12,22,79,0,0,71,42,0,3,2,0,6,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,5,2,0,,0,0,268,60.0,52.2,28.1,56.6,53.2,76.0,0,2,0,,0.0,0,0,1,0.0,0,0,0,0,0,138,138,9,127,1,1,0,0,49,89,0,2,2,0,2,0,0,0,
Xavier Peters,52819,ED,FAU,4,1,0,,0,1,165,61.1,62.0,79.5,61.8,58.7,76.9,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,2,76,76,0,1,61,14,0,0,48,26,0,3,2,0,3,0,0,0,
Zaid Hamdan,52925,DI,TULSA,5,2,0,,0,0,320,60.0,68.7,79.3,62.1,70.1,29.8,2,1,0,,33.3,3,0,0,0.0,0,0,0,0,0,126,126,7,95,5,19,0,0,74,52,0,3,4,0,3,0,0,0,
Cole Pearce,52970,LB,BALL ST,5,5,0,81.5,0,0,117,63.4,63.8,0.0,59.5,69.7,73.9,2,3,0,27,7.9,3,2,2,123.6,22,1,271,0,178,304,7,0,0,7,0,0,297,21,105,26,19,30,27,6,2,209,156,9.5
James Camden,53418,LB,CINCINNATI,1,0,0,,0,0,138,,38.4,70.1,,39.3,75.8,0,0,0,,0.0,0,0,0,0.0,0,0,6,0,0,8,0,0,0,0,0,0,8,0,8,2,1,2,0,0,0,0,0,
