player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Smoke Harris,78918,WR,LA TECH,7,3.8,21,83.3,33.3,1,3,0,3.8,2,19,208,1,82.4,42.2,71.2,,71.2,1.3,3,2,64,0.0,0,225,0,50,93.3,210,91.6,206,103.5,60,3,6.2,14,491,410,8.2,9.8,2.34
LaJohntay Wester,123616,WR,FAU,4,6.5,3,74.1,71.4,5,7,0,10.4,5,23,165,1,60.5,78.7,80.6,,82.9,5.4,9,3,27,0.0,0,167,0,43,96.4,161,81.4,136,82.4,58,2,10.2,17,398,191,4.4,9.3,2.47
Malachi Corley,66272,WR,W KENTUCKY,5,6.2,9,63.2,30.0,3,10,0,5.3,2,19,346,1,69.3,40.7,84.2,,82.9,0.0,0,1,70,0.0,0,154,0,36,94.2,145,87.0,134,106.6,57,4,12.3,19,490,345,9.6,13.6,3.38
Isaiah Williams,97156,WR,ILLINOIS,6,8.5,8,66.7,33.3,3,9,0,7.3,3,23,187,0,70.0,78.9,75.4,,75.1,1.4,3,2,49,0.0,0,222,0,38,94.1,209,83.3,185,79.8,57,0,15.3,34,503,281,7.4,13.2,2.41
Will Sheppard,124360,WR,VANDERBILT,6,13.2,3,57.1,50.0,8,16,0,15.8,6,25,333,0,45.6,49.5,72.3,,74.3,0.0,0,0,33,0.0,0,218,1,32,94.5,206,17.4,38,122.2,56,7,82.6,180,443,123,3.8,13.8,2.15
Xavier Weaver,101130,WR,COLORADO,5,11.4,5,73.2,16.7,1,6,0,4.7,2,17,143,0,78.9,73.7,68.4,,68.7,0.0,0,1,44,0.0,0,271,1,41,92.6,251,15.1,41,104.0,56,2,84.5,229,490,184,4.5,12.0,1.95
Pofele Ashlock,158166,WR,HAWAII,6,10.7,5,70.9,37.5,3,8,0,13.3,6,21,180,0,52.4,72.9,70.1,,71.5,0.0,0,0,53,0.0,0,220,2,39,94.1,207,98.2,216,115.3,55,3,1.8,4,474,151,3.9,12.2,2.29
Khaleb Hood,97159,WR,GA SOUTHRN,5,7.6,3,70.4,55.6,5,9,0,9.5,4,23,174,0,63.2,80.0,75.1,,76.5,0.9,2,0,43,0.0,0,211,2,38,96.2,203,91.0,192,111.8,54,3,7.6,16,422,161,4.2,11.1,2.08
Malik Nabers,146759,WR,LSU,5,12.0,10,75.5,62.5,5,8,0,2.4,1,32,211,0,84.9,73.0,90.3,,89.8,0.0,0,1,48,0.0,0,191,1,40,97.9,187,47.1,90,137.7,53,5,52.9,101,625,201,5.0,15.6,3.34
Luther Burden III,157170,WR,MISSOURI,5,7.6,15,81.1,62.5,5,8,0,4.4,2,24,229,0,79.8,78.2,92.1,,93.3,0.0,0,0,56,0.0,0,142,3,43,94.4,134,83.8,119,148.5,53,5,14.8,21,641,400,9.3,14.9,4.78
Malik Washington,97108,WR,VIRGINIA,5,9.4,12,71.2,50.0,3,6,0,5.1,2,22,335,0,76.2,74.4,81.8,,84.8,5.7,10,3,63,0.0,0,176,0,37,96.0,169,86.9,153,107.5,52,4,7.4,13,556,279,7.5,15.0,3.29
Jacob Cowing,100894,WR,ARIZONA,5,5.4,6,69.2,14.3,1,7,0,5.3,2,16,109,1,75.6,52.1,67.4,,69.7,0.0,0,3,30,0.0,0,200,0,36,96.0,192,70.0,140,86.5,52,4,29.0,58,314,235,6.5,8.7,1.64
Terrell Vaughn,157634,WR,UTAH ST,5,8.5,5,73.1,40.0,2,5,0,5.0,2,18,329,0,76.8,74.2,69.5,,71.3,0.0,0,0,42,0.0,0,200,0,38,97.0,194,93.0,186,129.2,52,6,6.0,12,347,142,3.7,9.1,1.79
Tory Horton,128232,WR,COLO STATE,4,6.3,13,86.5,100.0,1,1,0,0.0,0,29,144,1,91.7,53.6,90.0,,88.4,0.0,0,4,76,0.0,0,176,2,45,94.9,167,21.6,38,116.3,52,6,78.4,138,540,352,7.8,12.0,3.23
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,5,8.7,11,75.0,50.0,4,8,0,2.7,1,15,174,1,83.8,38.1,63.6,,63.6,0.0,0,2,68,0.0,0,234,2,36,96.2,225,12.0,28,100.3,48,3,88.0,206,371,145,4.0,10.3,1.65
