player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Vernon Butler,10664,DI,BUF,7,1,0,4,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,51,0,2,0,0,0,0,,,0,0,6.0,100.0,1.6,1.0,1.0,0,0,0.0,60.0,0,6,,0,0,91.7,1,1,100.0,63,0,0,1,0,6,0,6.0,6.0
Emmanuel Ogbah,10666,ED,MIA,12,14,0,17,0,-4.0,100.0,5.0,9.0,9.0,0,0,0.0,69.1,0,3,25.0,1,0,79.2,1,11,78.6,218,8,3,1,0,3,7,0.3,3.0,0,2,,,1.7,,,1,1,,69.6,0,,33.3,1,1,0.0,0,3,21.4,178,1,0,0,0,0,0,0.0,
Jaylon Smith,10668,LB,GB,6,120,0,12,0,-3.5,100.0,86.8,21.5,21.5,0,0,0.0,81.8,0,1,0.0,0,0,79.2,2,46,38.3,53,2,4,2,0,1,8,0.0,0.5,0,1,4.3,85.7,88.6,9.3,8.0,0,1,14.3,69.9,0,27,0.0,0,1,112.5,6,62,51.7,70,2,5,7,0,77,59,1.4,12.8
Myles Jack,10670,LB,JAX,10,296,0,15,0,3.0,77.8,69.9,9.9,7.7,0,0,0.0,41.8,0,22,0.0,0,0,141.0,7,79,26.7,113,2,5,9,2,75,53,1.1,10.7,0,7,4.2,83.3,91.0,9.3,7.7,0,1,4.2,58.1,0,15,4.0,1,0,93.8,20,191,64.5,210,3,17,24,0,156,102,0.8,7.8
Chris Jones,10671,ED,KC,9,2,0,16,0,,,1.0,,,0,0,,59.8,0,,,0,0,0.0,0,1,50.0,102,3,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,141,3,1,0,0,0,0,,
Xavien Howard,10672,CB,MIA,11,472,0,17,0,12.0,45.2,100.0,11.7,5.3,0,5,11.9,73.3,3,64,8.3,1,5,74.8,19,234,49.6,234,5,11,42,4,333,128,1.5,17.5,0,1,12.3,70.8,99.5,11.9,8.5,1,2,8.3,55.2,0,41,12.5,2,2,113.0,17,209,44.3,210,4,13,24,1,219,60,1.1,12.9
Reggie Ragland,10675,LB,NYG,11,180,0,21,0,,,54.3,,,0,0,,80.5,0,,,0,0,0.0,0,19,10.6,35,0,0,0,0,0,0,0.0,,0,2,2.6,83.3,91.7,8.5,7.1,1,1,5.6,60.8,0,22,0.0,0,1,96.1,15,132,73.3,144,5,15,18,0,127,111,1.0,8.5
Jihad Ward,10678,ED,JAX,11,10,0,15,0,,,2.1,,,0,0,,53.1,0,,50.0,1,0,0.0,0,1,10.0,48,0,1,0,0,0,0,0.0,,0,2,,,8.2,,,0,0,,73.2,0,,14.3,1,0,0.0,0,8,80.0,98,3,4,0,0,0,0,0.0,
Jarran Reed,10683,DI,KC,11,6,0,16,1,,,0.0,,,0,0,,55.5,0,,0.0,0,0,0.0,0,0,0.0,105,0,0,0,0,0,0,,,0,0,,,3.6,,,0,0,,50.9,0,,100.0,3,0,0.0,0,5,83.3,140,1,0,0,0,0,0,0.0,
Deion Jones,10686,LB,ATL,10,344,0,2,0,-2.2,90.0,87.3,11.6,10.4,0,1,10.0,64.4,0,30,50.0,4,1,136.3,9,117,34.0,134,3,4,10,1,87,111,0.8,9.7,0,4,4.5,90.5,83.8,5.2,4.7,0,0,0.0,30.1,0,37,11.8,4,0,109.4,38,202,58.7,241,9,26,42,0,431,271,2.2,11.3
