player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Trevor Lawrence,77632,QB,JAX,7,2.51,2.27,3.31,4.66,280,15,79.7,158,163,5.3,1.82,5,5,3.0,72.4,118,19,6.3,164,58.6,8,46,,,,68.2,80.7,82.5,78.9,,,,0,1,167,5.3,88.2,0.6,1,0,0,0,1,5,3.0,1027,6.3,69.7,66,76,12.9,3.55,4,7,7.9,56.6,43,63,6.5,114,40.7,3,39,,,,35.2,78.0,81.4,72.4,,,78.5,2,2,127,23.8,102.9,13.2,15,23,0,4,7,5,3.9,619,8.1
Derek Carr,8671,QB,NO,7,2.59,2.51,3.13,4.92,278,20,77.4,137,143,5.6,1.89,2,4,2.7,71.3,102,29,3.8,147,52.9,4,45,,,,87.9,67.5,21.5,67.4,,,,3,2,151,13.8,86.1,2.7,4,0,0,1,3,3,2.0,802,5.6,63.0,100,112,14.0,3.38,1,8,6.7,54.5,61,71,3.2,131,47.1,2,32,,,,40.1,56.3,81.8,57.3,,,52.3,1,2,140,19.7,78.6,10.7,14,5,0,10,3,5,3.6,798,7.1
Sam Howell,97599,QB,WAS,6,2.92,2.62,3.58,5.67,265,32,90.0,90,96,3.8,1.91,4,2,2.0,79.2,76,22,6.2,99,37.4,5,31,,,,85.1,74.9,80.6,73.6,,,,1,1,103,13.6,107.2,3.0,3,0,0,1,5,1,1.0,635,6.6,68.6,105,118,12.0,3.54,2,9,7.0,58.5,69,78,4.2,165,62.3,3,44,,,,65.5,58.7,82.8,56.2,,,68.9,0,5,183,39.7,75.0,18.8,31,16,0,11,4,7,3.8,865,7.3
Kirk Cousins,7102,QB,MIN,6,2.71,2.66,3.28,4.5,251,18,81.4,97,100,4.6,1.93,0,0,0.0,75.0,75,25,5.1,104,41.4,4,34,,,,85.5,69.9,80.9,68.9,,,,2,2,109,16.0,93.0,3.8,4,0,0,1,4,3,2.8,562,5.6,76.8,125,134,10.5,3.26,0,6,4.1,61.9,83,53,13.5,147,58.6,13,48,,,,27.8,83.9,82.3,82.5,,,54.2,4,2,158,20.8,107.1,7.5,11,2,0,5,10,3,1.9,1117,8.3
Joe Burrow,28022,QB,CIN,6,2.37,2.26,3.05,5.03,251,7,76.1,159,168,5.8,1.83,3,2,1.2,66.7,112,29,7.4,172,68.5,9,50,,,,89.1,68.8,82.7,67.8,,,,5,2,177,13.8,80.8,2.3,4,0,0,1,3,2,1.1,894,5.3,69.8,53,63,8.8,3.53,1,3,4.3,55.6,35,35,5.4,79,31.5,2,18,,,,83.7,61.4,79.9,61.5,,,58.3,1,2,85,28.6,78.5,12.7,10,6,0,8,4,2,2.4,336,5.3
Matthew Stafford,4924,QB,LA,6,2.57,2.46,3.04,4.82,250,26,77.7,112,119,5.8,1.87,1,2,1.7,70.6,84,27,3.4,122,48.8,3,45,,,,86.5,75.4,81.4,73.9,,,,1,0,125,11.1,104.6,2.5,3,0,0,5,6,2,1.6,767,6.4,67.4,95,105,13.2,3.27,3,16,14.3,52.4,55,62,14.1,127,50.8,9,40,,,,87.1,87.0,81.7,85.9,,,59.9,0,5,135,21.0,62.0,10.2,13,9,0,7,0,3,2.2,910,8.7
Patrick Mahomes,11765,QB,KC,6,2.95,2.72,4.17,5.38,249,16,82.1,106,107,2.5,1.68,1,2,1.9,77.6,83,9,4.6,108,43.4,4,38,,,,85.5,84.9,81.0,82.8,,,,0,1,109,11.1,109.4,0.9,1,0,0,0,7,0,0.0,638,6.0,72.4,105,117,11.6,3.93,0,7,5.5,59.8,70,74,7.9,141,56.6,6,49,,,,88.0,82.1,82.1,71.5,,,92.2,4,4,153,6.8,83.1,3.5,5,19,0,8,4,9,5.9,955,8.2
Jalen Hurts,40291,QB,PHI,6,3.21,2.9,4.57,5.86,245,24,86.9,99,100,4.5,1.94,0,1,1.0,82.0,82,12,4.7,102,41.6,4,37,,,,85.3,74.3,80.8,73.5,,,58.3,0,3,106,8.3,90.5,1.0,1,1,0,1,2,3,2.8,712,7.1,68.4,95,113,14.1,4.12,1,13,11.0,52.2,59,77,9.2,143,58.4,6,38,,,,87.8,77.0,82.1,73.0,,,75.7,4,4,150,16.9,76.2,9.1,13,17,0,13,5,7,4.7,830,7.3
C.J. Stroud,129759,QB,HST,6,2.88,2.79,3.41,4.62,232,13,75.5,102,104,5.9,1.96,0,1,0.9,68.3,71,22,7.8,105,45.3,6,41,,,,85.7,75.6,81.0,74.1,,,,2,1,112,4.5,107.3,1.0,1,0,0,0,6,2,1.8,827,8.0,68.1,91,104,11.6,3.69,2,5,4.5,53.8,56,58,9.7,125,53.9,6,40,,,,37.3,67.5,81.6,65.6,,,68.1,0,0,131,20.7,89.9,9.6,12,9,0,11,3,4,3.1,833,8.0
Desmond Ridder,55086,QB,ATL,6,2.62,2.46,3.26,4.91,232,2,74.6,114,116,6.3,1.92,2,2,1.7,69.8,81,23,4.7,119,51.3,4,43,,,,34.9,48.5,81.4,49.2,,,,0,5,125,13.0,83.5,2.5,3,0,0,0,5,10,8.0,748,6.4,66.2,77,86,11.0,3.39,2,3,3.3,57.0,49,55,3.9,112,48.3,2,32,,,,59.9,49.8,81.2,49.5,,,60.2,0,1,119,29.1,79.2,14.3,16,10,0,7,1,4,3.4,632,7.3
