player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Trevor Lawrence,77632,QB,JAX,7,2.11,0,280,15,72.3,184,197,9.9,2.73,7,12,5.6,62.9,124,81,6.8,235,83.9,9,75,,,,49.4,82.0,63.3,78.6,,,76.5,2,3,251,19.8,91.9,6.8,16,22,0,4,8,10,4.0,1426,7.2,75.0,172,181,7.8,2.39,6,9,4.7,66.9,121,56,6.2,210,75.0,8,60,,,,44.4,78.8,61.7,76.4,60.0,,71.6,0,2,221,21.4,94.7,5.7,12,15,0,3,8,8,3.6,1163,6.4,82.7,52,58,6.7,2.87,3,3,4.8,69.0,40,26,7.0,70,25.0,3,25,,,,83.0,79.6,79.5,75.8,,,73.3,2,1,75,15.4,87.1,5.7,4,8,0,1,0,2,2.7,483,8.3,0,97.5,40,42,-3.2,1.34,2,0,0.0,88.1,37,1,5.1,45,16.1,2,10,,,,79.6,68.0,77.7,68.6,60.0,,58.3,0,0,45,0.0,88.5,0.0,0,1,0,0,0,0,0.0,220,5.2,1.9
Derek Carr,8671,QB,NO,7,-3.81,0,278,20,69.3,215,231,10.4,2.69,3,12,4.9,61.9,143,99,4.0,254,91.4,6,70,,,,64.4,63.2,60.9,62.5,,,61.6,4,4,267,18.2,81.1,7.1,18,5,0,9,5,8,3.0,1523,6.6,72.0,207,222,8.9,2.51,2,12,5.2,64.4,143,85,4.0,241,86.7,6,68,,,,62.8,66.0,60.0,65.2,,,61.0,4,4,252,20.0,84.2,7.1,17,2,0,9,6,8,3.2,1437,6.5,66.7,30,33,10.7,3.12,1,0,0.0,60.6,20,15,0.0,37,13.3,0,9,,,,78.9,51.8,77.3,51.4,,,61.3,0,0,39,6.7,73.2,2.7,1,3,0,2,0,0,0.0,163,4.9,0,90.9,22,24,-3.3,1.53,0,0,0.0,83.3,20,1,0.0,24,8.6,0,7,,,,76.1,64.7,75.6,64.1,,,,0,0,24,0.0,93.9,0.0,0,0,0,2,1,0,0.0,77,3.2,-1.53
Sam Howell,97599,QB,WAS,6,-5.86,0,265,32,76.1,176,194,9.5,2.99,6,11,5.3,65.5,127,98,5.2,245,92.5,7,69,,,,74.6,65.4,85.7,62.8,,,70.0,1,6,265,34.7,85.5,13.9,34,16,0,11,8,8,3.0,1304,6.7,80.7,161,179,7.6,2.81,6,9,4.8,68.7,123,88,5.4,223,84.2,7,64,,,,72.2,67.8,85.4,64.3,,,75.4,1,5,238,35.2,87.0,13.9,31,12,0,11,5,8,3.4,1289,7.2,67.6,34,35,11.4,3.46,0,2,5.1,62.9,22,13,4.3,42,15.8,1,11,,,,80.3,57.3,77.9,58.9,,,54.4,0,1,49,23.1,105.8,7.1,3,4,0,1,4,0,0.0,211,6.0,0,100.0,19,20,-3.8,1.97,0,0,0.0,90.0,18,3,5.3,20,7.5,1,6,,,,75.6,67.1,75.0,66.4,,,,0,0,22,0.0,124.2,0.0,0,0,0,1,1,0,0.0,196,9.8,-1.17
Matthew Stafford,4924,QB,LA,6,1.54,0,253,26,70.7,188,206,10.4,2.64,3,18,8.4,58.7,121,87,9.0,230,90.9,12,82,,,,90.3,85.3,60.3,84.1,,,61.2,1,5,240,17.2,81.4,6.5,15,9,3,11,5,5,2.1,1601,7.8,71.4,175,187,8.7,2.44,1,10,5.2,61.0,114,71,8.8,209,82.6,11,67,,,,90.1,74.2,58.7,72.7,,,66.1,0,5,217,19.7,80.0,6.7,14,7,3,8,6,5,2.3,1239,6.6,81.3,32,40,11.7,3.03,3,8,18.6,62.5,25,18,3.8,44,17.4,1,18,,,,80.0,95.4,77.7,95.0,,,52.3,1,0,47,11.1,99.8,4.5,2,2,0,4,0,0,0.0,438,11.0,0,94.7,19,21,-2.9,1.5,1,0,0.0,85.7,18,2,0.0,23,9.1,0,3,,,,76.1,62.2,75.3,61.8,,,,0,0,24,50.0,97.6,4.3,1,0,0,1,1,0,0.0,76,3.6,4.32
Kirk Cousins,7102,QB,MIN,6,3.42,0,252,18,77.4,199,212,9.2,2.79,0,6,2.6,65.1,138,77,10.4,229,90.9,16,77,,,,29.5,80.4,58.3,79.5,,,58.7,6,4,244,19.5,99.7,6.6,15,2,1,6,13,6,2.5,1567,7.4,77.5,160,169,8.4,2.54,0,4,2.2,66.3,112,54,9.7,178,70.6,12,54,,,,35.2,72.2,53.6,71.5,,,60.3,5,4,189,14.8,95.5,4.5,8,1,1,3,9,5,2.6,1229,7.3,82.3,62,66,6.7,3.07,0,2,2.8,69.7,46,24,9.8,74,29.4,5,28,,,,40.1,89.4,79.7,87.7,,,58.3,1,0,80,29.2,113.8,9.5,7,1,0,3,5,1,1.3,450,6.8,0,91.3,23,23,-3.4,1.83,0,0,0.0,87.0,20,1,4.8,23,9.1,1,5,,,,76.3,67.8,75.5,67.1,,,,0,0,25,0.0,101.4,0.0,0,0,0,0,1,0,0.0,112,4.9,-0.45
Joe Burrow,28022,QB,CIN,6,-10.5,0,252,7,71.4,189,208,7.7,2.46,4,5,2.3,59.6,124,61,8.1,228,90.5,11,63,,,,90.3,65.5,30.3,65.6,,,58.2,6,4,239,23.0,77.1,6.1,14,6,1,8,7,4,1.7,1107,5.3,73.7,179,190,6.2,2.25,2,2,1.0,65.3,124,49,6.1,207,82.1,8,51,,,,90.2,61.9,26.9,62.5,,,55.7,4,3,216,26.5,78.0,6.3,13,4,1,4,4,4,1.9,962,5.1,78.8,33,42,8.3,2.84,2,3,6.8,54.8,23,15,11.5,45,17.9,3,17,,,,80.0,77.9,77.7,76.1,,,63.4,2,1,47,6.7,88.2,2.2,1,2,0,5,3,0,0.0,268,6.4,0,100.0,23,24,-2.4,1.38,0,0,0.0,95.8,23,3,0.0,24,9.5,0,5,,,,76.1,69.2,75.3,68.4,,,,0,0,24,0.0,88.0,0.0,0,0,0,1,0,0,0.0,123,5.1,1.32
Patrick Mahomes,11765,QB,KC,6,-8.2,0,250,16,73.5,181,194,8.8,3.15,1,9,4.4,63.4,123,78,7.5,217,86.8,10,76,,,,76.2,85.3,85.6,78.7,,,89.3,4,5,230,6.4,91.8,2.3,5,18,1,7,10,9,3.9,1415,7.3,79.1,177,189,6.6,2.85,1,7,3.5,69.3,131,68,6.4,209,83.6,9,73,,,,75.4,86.2,85.5,80.0,,,87.5,4,4,220,5.9,96.8,1.9,4,16,1,6,10,8,3.6,1278,6.8,67.6,34,36,9.4,3.4,0,2,5.3,61.1,22,15,4.3,41,16.4,1,14,,,,79.5,70.6,77.7,66.2,,,74.8,0,1,43,13.3,87.2,4.9,2,3,0,2,1,1,2.3,315,8.8,0,100.0,30,31,-3.5,1.59,0,0,0.0,96.8,30,5,0.0,33,13.2,0,11,,,,77.9,71.3,76.7,68.4,,,63.9,0,0,33,20.0,101.3,3.0,1,1,0,1,1,0,0.0,178,5.7,1.99
Jalen Hurts,40291,QB,PHI,6,-2.08,0,245,24,75.7,173,192,10.7,3.37,1,14,7.0,63.0,121,88,7.6,224,91.4,10,71,,,,66.5,76.0,62.5,75.1,,,67.1,4,6,234,15.9,85.3,6.3,14,18,0,14,7,10,4.3,1456,7.6,77.6,152,165,8.8,3.12,0,10,5.8,66.7,110,69,6.8,185,75.5,8,57,,,,62.3,69.8,60.0,69.0,,,64.6,2,6,194,10.1,86.7,3.8,7,13,0,11,7,9,4.6,1192,7.2,78.6,42,48,10.7,3.49,1,4,8.0,64.6,31,20,6.1,60,24.5,2,18,,,,81.7,88.3,78.8,84.6,,,72.3,2,1,62,35.0,77.6,11.7,7,5,0,3,0,1,1.6,350,7.3,0,95.2,21,21,-2.7,1.52,0,0,0.0,95.2,20,1,0.0,21,8.6,0,4,,,,75.6,70.1,75.0,69.3,,,,0,1,22,0.0,63.9,0.0,0,0,0,0,0,0,0.0,86,4.1,0.07
C.J. Stroud,129759,QB,HST,6,-2.34,0,237,13,69.5,174,193,9.9,2.92,2,6,2.9,57.0,110,78,9.1,214,90.3,11,77,,,,59.4,73.4,85.9,70.3,,,72.9,2,1,226,16.7,95.6,6.1,13,8,5,10,9,6,2.7,1512,7.8,72.4,152,168,7.8,2.66,2,3,1.7,60.1,101,55,8.2,181,76.4,9,63,,,,54.2,73.3,85.5,69.7,,,75.2,2,1,191,12.7,94.9,3.9,7,5,5,7,7,4,2.1,1262,7.5,70.7,41,45,11.4,3.33,0,3,6.3,57.8,26,25,10.3,56,23.6,3,18,,,,81.3,67.3,78.6,67.6,,,56.9,0,0,59,24.0,101.9,10.7,6,4,0,4,2,2,3.4,398,8.8,0,94.7,19,20,-3.4,1.82,0,0,0.0,85.0,17,2,5.6,23,9.7,1,4,,,,75.9,64.3,75.3,65.4,,,58.3,0,0,24,0.0,97.5,0.0,0,1,0,1,0,0,0.0,148,7.4,1.33
Desmond Ridder,55086,QB,ATL,6,-11.43,0,233,2,68.4,171,182,9.6,2.71,4,5,2.6,61.5,112,77,4.3,211,90.6,5,71,,,,43.3,46.3,36.8,46.0,,,59.6,0,6,223,24.7,76.4,9.0,19,10,1,6,4,14,6.3,1287,7.1,71.4,140,144,7.1,2.38,2,2,1.3,67.4,97,49,3.0,165,70.8,3,52,,,,32.7,44.9,30.8,44.3,,,59.7,0,5,175,26.5,77.7,7.9,13,8,1,1,3,12,6.9,933,6.5,70.6,51,59,11.1,3.19,2,3,4.9,55.9,33,29,8.3,68,29.2,3,23,,,,82.6,58.4,79.3,58.3,,,59.6,0,1,71,20.7,90.1,8.8,6,2,0,6,3,2,2.8,447,7.6,0,95.0,20,21,-3.7,1.65,0,0,0.0,85.7,18,1,5.3,22,9.4,1,4,,,,75.9,64.3,75.2,63.8,,,,0,0,23,0.0,116.9,0.0,0,0,0,1,2,0,0.0,93,4.4,1.1
