player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jalon Calhoun,97272,WR,DUKE,4,7.0,7,74.1,50.0,1,2,0,4.8,1,14,154,0,64.7,77.1,71.6,,73.0,0.0,0,0,34,0.0,0,125,1,20,94.4,118,95.2,119,116.0,27,1,4.8,6,258,133,6.7,12.9,2.19
Ben Sinnott,122616,TE,KANSAS ST,4,11.5,3,61.5,25.0,1,4,1,11.1,2,12,199,1,58.6,25.0,73.9,69.9,69.9,54.7,76,2,40,10.1,14,139,2,16,87.8,122,29.5,41,85.9,26,2,6.5,9,243,91,5.7,15.2,1.99
Gage Larvadain,150169,WR,MIAMI OH,4,13.1,3,69.2,20.0,1,5,0,10.0,2,10,221,1,61.3,24.5,76.4,,79.6,0.0,0,1,99,0.0,0,85,1,18,95.3,81,64.7,55,135.4,26,4,35.3,30,428,207,11.5,23.8,5.28
Taylor Morin,97213,WR,WAKE,4,11.7,5,69.2,28.6,2,7,0,0.0,0,9,339,0,85.1,79.2,67.6,,67.0,0.0,0,1,48,0.0,0,138,0,18,91.3,126,45.7,63,107.7,26,2,54.3,75,239,74,4.1,13.3,1.9
Dane Key,157100,WR,KENTUCKY,4,12.4,2,50.0,25.0,1,4,0,18.8,3,9,202,0,43.3,69.0,65.8,,66.3,0.0,0,2,44,0.0,0,116,1,13,93.1,108,9.5,11,68.8,26,2,90.5,105,196,69,5.3,15.1,1.81
Konata Mumpfield,145598,WR,PITTSBURGH,4,9.5,2,61.5,20.0,1,5,0,5.9,1,11,268,0,71.1,69.5,69.6,,69.7,0.0,0,2,40,0.0,0,125,0,16,94.4,118,81.6,102,76.3,26,2,18.4,23,183,72,4.5,11.4,1.55
Bryce Kirtz,97424,WR,NWESTERN,3,15.0,3,65.4,42.9,3,7,0,5.6,1,12,256,0,72.1,69.7,73.9,,73.2,0.0,0,0,80,0.0,0,107,0,17,97.2,104,1.9,2,126.1,26,2,98.1,105,274,99,5.8,16.1,2.63
Emeka Egbuka,145055,WR,OHIO STATE,4,9.7,6,73.1,50.0,1,2,0,5.0,1,14,260,0,74.4,79.0,75.2,,75.9,0.8,1,0,28,0.0,0,124,1,19,95.2,118,76.6,95,143.6,26,3,21.8,27,263,121,6.4,13.8,2.23
Brock Bowers,146715,TE,GEORGIA,4,3.0,9,84.6,0.0,0,2,0,4.3,1,14,173,2,75.9,18.3,75.6,74.0,74.8,39.5,51,0,41,12.4,16,129,1,22,82.2,106,46.5,60,133.8,26,2,9.3,12,259,219,10.0,11.8,2.44
Nate McCollum,122487,WR,N CAROLINA,3,7.9,2,80.8,50.0,1,2,0,4.5,1,10,245,0,75.2,70.4,74.4,,74.0,0.0,0,1,46,0.0,0,77,0,21,96.1,74,94.8,73,98.7,26,1,5.2,4,220,90,4.3,10.5,2.97
Dee Wiggins,78016,WR,CINCINNATI,5,12.0,1,57.7,66.7,4,6,0,6.3,1,9,138,0,69.9,69.2,62.0,,61.6,0.6,1,2,39,0.0,0,160,0,15,95.0,152,7.5,12,62.8,26,1,91.9,147,199,32,2.1,13.3,1.31
Tyrin Smith,145487,WR,UTEP,4,9.0,5,73.1,60.0,3,5,1,5.0,1,6,330,0,73.6,73.9,65.9,,65.7,0.0,0,3,24,0.0,0,110,2,19,91.8,101,77.3,85,66.8,26,1,22.7,25,191,78,4.1,10.1,1.89
Beaux Collins,144112,WR,CLEMSON,4,7.9,1,65.4,50.0,2,4,0,10.5,2,12,140,0,60.0,69.7,66.9,,66.4,0.0,0,0,69,0.0,0,131,0,17,96.2,126,6.9,9,105.6,26,1,93.1,122,226,115,6.8,13.3,1.79
Corey Rucker,121539,WR,ARK STATE,4,16.8,0,30.8,10.0,1,10,0,27.3,3,6,113,0,27.6,67.1,56.8,,56.8,0.0,0,2,38,0.0,0,96,0,8,99.0,95,12.5,12,15.4,26,0,87.5,84,123,43,5.4,15.4,1.29
Devan Williams,162635,WR,TULSA,5,14.8,2,69.2,57.1,4,7,1,0.0,0,13,320,0,85.1,69.9,72.0,,72.4,0.0,0,3,42,0.0,0,123,1,18,95.9,118,12.2,15,88.3,26,2,87.8,108,265,28,1.6,14.7,2.25
Ashtyn Hawkins,147222,WR,TEXAS ST,4,14.0,4,68.0,33.3,1,3,0,15.0,3,9,314,0,49.0,69.7,62.1,,65.9,0.0,0,0,31,0.0,0,117,1,17,98.3,115,92.3,108,103.1,25,1,7.7,9,186,46,2.7,10.9,1.62
Alex Adams,124085,WR,AKRON,4,8.4,2,76.0,0.0,0,1,0,9.5,2,8,102,0,63.6,70.2,61.2,,62.7,0.0,0,1,29,0.0,0,137,1,19,96.4,132,97.8,134,89.6,25,1,2.2,3,165,85,4.5,8.7,1.25
Xavier Guillory,141590,WR,ARIZONA ST,4,14.5,2,48.0,20.0,1,5,0,14.3,2,4,110,0,53.7,68.7,50.5,,50.5,0.0,0,1,47,0.0,0,159,1,12,95.6,152,18.9,30,62.1,25,1,81.1,129,140,52,4.3,11.7,0.92
Corey Crooms,97276,WR,MINNESOTA,4,12.7,1,64.0,40.0,2,5,0,0.0,0,12,225,0,84.2,71.3,73.7,,75.1,0.0,0,0,27,0.0,0,100,0,16,95.0,95,74.0,74,88.1,25,0,26.0,26,196,53,3.3,12.3,2.06
Ryan O'Keefe,101139,WR,BOSTON COL,4,7.5,1,80.0,0.0,0,1,0,0.0,0,7,121,1,85.9,34.5,66.2,,64.7,0.0,0,0,38,0.0,0,103,0,20,95.1,98,72.8,75,115.7,25,1,23.3,24,214,97,4.9,10.7,2.18
Lawrence Keys III,84346,WR,TULANE,4,14.2,2,68.0,50.0,2,4,0,5.6,1,15,319,0,72.1,71.1,81.3,,81.9,0.0,0,1,57,0.0,0,91,1,17,96.7,88,25.3,23,133.8,25,3,73.6,67,345,143,8.4,20.3,3.92
Benjamin Yurosek,131786,TE,STANFORD,4,11.6,2,60.0,40.0,2,5,0,11.8,2,9,300,0,57.3,72.5,68.7,61.7,68.2,56.1,83,0,32,19.6,29,148,1,15,77.0,114,41.2,61,103.3,25,1,1.4,2,227,64,4.3,15.1,1.99
London Humphreys,172616,WR,VANDERBILT,5,19.1,0,48.0,37.5,3,8,0,14.3,2,10,333,0,51.7,69.6,72.8,,74.0,0.0,0,1,56,0.0,0,107,0,12,91.6,98,15.9,17,114.8,25,3,84.1,90,299,60,5.0,24.9,3.05
Lewis Bond,143817,WR,BOSTON COL,4,9.2,11,64.0,50.0,1,2,2,15.8,3,10,121,0,49.0,69.7,70.1,,70.8,0.0,0,0,42,0.0,0,125,2,16,92.0,115,36.8,46,136.0,25,4,61.6,77,246,176,11.0,15.4,2.14
Da'Quan Felton,104059,WR,VA TECH,4,18.6,2,40.0,0.0,0,3,0,16.7,2,5,337,0,47.1,67.9,57.7,,57.7,0.0,0,2,39,0.0,0,137,1,10,94.9,130,6.6,9,36.8,25,1,93.4,128,128,81,8.1,12.8,0.98
Naiem Simmons,142674,WR,USF,4,16.2,2,60.0,0.0,0,1,0,11.8,2,11,327,0,57.1,69.2,64.0,,65.8,0.0,0,1,53,0.0,0,139,1,15,93.5,130,10.1,14,114.2,25,2,89.9,125,357,117,7.8,23.8,2.75
Marlyn Johnson,98289,WR,BUFFALO,4,11.0,3,56.0,57.1,4,7,0,12.5,2,8,126,1,55.7,23.8,60.0,,62.4,0.0,0,2,36,0.0,0,151,2,14,94.7,143,35.8,54,82.8,25,4,64.2,97,167,55,3.9,11.9,1.17
Andrel Anthony,144916,WR,OKLAHOMA,4,14.0,0,84.0,75.0,3,4,0,4.5,1,16,261,0,75.2,70.4,83.5,,82.6,2.0,2,0,55,0.0,0,99,0,21,92.9,92,9.1,9,132.1,25,1,88.9,88,361,79,3.8,17.2,3.92
Damien Alford,123029,WR,SYRACUSE,4,13.9,1,68.0,75.0,3,4,0,10.5,2,10,304,0,60.2,69.7,67.3,,69.5,0.0,0,1,34,0.0,0,137,0,17,94.2,129,15.3,21,96.6,25,1,84.7,116,247,66,3.9,14.5,1.91
Cole Harrity,138482,WR,BUFFALO,4,6.9,4,76.0,100.0,2,2,0,13.6,3,8,126,0,52.3,71.2,57.5,,57.1,0.0,0,0,29,0.0,0,116,1,19,97.4,113,100.0,116,114.8,25,2,0.0,0,136,30,1.6,7.2,1.2
Mark Redman,131911,TE,S DIEGO ST,5,9.4,0,75.0,40.0,2,5,0,0.0,0,10,284,0,85.5,70.4,68.6,75.1,71.6,50.0,90,1,29,6.1,11,180,1,18,91.1,164,39.4,71,112.0,24,2,9.4,17,213,84,4.7,11.8,1.3
George Johnson III,101696,WR,UMASS,5,11.0,1,62.5,44.4,4,9,0,0.0,0,8,216,0,83.8,69.2,63.5,,63.0,0.0,0,1,32,0.0,0,164,2,15,93.3,153,19.5,32,79.9,24,1,80.5,132,168,31,2.1,11.2,1.1
Jacolby George,143942,WR,MIAMI FL,4,8.7,4,87.5,100.0,1,1,0,4.5,1,14,220,0,75.9,72.1,87.1,,86.7,0.0,0,1,64,0.0,0,85,0,21,91.8,78,4.7,4,139.6,24,4,95.3,81,292,169,8.0,13.9,3.74
Jalen McMillan,131905,WR,WASHINGTON,3,11.0,3,83.3,0.0,0,1,0,9.1,2,12,340,1,63.8,41.2,76.1,,76.5,0.0,0,0,39,0.0,0,85,1,20,92.9,79,85.9,73,158.3,24,3,8.2,7,305,144,7.2,15.3,3.86
Jayden Higgins,150240,WR,IOWA STATE,4,11.8,1,54.2,16.7,1,6,0,0.0,0,8,193,0,82.7,68.7,66.3,,66.3,0.0,0,2,18,0.0,0,108,0,13,97.2,105,36.1,39,66.8,24,2,63.9,69,153,32,2.5,11.8,1.46
Blake Watson,84363,HB,MEMPHIS,4,-1.8,12,100.0,,0,0,0,0.0,0,9,218,0,87.4,83.2,78.7,34.9,90.0,0.0,0,0,23,18.1,23,127,0,24,81.1,103,4.7,6,117.2,24,1,2.4,3,211,254,10.6,8.8,2.05
Charles Ross,97855,WR,S JOSE ST,5,13.6,0,58.3,50.0,2,4,0,6.7,1,10,285,0,70.1,69.2,56.3,,56.3,0.0,0,1,31,0.0,0,175,0,14,93.1,163,76.6,134,78.0,24,1,23.4,41,177,31,2.2,12.6,1.09
Wyatt Wieland,101342,WR,WYOMING,4,9.0,1,62.5,0.0,0,2,0,16.7,3,7,351,0,46.0,73.2,57.2,,57.0,0.0,0,0,29,0.0,0,100,0,15,96.0,96,37.0,37,96.4,24,1,59.0,59,163,64,4.3,10.9,1.7
