player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Tamon Lynum,129699,CB,NEBRASKA,3,0,0,,0,1,238,61.0,64.8,72.4,71.9,60.0,76.4,0,0,0,,0.0,0,0,0,0.0,0,1,1,18,13,19,0,0,0,0,0,0,19,1,5,0,1,1,0,1,0,0,0,
Pheldarius Payne,129709,DI,VA TECH,4,0,0,,0,0,337,60.0,85.0,0.0,89.6,77.7,76.7,0,3,0,,0.0,0,0,1,0.0,0,2,0,0,0,63,63,5,55,1,2,0,0,29,34,0,7,5,0,5,0,0,0,
Grant Tagge,129714,LB,NEBRASKA,1,0,0,100.0,0,0,238,50.9,49.9,71.8,56.8,60.1,,0,0,0,10,,0,0,0,108.3,1,0,8,0,5,13,4,0,0,4,0,0,9,5,3,1,0,0,1,0,0,10,4,10.0
Owen Bergin,129718,LB,NWESTERN,1,0,0,,0,0,256,60.0,60.5,64.6,,60.0,,0,0,0,,,0,0,0,0.0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,
Cullen Coleman,129720,ED,NWESTERN,1,0,1,,0,0,256,,65.4,71.5,64.8,60.4,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,7,7,0,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,
Joe DeHaan,129722,S,NWESTERN,2,0,0,50.0,0,0,256,93.3,93.5,70.6,,59.8,78.7,0,0,1,8,0.0,0,0,0,20.8,1,0,2,0,5,12,0,0,0,0,0,10,12,0,7,0,0,2,2,0,0,8,0,8.0
TeRah Edwards,129723,DI,ILLINOIS,4,1,0,,0,0,187,,69.5,80.8,54.9,76.6,73.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,82,82,75,7,0,0,0,0,47,35,0,2,2,0,0,0,0,0,
Garnett Hollis Jr.,129725,CB,NWESTERN,4,4,0,72.7,1,0,256,53.7,56.2,0.6,58.3,72.3,54.2,0,1,0,36,21.1,4,3,3,134.3,8,0,3,205,107,224,13,0,0,13,0,1,211,1,116,2,3,11,11,1,1,109,24,13.6
Jaheem Joseph,129726,S,NWESTERN,4,4,0,0.0,0,0,256,71.1,69.2,79.8,65.1,58.6,50.8,0,1,0,,30.0,3,0,0,39.6,0,0,17,1,53,99,0,0,0,0,0,68,99,1,45,13,1,3,1,1,0,0,0,
Gunner Maldonado,129727,S,ARIZONA,4,0,0,63.6,0,0,109,31.1,39.3,0.0,,76.4,60.2,0,0,0,37,16.7,3,0,1,137.5,7,0,31,1,105,182,3,0,0,3,0,124,179,0,77,23,5,15,11,0,1,153,46,21.9
Sean McLaughlin,129728,ED,NWESTERN,4,0,1,,0,0,256,60.0,59.5,81.0,55.6,61.5,28.3,0,3,0,,33.3,1,0,0,0.0,0,0,0,0,1,144,144,1,4,104,35,0,0,63,80,0,2,2,0,3,0,0,0,
Greyson Metz,129729,LB,NWESTERN,2,2,0,50.0,0,0,256,52.2,71.1,72.2,,82.8,79.3,0,0,0,9,0.0,0,0,0,62.5,1,0,22,0,8,24,1,0,0,1,0,0,23,0,16,1,2,2,2,0,0,9,0,9.0
Xander Mueller,129731,LB,NWESTERN,4,10,0,100.0,0,0,256,60.9,70.6,78.7,64.1,75.8,66.6,0,0,1,21,12.9,4,0,0,79.2,7,2,187,1,90,209,2,0,0,2,0,0,207,10,109,19,14,17,7,2,0,96,51,13.7
Nigel Williams,129739,CB,NWESTERN,1,0,0,,0,0,256,61.1,62.2,69.5,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,6,2,6,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,
