QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Geno Smith (25451129),Samaje Perine (25451230),Rachaad White (25451246),Garrett Wilson (25451556),Keenan Allen (25451504),DeAndre Hopkins (25451478),Mark Andrews (25451890),Jeff Wilson Jr. (25451222),Chiefs  (25452152)
Tua Tagovailoa (25451126),Samaje Perine (25451230),Rachaad White (25451246),Garrett Wilson (25451556),Chris Godwin (25451506),Tee Higgins (25451484),Mark Andrews (25451890),Jeff Wilson Jr. (25451222),Chiefs  (25452152)
Tua Tagovailoa (25451126),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Terry McLaurin (25451510),Chris Godwin (25451506),Keenan Allen (25451504),Hayden Hurst (25451916),DeAndre Hopkins (25451478),Chiefs  (25452152)
Joe Burrow (25451128),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Garrett Wilson (25451556),Keenan Allen (25451504),Tee Higgins (25451484),Hayden Hurst (25451916),Derrick Henry (25451200),Chiefs  (25452152)
Geno Smith (25451129),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Garrett Wilson (25451556),Tyler Lockett (25451502),Chris Godwin (25451506),Mark Andrews (25451890),DK Metcalf (25451494),Chiefs  (25452152)
Geno Smith (25451129),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Tee Higgins (25451484),Tyler Lockett (25451502),Keenan Allen (25451504),Mark Andrews (25451890),Marquez Valdes-Scantling (25451570),Chiefs  (25452152)
Geno Smith (25451129),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Chris Godwin (25451506),Keenan Allen (25451504),DeAndre Hopkins (25451478),Hayden Hurst (25451916),Kenneth Walker III (25451210),Panthers  (25452150)
Geno Smith (25451129),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Chris Godwin (25451506),Keenan Allen (25451504),Tee Higgins (25451484),Hayden Hurst (25451916),DeAndre Hopkins (25451478),Panthers  (25452150)
Geno Smith (25451129),Jeff Wilson Jr. (25451222),Derrick Henry (25451200),Garrett Wilson (25451556),Terry McLaurin (25451510),Keenan Allen (25451504),Trey McBride (25451924),DeAndre Hopkins (25451478),Chiefs  (25452152)
Patrick Mahomes (25451122),Rachaad White (25451246),Jeff Wilson Jr. (25451222),DK Metcalf (25451494),Keenan Allen (25451504),Tyreek Hill (25451472),Trey McBride (25451924),Foster Moreau (25451910),Chiefs  (25452152)
Tua Tagovailoa (25451126),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Garrett Wilson (25451556),JuJu Smith-Schuster (25451512),Tee Higgins (25451484),Greg Dulcich (25451904),Austin Ekeler (25451198),Chiefs  (25452152)
Tua Tagovailoa (25451126),Jeff Wilson Jr. (25451222),Rachaad White (25451246),Tyler Lockett (25451502),Jaylen Waddle (25451482),Keenan Allen (25451504),Trey McBride (25451924),James Conner (25451214),Chiefs  (25452152)
Geno Smith (25451129),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Justin Watson (25451854),Keenan Allen (25451504),Tyreek Hill (25451472),Tyler Conklin (25451922),Austin Ekeler (25451198),Chiefs  (25452152)
Mike White (25451162),Latavius Murray (25451250),Rachaad White (25451246),Christian Kirk (25451492),Chris Godwin (25451506),Keenan Allen (25451504),Travis Kelce (25451888),Jeff Wilson Jr. (25451222),Chiefs  (25452152)
Patrick Mahomes (25451122),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Garrett Wilson (25451556),Tyler Boyd (25451508),Terry McLaurin (25451510),Trey McBride (25451924),Tyreek Hill (25451472),Chiefs  (25452152)
Geno Smith (25451129),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Keenan Allen (25451504),Tyler Lockett (25451502),Jaylen Waddle (25451482),Mark Andrews (25451890),Marquez Valdes-Scantling (25451570),Chiefs  (25452152)
Geno Smith (25451129),Rachaad White (25451246),Jeff Wilson Jr. (25451222),Chris Godwin (25451506),Keenan Allen (25451504),Tee Higgins (25451484),Tyler Conklin (25451922),Travis Kelce (25451888),Panthers  (25452150)
