Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,11,400,274,2929,16,8.1,1736,1315,62,14.40%,4,0.90%,27,6.80%,17,48,11.20%,35
Buffalo Bills,10,352,228,2208,12,7.1,1305,1075,72,17.90%,30,7.40%,34,9.70%,28,92,22.80%,51
Carolina Panthers,11,375,252,2425,14,7.4,1458,1097,120,29.10%,35,8.50%,28,7.50%,22,85,20.60%,46
Chicago Bears,11,296,197,2165,12,7,1080,1000,52,15.70%,38,11.40%,14,4.70%,15,67,20.20%,44
Cincinnati Bengals,10,334,195,2096,10,8.6,1282,913,79,21.90%,25,6.90%,42,12.60%,16,83,23.00%,52
Cleveland Browns,10,302,194,2148,14,7.8,1266,1022,83,25.00%,33,9.90%,16,5.30%,22,71,21.40%,53
Indianapolis Colts,11,329,224,2136,13,6.8,909,1196,52,13.90%,29,7.70%,25,7.60%,28,82,21.90%,40
Arizona Cardinals,11,391,268,2699,21,6.2,1160,1687,157,36.90%,39,9.20%,44,11.30%,19,102,23.90%,63
Dallas Cowboys,10,311,201,1745,11,7.6,911,1108,105,28.30%,34,9.20%,36,11.60%,42,112,30.20%,42
Denver Broncos,10,357,220,1868,8,6.6,1041,997,141,35.60%,32,8.10%,32,9.00%,26,90,22.70%,59
Detroit Lions,10,338,222,2622,16,9.3,1581,971,109,28.60%,43,11.30%,25,7.40%,17,85,22.30%,37
Green Bay Packers,11,310,205,2117,16,6.8,1137,1056,134,39.10%,29,8.50%,30,9.70%,22,81,23.60%,40
Houston Texans,10,292,182,2107,9,7.9,1191,1039,61,18.40%,29,8.70%,24,8.20%,22,75,22.60%,59
Jacksonville Jaguars,10,354,226,2476,16,7.6,1289,1279,92,23.70%,34,8.80%,39,11.00%,16,89,22.90%,62
Kansas City Chiefs,10,377,255,2486,21,7.1,1396,1299,124,29.10%,37,8.70%,36,9.50%,32,105,24.60%,56
Miami Dolphins,10,349,237,2398,16,8,1299,1221,118,29.60%,29,7.30%,26,7.40%,20,75,18.80%,50
Minnesota Vikings,10,352,243,2673,14,8.3,1502,1292,71,17.50%,36,8.90%,23,6.50%,26,85,20.90%,47
New Orleans Saints,11,341,209,2147,13,8.2,1242,1119,65,16.80%,21,5.40%,17,5.00%,32,70,18.00%,59
New England Patriots,10,323,180,1883,12,9,1135,981,104,28.00%,55,14.80%,20,6.20%,36,111,29.80%,49
New York Giants,10,327,192,2118,10,8.3,1133,1090,150,41.00%,29,7.90%,35,10.70%,20,84,23.00%,29
New York Jets,10,340,215,2008,9,8.7,1162,1046,59,15.20%,23,5.90%,42,12.40%,32,97,24.90%,39
Tennessee Titans,10,404,260,2668,18,7.8,1626,1204,70,15.50%,34,7.50%,42,10.40%,30,106,23.50%,57
Philadelphia Eagles,10,352,210,1784,10,7.6,922,911,90,22.40%,29,7.20%,31,8.80%,33,93,23.10%,57
Pittsburgh Steelers,10,364,223,2721,22,8.9,1628,1198,120,29.90%,13,3.20%,26,7.10%,19,58,14.40%,44
Las Vegas Raiders,10,340,243,2476,17,6.5,1271,1314,109,29.90%,20,5.50%,33,9.70%,13,66,18.10%,48
Los Angeles Rams,10,328,225,2167,14,5.8,1094,1200,97,26.80%,10,2.80%,19,5.80%,22,51,14.10%,38
Baltimore Ravens,10,373,246,2498,13,6.3,1433,1264,91,21.60%,23,5.50%,25,6.70%,31,79,18.70%,51
Los Angeles Chargers,10,320,207,2206,16,8.3,1323,1028,99,28.00%,16,4.50%,27,8.40%,21,64,18.10%,35
Seattle Seahawks,10,335,221,2291,15,8.2,1155,1315,62,16.20%,24,6.30%,28,8.40%,27,79,20.70%,52
San Francisco 49ers,10,335,220,2028,9,6.2,1094,1098,86,22.50%,30,7.90%,33,9.90%,32,95,24.90%,46
Tampa Bay Buccaneers,10,329,209,1934,16,8.1,1146,999,111,29.40%,27,7.20%,30,9.10%,32,89,23.60%,35
Washington Commanders,11,348,209,2254,18,8.9,1460,967,93,23.30%,18,4.50%,56,16.10%,29,103,25.80%,35
