,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
North Carolina Central,2021-12-01 18:00:00,135,27.00,3.0,18.18,137.5,18.18,41.2,67.3,70.3
USC Upstate,2021-12-01 18:00:00,-155,12.90,-3.0,18.18,137.5,18.18,58.8,70.3,67.3
Central Michigan,2021-12-01 18:30:00,1400,280.00,25.5,18.18,143.5,18.18,6.4,59.0,84.5
Xavier,2021-12-01 18:30:00,-3300,0.61,-25.5,18.18,143.5,18.18,93.6,84.5,59.0
Citadel,2021-12-01 18:30:00,105,21.00,1.0,18.18,150.5,17.39,46.8,74.8,75.8
UNC-Asheville,2021-12-01 18:30:00,-125,16.00,-1.0,18.18,150.5,19.05,53.2,75.8,74.8
American,2021-12-01 18:31:00,320,64.00,9.0,17.39,141.5,18.18,22.7,66.3,75.3
Stony Brook,2021-12-01 18:31:00,-425,4.71,-9.0,19.05,141.5,18.18,77.3,75.3,66.3
Norfolk State,2021-12-01 19:00:00,135,27.00,3.0,18.18,139.0,18.18,41.2,68.0,71.0
UNC-Wilmington,2021-12-01 19:00:00,-155,12.90,-3.0,18.18,139.0,18.18,58.8,71.0,68.0
Tennessee-Martin,2021-12-01 19:00:00,435,87.00,11.0,19.05,143.0,18.18,17.9,66.0,77.0
Middle Tennessee St.,2021-12-01 19:00:00,-600,3.33,-11.0,17.39,143.0,18.18,82.1,77.0,66.0
Marshall,2021-12-01 19:00:00,-115,17.39,1.0,16.67,147.0,17.39,51.1,73.0,74.0
Akron,2021-12-01 19:00:00,-105,19.05,-1.0,20.00,147.0,19.05,48.9,74.0,73.0
Mercer,2021-12-01 19:00:00,-180,11.11,-3.5,19.05,141.5,18.18,62.1,72.5,69.0
Kennesaw State,2021-12-01 19:00:00,155,31.00,3.5,17.39,141.5,18.18,37.9,69.0,72.5
Columbia,2021-12-01 19:00:00,600,120.00,12.5,18.18,146.5,20.00,13.7,67.0,79.5
Maryland-Baltimore County,2021-12-01 19:00:00,-900,2.22,-12.5,18.18,146.5,16.67,86.3,79.5,67.0
Brown,2021-12-01 19:00:00,-115,17.39,-1.0,18.18,132.5,18.18,51.1,66.8,65.8
Massachusetts-Lowell,2021-12-01 19:00:00,-105,19.05,1.0,18.18,132.5,18.18,48.9,65.8,66.8
Alabama State,2021-12-01 19:00:00,1300,260.00,20.0,18.18,136.5,19.05,6.9,58.3,78.3
Dayton,2021-12-01 19:00:00,-3000,0.67,-20.0,18.18,136.5,17.39,93.1,78.3,58.3
Bowling Green,2021-12-01 19:00:00,165,33.00,4.5,18.18,145.5,18.18,36.3,70.5,75.0
Duquesne,2021-12-01 19:00:00,-195,10.26,-4.5,18.18,145.5,18.18,63.7,75.0,70.5
Boston University,2021-12-01 19:00:00,-125,16.00,-1.5,17.39,133.5,19.05,53.2,67.5,66.0
George Washington,2021-12-01 19:00:00,105,21.00,1.5,19.05,133.5,17.39,46.8,66.0,67.5
Coppin State,2021-12-01 19:00:00,1800,360.00,23.5,18.18,138.5,19.05,5.1,57.5,81.0
St. Bonaventure,2021-12-01 19:00:00,-4500,0.44,-23.5,18.18,138.5,17.39,94.9,81.0,57.5
Stetson,2021-12-01 19:00:00,190,38.00,6.5,18.18,137.5,19.05,33.0,65.5,72.0
Florida Atlantic,2021-12-01 19:00:00,-235,8.51,-6.5,18.18,137.5,17.39,67.0,72.0,65.5
Rhode Island,2021-12-01 19:00:00,-140,14.29,-2.5,18.18,141.0,20.00,56.2,71.8,69.3
Harvard,2021-12-01 19:00:00,120,24.00,2.5,18.18,141.0,16.67,43.8,69.3,71.8
Villanova,2021-12-01 19:00:00,-1600,1.25,-17.5,17.39,138.0,18.18,90.4,77.8,60.3
Pennsylvania,2021-12-01 19:00:00,900,180.00,17.5,19.05,138.0,18.18,9.6,60.3,77.8
Lehigh,2021-12-01 19:00:00,525,105.00,12.0,18.18,141.5,18.18,15.3,64.8,76.8
Yale,2021-12-01 19:00:00,-760,2.63,-12.0,18.18,141.5,18.18,84.7,76.8,64.8
Iona,2021-12-01 19:00:00,-400,5.00,-8.5,18.18,133.0,17.39,76.2,70.8,62.3
Marist,2021-12-01 19:00:00,300,60.00,8.5,18.18,133.0,19.05,23.8,62.3,70.8
Southern Illinois,2021-12-01 19:00:00,,,,,,,,,
Evansville,2021-12-01 19:00:00,,,,,,,,,
Holy Cross,2021-12-01 19:00:00,115,23.00,2.5,18.18,137.0,18.18,44.7,67.3,69.8
Central Connecticut,2021-12-01 19:00:00,-135,14.81,-2.5,18.18,137.0,18.18,55.3,69.8,67.3
Bucknell,2021-12-01 19:00:00,160,32.00,4.0,18.18,152.0,18.18,37.0,74.0,78.0
St. Francis (Pa.),2021-12-01 19:00:00,-190,10.53,-4.0,18.18,152.0,18.18,63.0,78.0,74.0
Georgia Southern,2021-12-01 19:00:00,175,35.00,5.0,19.05,126.5,20.00,34.9,60.5,66.0
Morehead State,2021-12-01 19:00:00,-210,9.52,,,126.5,16.67,65.1,,
Chicago State,2021-12-01 19:00:00,,,,,,,,,
Loyola (MD),2021-12-01 19:00:00,,,,,,,,,
