"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","90","4","0.08","100","0.33","43.4","-59","Dre Greenlaw","238","18","0.29","84","1.14","75.2"
"Kyle Pitts","195","26","0.35","49","1.61","70.7","6","Jack Sanborn","49","16","0.34","88","1.96","59"
"Mark Andrews","224","29","0.54","66","2.18","84.5","-1","Frankie Luvu","194","13","0.31","88","1.31","72.2"
"Dawson Knox","258","13","0.23","73","0.93","63.2","4","Sione Takitaki","119","16","0.28","89","1.38","72.9"
"Tommy Tremble","151","12","0.21","56","0.66","42.6","-57","Patrick Queen","301","16","0.27","82","1.39","63.9"
"Cole Kmet","239","13","0.34","72","1.15","67.1","-21","Rashaan Evans","352","12","0.2","83","0.98","62.3"
"Hayden Hurst","282","16","0.28","84","1.07","65.9","16","Robert Spillane","153","18","0.34","75","1.6","48.3"
"Harrison Bryant","159","15","0.23","71","0.81","54","-48","Tremaine Edmunds","252","15","0.2","68","0.77","82.3"
"Dalton Schultz","169","21","0.34","74","1.52","63.1","13","Eric Kendricks","354","11","0.18","67","0.85","54.2"
"Greg Dulcich","133","16","0.29","62","1.45","62","0","Luke Masterson","24","8","0.19","100","1.04","29.7"
"Shane Zylstra","20","10","0.36","50","0.05","53.8","-24","Julian Love","298","9","0.17","69","0.73","67.6"
"Robert Tonyan","220","21","0.35","85","1.47","59.1","25","Monty Rice","25","20","0.37","100","1.72","51.3"
"Jordan Akins","105","15","0.41","88","2.2","74.2","3","Jon Bostic","51","6","0.24","100","0.61","60.9"
"Kylen Granson","180","17","0.26","80","1.29","56.5","-6","Kyzir White","270","16","0.19","71","0.81","59.7"
"Travis Kelce","343","24","0.54","76","2.16","91.1","59","Drue Tranquill","252","11","0.19","86","0.75","64.7"
"Tyler Higbee","264","24","0.31","70","1.46","59.3","-16","Demario Davis","314","7","0.1","71","0.49","80.6"
"Gerald Everett","258","20","0.32","65","1.41","65.7","21","Willie Gay Jr.","106","22","0.38","96","1.72","56.1"
"Foster Moreau","175","16","0.27","71","1.25","66.7","-21","Josey Jewell","137","20","0.29","75","1.34","66.3"
"T.J. Hockenson","296","20","0.38","70","1.72","71.5","-18","Damone Clark","16","6","0.07","100","0.06","75.3"
"Hunter Henry","211","13","0.23","70","1.14","58.2","-16","C.J. Mosley","336","13","0.19","73","0.93","62.8"
"Adam Trautman","65","18","0.42","83","1.78","71.8","-40","Ernest Jones","206","17","0.26","86","1.12","72.9"
"Chris Myarick","57","12","0.28","86","0.74","63","-20","Alex Anzalone","279","9","0.15","81","0.71","52.5"
"Tyler Conklin","262","18","0.31","69","1.2","58.9","-32","Kyle Dugger","156","10","0.17","62","0.69","68.9"
"Jack Stoll","79","9","0.11","57","0.62","54.8","-55","Bobby Okereke","283","21","0.32","73","1.42","77.6"
"Pat Freiermuth","238","23","0.35","67","1.69","74.1","-1","Logan Wilson","254","12","0.2","74","0.85","69.4"
"George Kittle","216","17","0.35","78","1.57","70.9","7","Isaiah Simmons","288","12","0.24","89","1.1","65.1"
"Austin Hooper","149","15","0.24","74","1.28","65.1","-11","Quay Walker","215","13","0.23","75","1.04","52.3"
"Logan Thomas","192","13","0.17","60","0.61","55.6","-2","Christian Kirksey","257","14","0.25","71","1.02","56.5"
