player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Carson Hinton,138432,CB,HOWARD,9,156,10.4,5.2,184,0,71.3,15,30,1,118,78,0.76
Ayden Garnes,148570,CB,DUQUESNE,7,104,10.4,6.5,155,1,56.8,10,16,0,110,44,1.06
Te'Cory Couch,98755,CB,MIAMI FL,11,292,10.4,6.6,220,0,82.6,28,44,0,290,205,0.99
Treshawn Chamberlain,75823,S,RICE,10,52,10.4,6.5,275,0,92.2,5,8,0,73,48,1.4
Tahj Ra-El,145366,S,DOMINION,9,52,10.4,5.2,263,0,127.1,5,10,1,120,49,2.31
C.J. Bosket,164200,CB,CENT ARK,6,83,10.4,6.9,132,0,129.2,8,12,1,126,56,1.52
Andre Seldon,129595,CB,NEW MEX ST,10,135,10.4,7.5,242,0,133.8,13,18,2,149,66,1.1
John Marshall,101082,S,NAVY,11,156,10.4,7.8,237,1,65.0,15,20,0,102,59,0.65
Sheldon Arnold II,138981,S,E TENN ST,11,208,10.4,6.3,157,2,65.2,20,33,1,220,31,1.06
Desmond Harrod,106196,CB,ST FRANCIS,11,82,10.3,5.9,299,0,62.2,8,14,0,39,26,0.48
Zion Puckett,98874,S,AUBURN,9,72,10.3,6.0,115,0,104.9,7,12,1,76,50,1.06
Elijawah Tolbert,149150,LB,E ILLINOIS,8,31,10.3,5.2,158,0,56.3,3,6,0,10,16,0.32
Kaleal Davis,148085,S,INDIANA ST,9,31,10.3,10.3,191,0,105.6,3,3,0,28,13,0.9
Delano Ware,83234,S,W MICHIGAN,11,217,10.3,7.8,347,2,102.4,21,28,3,214,120,0.99
Dallas Gant,81352,LB,TOLEDO,10,31,10.3,7.8,316,0,115.6,3,4,0,49,32,1.58
Jadarius Green-McKnight,122399,S,MARSHALL,9,31,10.3,6.2,214,0,86.3,3,5,0,41,19,1.32
JonJon Vaughns,131815,LB,UCLA,11,41,10.3,6.8,324,1,34.7,4,6,0,24,30,0.59
Amari Wharwood,148537,S,BRYANT,7,31,10.3,7.8,124,0,137.5,3,4,2,32,17,1.03
Jordan Watkins,165459,CB,SCAR STATE,4,31,10.3,10.3,290,0,108.3,3,3,0,30,35,0.97
Eddie Morales III,79129,CB,MONMOUTH,4,103,10.3,6.1,231,1,81.0,10,17,1,142,53,1.38
Preston Murray,149348,CB,GEORGETOWN,8,185,10.3,6.2,172,0,105.4,18,30,2,224,130,1.21
Keenan Pili,102794,LB,BYU,10,31,10.3,10.3,128,0,118.1,3,3,0,37,17,1.19
Tyrell Mims,142398,CB,VILLANOVA,5,31,10.3,4.4,334,0,90.5,3,7,1,22,5,0.71
Caleb Flagg,161406,S,HOUCHR,11,82,10.3,4.6,183,1,34.0,8,18,0,78,20,0.95
