player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Dru Prox,23093,LB,UTSA,3,0,5.0,66.7,86.7,12.5,8.3,0,0,0,0.0,331,57.4,66.6,76.2,55.0,76.3,65.4,0,16,50.0,1,0,0,92.4,2,26,30,0,1,3,0,25,13,1.0,12.5
John Porchivina,28202,LB,OLE MISS,1,0,,,100.0,,,0,0,0,,226,60.3,47.4,67.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,8,2,6.3,61.1,74.1,12.5,7.6,0,1,1,5.6,193,73.9,80.1,38.2,75.1,84.0,77.2,2,18,8.3,1,1,1,70.6,11,146,197,5,9,18,2,87,34,0.6,7.9
Kyle Pugh,35900,LB,N ILLINOIS,11,5,10.0,33.3,83.0,65.5,21.8,0,0,2,33.3,254,81.0,74.5,82.0,50.6,69.3,83.8,0,11,6.3,1,2,0,43.1,2,137,165,4,10,6,0,19,12,0.1,9.5
Jordan Carmouche,39951,LB,ARK STATE,11,3,6.0,72.7,87.9,17.9,13.0,0,0,0,0.0,113,59.1,63.0,57.1,52.3,67.5,81.0,0,51,6.7,1,0,1,130.5,16,313,356,3,11,22,2,198,130,0.7,12.4
Monte McGary,42477,CB,KANSAS,7,1,9.0,100.0,91.7,21.0,21.0,0,0,0,0.0,198,63.4,63.7,76.2,69.5,54.7,53.8,0,12,0.0,0,0,0,116.7,1,22,24,0,1,1,0,12,3,0.6,12.0
Bricen Garner,42520,S,W MICHIGAN,11,6,7.9,64.9,97.4,13.0,8.5,0,0,3,8.1,347,68.0,66.4,86.8,58.1,61.5,71.4,1,37,7.5,3,3,0,79.0,24,331,340,10,31,37,0,303,131,1.0,12.6
Brandon Moore,42620,CB,NEBRASKA,6,1,10.6,55.6,98.8,15.4,8.6,0,0,0,0.0,238,75.5,73.4,0.0,60.0,66.2,61.8,1,13,16.7,1,0,1,28.7,5,83,84,1,4,9,0,43,19,0.6,8.6
Clifford Chattman,42657,S,UTSA,11,5,12.4,48.7,98.7,18.7,9.1,0,0,7,17.9,331,73.0,71.8,88.9,68.8,64.5,66.3,2,55,9.4,3,7,2,71.8,19,373,378,4,24,39,2,313,123,0.9,16.5
Anthony Watts,42807,DI,MARSHALL,11,0,17.0,100.0,3.1,6.0,6.0,0,0,0,0.0,214,54.9,57.6,57.1,59.6,60.3,63.3,0,49,25.0,1,0,1,118.8,1,6,194,2,3,1,0,49,32,8.2,49.0
Justin Clark,43185,CB,WISCONSIN,9,0,11.8,61.5,100.0,14.6,9.0,0,0,2,15.4,349,61.2,61.2,81.8,,59.3,62.7,0,29,16.7,1,0,2,85.7,8,125,125,1,5,13,0,101,19,0.9,12.6
Ryan McWood,43189,LB,MIAMI OH,11,10,3.3,87.5,87.1,12.5,10.9,0,1,5,15.6,221,67.9,61.6,83.4,52.3,58.6,49.8,1,23,16.7,6,4,0,102.5,28,363,417,6,20,32,1,295,201,0.8,10.5
