player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dru Prox,23093,LB,UTSA,3,0,0,331,55.0,0,0,3,13.3,0.0,0,0,0.0,0,30,4,0,0,57.1,0,0,1,33.3,0.0,0,0.0,0,6,2,0
Colby Reeder,30285,LB,IOWA STATE,8,1,0,193,75.1,5,2,49,25.9,22.4,11,1,11.2,2,197,51,9,0,67.0,2,1,16,45.9,25.0,4,9.4,0,37,17,3
Kyle Pugh,35900,LB,N ILLINOIS,11,0,0,254,50.6,1,4,27,17.0,3.7,1,0,9.3,0,165,28,5,0,60.4,0,3,12,22.4,0.0,0,12.5,0,58,13,3
Jordan Carmouche,39951,LB,ARK STATE,11,0,0,113,52.3,2,6,42,12.1,7.1,3,1,11.9,1,356,43,9,0,51.3,0,5,17,14.5,11.8,2,14.7,0,124,18,5
Alema Pilimai,41395,ED,BYU,4,0,0,128,67.3,0,1,16,100.0,12.5,2,0,3.1,0,20,20,1,0,59.6,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Monte McGary,42477,CB,KANSAS,7,0,0,198,69.5,1,0,2,8.3,0.0,0,0,25.0,0,24,2,1,0,69.5,1,0,2,20.0,0.0,0,25.0,0,10,2,1
Bricen Garner,42520,S,W MICHIGAN,11,1,0,347,58.1,0,1,9,2.6,11.1,1,0,5.6,0,340,9,1,0,60.0,0,0,1,0.8,0.0,0,0.0,0,123,1,0
Brandon Moore,42620,CB,NEBRASKA,6,0,0,238,60.0,0,0,1,1.2,0.0,0,1,0.0,0,84,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Clifford Chattman,42657,S,UTSA,11,0,0,331,68.8,1,1,5,1.3,20.0,1,2,20.0,0,378,5,2,0,,0,0,0,0.0,,0,,0,128,0,0
Anthony Watts,42807,DI,MARSHALL,11,0,0,214,59.6,0,7,184,96.9,6.5,12,1,2.4,1,194,188,8,0,66.6,0,4,58,100.0,15.5,9,5.2,1,60,60,5
