player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jarret Johnson,1421,ED,SD,15,12,1,50.0,0,1,27,0,0,70.6,66.8,72.2,50.2,69.0,73.7,0,8,0,0,37,7.8,4,0,1,69.3,7,1,0,63,0,120,547,475,0,1,378,96,0,72,137,290,9,20,35,5,14,9,0,86,96,12.3
Ike Taylor,1437,CB,PIT,5,1,0,76.9,3,0,25,0,0,39.8,39.1,0.0,,61.8,39.0,0,0,0,0,81,20.0,4,2,4,157.2,20,0,0,37,216,149,258,0,0,0,0,0,0,258,0,109,5,4,15,0,26,0,4,321,116,16.1
Chris Clemons,1585,ED,JAX,16,7,2,100.0,4,2,15,1,0,67.2,58.6,25.9,60.3,59.2,47.2,5,20,0,0,4,12.9,4,0,8,83.3,1,8,0,9,0,19,790,781,0,2,38,741,0,9,486,285,0,21,20,3,1,33,0,4,6,4.0
Colin Cole,1589,DI,CAR,16,8,0,,0,0,5,1,0,67.1,58.6,85.1,50.0,59.5,75.8,2,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,369,369,4,290,0,75,0,0,196,173,0,9,15,3,0,7,0,0,0,
Cullen Jenkins,1637,DI,NYG,12,5,1,,0,0,21,1,0,60.5,64.4,85.7,70.3,50.3,52.3,5,12,0,0,,21.1,4,0,1,0.0,0,1,0,1,0,3,357,356,11,266,11,68,0,1,238,116,0,8,10,2,0,18,0,0,0,
DeAngelo Hall,1729,CB,WAS,3,2,0,83.3,1,0,32,1,0,50.6,50.9,0.0,58.6,83.7,76.1,0,0,0,0,26,7.1,1,0,2,118.8,5,0,0,20,120,92,145,0,0,0,0,0,0,145,1,52,5,4,11,1,6,0,0,76,18,15.2
D.J. Williams,1738,LB,CHI,12,11,0,79.2,0,0,6,0,0,41.6,50.0,34.3,58.9,63.5,74.0,0,3,0,0,46,12.5,7,0,1,118.2,19,0,0,410,0,194,413,1,0,0,1,0,0,412,9,210,2,21,38,2,24,3,1,217,131,11.4
Vince Wilfork,1742,DI,NE,16,10,1,,0,0,19,0,0,60.1,64.6,87.6,46.9,77.9,52.3,2,17,0,1,,11.8,6,0,0,0.0,0,1,0,0,0,1,802,802,52,153,49,548,0,0,461,340,0,30,35,1,0,20,0,0,0,
Jason Babin,1748,ED,NYJ,16,5,0,66.7,1,0,22,0,0,71.3,72.8,19.6,65.5,80.0,80.9,7,27,0,0,13,4.2,1,1,6,82.6,2,3,0,32,27,53,458,389,0,4,163,222,0,69,274,131,10,15,18,2,3,37,0,18,10,9.0
Karlos Dansby,1754,LB,CLV,12,18,0,76.5,0,0,8,0,0,90.1,86.3,85.6,59.4,73.1,74.9,0,5,0,1,30,8.2,8,2,0,103.7,26,3,0,774,5,429,815,25,0,1,24,0,6,790,58,328,5,44,71,7,34,8,2,249,202,9.6
Daryl Smith,1760,LB,BLT,16,16,1,70.9,0,2,3,1,0,72.2,78.0,69.9,81.7,74.8,84.1,4,9,0,1,33,6.0,7,4,3,88.1,39,1,0,949,3,599,1043,81,0,0,81,0,2,962,68,376,8,51,93,4,55,14,1,375,239,9.6
Dwan Edwards,1772,DI,CAR,16,12,1,,0,0,5,0,0,57.4,57.3,78.4,53.6,62.6,66.9,11,12,0,1,,8.1,3,0,1,0.0,0,4,0,0,0,5,577,577,3,376,6,192,0,0,400,172,0,20,22,3,0,27,0,0,0,
Randy Starks,1792,DI,MIA,15,8,0,50.0,0,0,17,1,0,67.2,66.3,86.9,67.9,56.3,52.2,0,15,0,0,6,11.1,3,1,0,56.3,1,5,0,1,0,9,540,539,9,421,2,107,0,1,257,274,0,15,16,4,2,20,0,6,8,6.0
Shaun Phillips,1819,ED,IND,16,5,2,100.0,2,0,14,0,0,64.0,52.5,24.3,50.6,60.7,37.8,3,18,0,0,11,20.7,6,1,4,85.4,4,2,0,214,0,60,449,232,0,0,196,36,0,217,234,155,3,12,18,1,4,23,0,18,25,4.5
Will Allen,1832,S,PIT,12,5,0,83.3,1,1,25,0,0,52.2,51.7,23.0,67.9,58.2,58.1,1,0,0,0,23,15.6,5,0,1,101.9,15,0,0,119,5,197,314,0,0,0,0,0,132,314,6,111,57,9,22,2,18,1,0,152,102,10.1
Robert Geathers,1838,ED,CIN,16,6,2,100.0,0,0,7,0,0,60.7,47.6,69.6,40.0,67.8,69.9,5,16,0,1,10,9.5,2,0,1,60.4,2,1,0,57,0,26,589,530,0,24,11,495,0,59,400,163,2,9,13,1,2,22,0,16,14,8.0
Jared Allen,1847,ED,CHI,15,11,5,0.0,2,2,6,2,0,68.9,74.2,56.9,66.5,68.6,68.5,20,32,0,0,,7.4,4,0,3,39.6,0,6,0,6,0,8,888,882,0,0,42,840,0,6,544,336,0,38,39,4,1,58,0,0,0,
Antonio Smith,1856,DI,OAK,16,3,0,,1,0,23,0,0,59.9,51.9,35.9,69.0,39.9,55.9,4,35,0,0,,11.8,2,0,5,0.0,0,4,0,4,0,5,756,752,16,395,1,340,0,4,470,281,0,15,12,2,0,43,0,0,0,
Mike Adams,1972,S,IND,16,12,0,69.4,1,2,14,2,0,89.2,86.8,90.2,70.4,72.1,76.5,2,2,0,5,39,10.2,10,4,1,73.4,25,0,0,182,15,594,1015,0,0,0,0,0,723,1015,26,395,95,14,76,2,36,4,2,298,153,11.9
Tommy Kelly,2093,DI,ARZ,16,10,2,100.0,1,0,1,0,0,67.4,66.2,47.1,59.2,69.3,71.1,9,31,0,0,-2,2.9,1,0,4,79.2,1,1,0,0,0,0,707,707,28,179,12,488,0,0,451,256,0,19,23,3,1,41,0,-2,2,-2.0
George Wilson,2210,S,TEN,16,14,0,53.6,0,0,31,0,0,64.6,48.0,23.4,33.5,30.8,72.8,0,1,0,1,19,7.5,6,2,2,70.4,15,1,0,579,11,427,812,1,0,1,0,0,157,811,55,330,63,29,60,4,28,2,2,99,67,6.6
Adam Jones,2223,CB,CIN,16,0,0,61.3,2,0,7,1,0,70.6,69.5,62.1,60.0,54.8,35.2,0,1,0,3,80,15.2,10,3,7,73.1,49,0,0,45,709,536,776,0,0,0,0,0,3,776,1,239,19,14,56,0,80,1,2,523,206,10.7
Antrel Rolle,2225,S,NYG,16,9,0,63.8,1,1,21,1,0,56.9,47.6,0.0,56.0,36.3,52.4,1,0,0,3,74,17.7,17,4,7,80.8,30,0,0,364,21,616,1048,0,0,0,0,0,553,1048,11,421,110,25,70,1,47,1,2,428,244,14.3
Carlos Rogers,2226,CB,OAK,7,4,0,84.6,0,1,23,0,0,57.0,58.9,84.6,44.9,66.1,57.3,1,0,0,0,32,16.3,7,1,2,116.3,33,0,0,65,90,227,460,0,0,0,0,0,4,460,9,224,300,19,32,3,39,1,2,305,187,9.2
DeMarcus Ware,2228,ED,DEN,16,4,0,80.0,0,1,10,0,0,55.9,66.3,35.9,63.4,72.4,47.1,12,30,0,1,15,26.5,9,0,4,47.9,4,11,0,259,0,15,735,476,0,0,428,48,0,259,506,214,0,26,21,6,5,53,0,25,28,6.3
Thomas Davis Sr.,2231,LB,CAR,15,14,0,78.1,0,1,5,1,0,85.0,77.9,61.8,79.2,61.5,57.8,4,13,0,0,37,12.6,14,4,2,100.1,50,2,0,810,5,511,923,64,0,0,62,2,6,859,86,326,38,48,83,7,64,19,2,353,244,7.1
Derrick Johnson,2232,LB,KC,1,0,0,,0,0,16,0,0,67.3,71.8,73.5,72.3,61.8,48.5,0,1,0,0,,25.0,1,0,0,0.0,0,0,0,29,0,19,30,1,0,0,1,0,0,29,2,9,0,2,3,0,0,1,0,0,0,
Mike Patterson,2248,DI,NYG,16,8,0,,0,0,21,0,0,57.4,53.0,86.4,52.6,54.0,56.3,0,6,0,0,,11.5,3,0,0,0.0,0,0,0,0,0,0,422,421,0,381,2,38,0,1,190,232,0,13,15,2,0,6,0,0,0,
Jonathan Babineaux,2276,DI,ATL,15,6,1,,0,0,2,0,0,69.3,66.4,75.1,62.3,59.9,28.8,5,34,0,0,,35.3,12,0,1,0.0,0,2,0,9,0,4,695,685,18,362,23,282,0,10,444,247,1,14,16,3,0,41,0,0,0,
Justin Tuck,2291,ED,OAK,15,6,4,66.7,0,1,23,0,0,62.1,70.0,43.1,68.7,67.8,46.9,11,19,0,1,5,12.2,5,0,4,30.6,2,5,0,1,0,23,640,638,2,77,149,410,0,2,378,239,1,28,30,8,3,35,0,8,10,4.0
Chris Canty,2349,DI,BLT,11,7,1,,0,0,3,0,0,58.1,59.5,67.0,47.5,73.4,44.8,0,4,0,0,,16.1,5,1,1,0.0,0,1,0,0,0,0,346,346,7,11,128,200,0,0,203,143,0,15,19,1,0,5,0,0,0,
Trent Cole,2363,ED,PHI,15,8,0,81.8,0,3,24,0,0,54.7,68.4,19.7,75.2,67.5,72.0,14,26,0,0,12,16.7,9,0,7,90.2,9,7,0,65,1,110,806,713,0,14,513,186,0,93,380,316,27,27,37,3,11,47,0,62,55,6.9
C.J. Mosley,2408,DI,DET,15,4,0,,0,1,11,0,0,56.9,71.2,86.0,63.4,71.2,67.8,4,7,0,0,,3.7,1,0,0,0.0,0,3,0,0,0,0,490,490,7,448,0,35,0,0,295,195,0,17,22,3,0,14,0,0,0,
Kevin Vickerson,2433,DI,KC,14,6,1,,0,0,16,0,0,63.5,63.5,45.8,52.5,69.2,59.3,1,4,0,0,,13.3,2,0,1,0.0,0,0,0,0,0,2,168,168,6,40,5,117,0,0,84,82,0,6,7,2,0,5,0,0,0,
Jay Ratliff,2441,DI,CHI,11,7,0,,0,0,6,0,0,66.7,86.2,86.8,71.1,81.9,45.0,7,19,0,0,,9.7,3,0,0,0.0,0,7,0,1,0,0,461,460,1,434,0,25,0,1,295,166,0,19,21,1,0,33,0,0,0,
Lorenzo Alexander,2476,ED,ARZ,6,2,0,100.0,0,0,1,0,0,78.1,66.5,69.5,64.1,49.2,79.3,3,1,0,0,1,0.0,0,0,0,79.2,1,1,0,43,0,8,50,7,0,0,7,0,0,43,32,10,0,2,3,0,1,5,0,1,7,1.0
Chase Blackburn,2498,LB,CAR,6,3,0,100.0,0,0,5,0,0,69.1,57.5,75.1,63.7,49.7,57.5,1,0,0,0,6,18.2,2,0,0,91.7,1,0,0,73,0,26,79,5,0,0,5,0,0,74,4,49,1,3,6,0,1,1,0,6,7,6.0
Brandon Browner,2512,CB,NE,9,2,0,57.4,2,0,19,0,0,56.6,55.4,0.0,,72.6,60.2,0,0,0,1,45,16.7,5,6,15,89.7,31,0,0,61,459,388,580,0,0,0,0,0,3,580,0,192,57,6,23,1,54,0,2,455,123,14.7
Jim Leonhard,2694,S,CLV,16,1,0,81.3,0,0,8,0,0,82.6,78.1,87.6,64.1,48.6,72.3,1,4,0,2,41,12.5,4,1,0,71.6,13,1,0,154,9,313,505,0,0,0,0,0,306,505,24,168,36,9,27,0,16,6,0,171,82,13.2
Ahmad Brooks,2945,ED,SF,13,5,2,100.0,0,1,28,1,0,74.2,63.9,21.2,62.4,62.5,39.8,5,11,0,0,12,25.0,8,0,5,85.6,9,6,0,69,0,98,603,479,0,0,470,9,0,124,261,244,55,20,19,1,9,22,0,41,30,4.6
Mario Williams,2946,ED,BUF,16,1,3,75.0,0,2,4,0,0,54.8,76.1,73.9,73.6,69.8,73.2,7,37,0,0,11,7.7,2,0,2,86.5,3,16,0,16,0,13,787,770,0,0,556,214,0,17,484,290,1,36,23,6,4,60,0,21,17,7.0
A.J. Hawk,2950,LB,GB,16,25,0,74.4,0,1,12,0,0,58.9,53.8,85.7,52.4,50.5,82.5,1,10,0,0,23,6.3,6,3,0,96.2,32,1,0,760,1,391,838,71,0,0,70,1,1,767,77,370,5,28,64,1,43,12,0,331,239,10.3
Donte Whitner,2953,S,CLV,16,20,0,73.5,0,2,8,0,0,70.5,78.1,86.0,83.8,84.8,72.0,0,2,0,1,24,12.7,14,2,0,90.7,25,0,0,295,19,636,1152,0,0,0,0,0,706,1152,43,473,132,21,76,1,34,2,1,243,103,9.7
Haloti Ngata,2957,DI,BLT,12,8,4,,0,2,3,0,0,69.8,78.5,42.5,65.3,82.1,79.1,2,14,0,2,,3.2,1,0,3,0.0,0,2,0,6,0,2,529,523,18,54,17,434,0,6,326,201,0,16,22,2,0,18,0,0,0,
Kamerion Wimbley,2958,ED,TEN,13,4,0,60.0,0,0,31,0,0,69.0,56.5,85.9,55.1,49.8,58.5,3,3,0,0,27,10.0,3,0,0,87.1,3,2,0,14,0,94,539,514,0,0,468,46,0,25,162,283,11,12,23,3,5,8,0,42,26,14.0
Brodrick Bunkley,2959,DI,NO,11,5,0,,0,0,20,0,0,,63.7,83.4,48.3,69.9,64.0,0,4,0,0,,5.0,1,0,0,0.0,0,0,0,0,0,0,274,274,68,176,0,30,0,0,136,138,0,10,14,1,0,4,0,0,0,
Chad Greenway,2962,LB,MIN,12,22,1,91.1,1,1,18,0,0,46.1,45.9,75.8,57.0,46.5,54.1,4,4,0,0,30,15.0,15,1,1,115.4,41,1,0,735,0,389,760,1,0,0,1,0,7,759,56,315,17,29,63,2,45,9,2,366,347,8.9
Antonio Cromartie,2964,CB,ARZ,16,2,0,59.3,3,0,1,1,1,65.8,66.1,68.1,48.9,66.0,55.6,0,1,0,3,86,12.5,7,6,6,80.3,48,0,0,70,859,634,987,0,0,0,0,0,0,987,5,348,58,13,47,3,81,1,2,700,308,14.6
Tamba Hali,2965,ED,KC,16,10,0,25.0,2,3,16,1,0,85.5,74.1,56.0,68.2,66.0,65.0,7,31,0,0,2,12.9,8,0,4,39.6,1,6,0,411,0,114,975,556,0,0,535,21,0,419,478,383,8,32,44,2,4,44,0,2,7,2.0
Manny Lawson,2967,ED,BUF,16,2,2,0.0,0,0,4,0,0,66.4,55.5,59.7,56.8,55.7,80.7,2,4,0,0,,7.1,1,0,1,39.6,0,2,0,82,0,4,341,258,0,1,159,98,0,83,205,132,1,8,11,3,1,8,0,0,0,
Johnathan Joseph,2969,CB,HST,16,1,0,58.1,2,2,13,2,0,74.2,73.5,63.2,,64.2,74.7,0,0,1,2,80,6.8,5,6,4,83.8,68,0,0,76,758,558,859,0,0,0,0,0,2,859,0,301,23,14,68,1,117,0,4,814,217,12.0
Mathias Kiwanuka,2977,ED,NYG,11,5,0,100.0,0,2,21,0,0,54.1,46.9,58.8,56.9,43.7,49.1,6,16,0,0,13,12.5,3,0,3,106.9,3,2,0,19,1,10,552,527,0,44,22,461,0,25,315,227,5,14,16,1,3,24,0,29,4,9.7
DeMeco Ryans,2978,LB,PHI,8,8,0,61.9,0,0,24,1,0,61.6,63.0,52.1,49.7,68.3,70.4,1,2,0,1,20,9.5,6,2,1,62.2,13,0,0,458,0,245,513,54,0,0,54,0,1,459,59,209,0,25,49,5,21,3,0,143,88,11.0
D'Qwell Jackson,2979,LB,IND,16,24,0,83.6,1,1,14,4,1,45.8,54.5,88.0,52.1,65.9,65.3,1,12,0,0,35,8.5,12,0,1,135.5,46,4,0,888,2,478,989,94,0,0,94,0,1,895,121,390,4,57,105,4,55,17,5,509,299,11.1
Danieal Manning,2987,S,HST,16,3,0,56.5,0,0,13,0,0,66.9,65.9,82.4,36.8,65.7,89.2,1,2,0,0,19,3.0,1,1,1,67.7,13,0,0,110,2,418,579,0,0,0,0,0,412,579,17,144,55,6,29,1,23,3,0,102,43,7.8
Roman Harper,2988,S,CAR,16,4,1,51.4,0,1,5,0,0,54.2,58.9,63.0,90.1,63.0,63.9,1,2,1,4,81,13.8,9,2,1,48.0,18,1,0,296,15,555,924,0,0,0,0,0,519,924,21,348,94,25,52,0,35,4,1,278,180,15.4
Bernard Pollard,2999,S,TEN,5,7,0,66.7,1,0,31,0,0,70.4,70.2,0.0,77.7,71.2,78.0,0,4,0,0,22,6.7,2,1,2,115.0,6,1,0,101,4,175,344,0,0,0,0,0,219,344,7,162,20,8,21,1,9,5,1,44,9,7.3
Richard Marshall,3003,CB,SD,8,5,0,70.6,0,0,27,0,0,41.6,45.2,83.1,57.3,79.3,76.9,0,0,0,0,31,5.0,1,0,4,125.6,12,0,0,36,165,202,279,0,0,0,0,0,53,279,2,75,25,4,14,1,17,0,1,184,52,15.3
Tim Jennings,3007,CB,CHI,16,5,0,61.0,0,1,6,1,0,67.8,70.9,66.5,55.8,84.5,56.2,0,0,0,0,73,14.3,9,6,3,106.7,50,0,0,109,829,625,1006,0,0,0,0,0,0,1006,2,379,68,14,49,3,82,0,5,658,250,13.2
Darryl Tapp,3008,ED,DET,16,1,1,,0,0,11,1,0,62.3,63.0,59.8,61.9,60.8,75.3,8,9,0,0,,0.0,0,0,1,0.0,0,0,0,1,0,3,283,282,0,19,16,247,0,1,157,123,0,6,14,0,0,17,0,0,0,
Derek Hagan,3027,WR,TEN,1,0,0,,1,0,31,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Frostee Rucker,3036,DI,ARZ,15,6,0,,0,2,1,0,0,65.9,63.3,85.9,53.4,67.9,34.8,5,17,0,0,,23.3,7,0,0,0.0,0,5,0,6,0,7,477,471,31,52,58,330,0,6,271,199,0,20,17,6,0,27,0,0,0,
