"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"50","Charlie Woerner","SF","te","6","@LA","0.3","0","0","0","0","0","0","0","0","0","0.1591","0.1125","1.1907","0.0102","0.0012","0.0006","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Mitchell Wilcox","CIN","te","10","@KC","0.3","0","0","0","0","0","0","0","0","0","0.1739","0.1243","1.3734","0.0123","0.0013","0.0007","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Marcus Kemp","KC","wr","12","CIN","0.3","0","0","0","0","0","0","0","0","0","0.1792","0.1216","1.5177","0.009","0.0013","0.0007","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Derrick Gore","KC","rb","12","CIN","0.2","0","0","0","0","0","0","0.2277","1.059","0.0091","0","0","0","0","0.0016","0.0008","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Harrison Butker","KC","k","12","CIN","9.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0464","0","0.2784","0.2784","0.6265","0.6645","0.3249","0.3672","0.3945","0.5337","3.04","3.2889","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Robbie Gould","SF","k","6","@LA","8.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2992","0.2992","0.3808","0.4409","0.7072","0.8432","0.3264","0.612","2.3594","2.4326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Matt Gay","LA","k","11","SF","8.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3432","0.3432","0.7599","0.8359","0.5393","0.6791","0.1716","0.2402","2.5275","2.6774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Evan McPherson","CIN","k","10","@KC","8.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2025","0.2039","0.6075","0.6075","0.4725","0.6497","0.4275","0.5053","2.3729","2.4698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Chiefs DST","KC","dst","12","CIN","7.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2927","0.0308","0.8949","0.9417","0.4709","0.1546","62.6192","0.0464","0.0081","0.0275","0.099","0.2082","0.2733","0.2241","0.1599","0","0","0","0","0","0","0","0","0","0"
"59","Rams DST","LA","dst","11","SF","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7752","0.0327","1.0274","0.9138","0.4569","0.1066","80.9315","0.0553","0.0094","0.0307","0.1068","0.2163","0.2737","0.2163","0.1469","0","0","0","0","0","0","0","0","0","0"
"60","49ers DST","SF","dst","6","@LA","6.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2701","0.0397","0.8789","0.9002","0.4501","0.2522","54.297","0.0382","0.0089","0.0271","0.0926","0.1918","0.2589","0.2277","0.1931","0","0","0","0","0","0","0","0","0","0"
"61","Bengals DST","CIN","dst","10","@KC","3.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4593","0.0412","0.626","0.9881","0.494","0.0841","0","0","0.0034","0.0129","0.0543","0.1399","0.2346","0.2564","0.2986","0","0","0","0","0","0","0","0","0","0"
