player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Sincere McCormick,97119,HB,UTSA,6,154,28,4,10.7,71,0,661,0,3,28,384,47.1,15,38,331,0,47,72.0,39.3,,64.6,65.3,71.8,58.0,22,1,84,10,109,179,0,0,10,164,6,661,384,2.49,4.3,0.77,104
Mataeo Durant,77719,HB,DUKE,6,150,22,10,40.5,326,0,804,1,4,22,489,52.3,16,44,154,4,33,76.5,85.1,,55.4,66.2,78.8,37.7,59,0,178,12,123,198,0,0,14,162,9,804,489,3.26,5.4,1.45,116
Brad Roberts,125398,FB,AIR FORCE,6,148,20,9,26.0,177,0,682,0,0,20,418,38.2,15,38,101,0,62,79.7,88.7,,62.2,55.3,78.4,55.6,33,0,0,0,8,264,0,0,1,148,6,682,418,2.82,4.6,0.0,3
Sean Tucker,123056,HB,SYRACUSE,6,134,39,12,38.5,309,0,803,1,4,39,545,120.6,22,41,304,0,32,83.7,2.7,,50.5,68.8,86.2,54.4,56,2,199,11,91,186,0,0,14,145,9,803,545,4.07,6.0,2.19,102
Kenneth Walker III,97199,HB,MICH STATE,6,129,60,16,53.7,490,1,913,0,2,60,673,243.2,26,43,223,0,39,89.0,85.8,,26.2,59.8,90.9,48.7,94,1,30,4,95,151,0,0,4,133,9,913,673,5.22,7.1,0.32,89
Bijan Robinson,123126,HB,TEXAS,6,125,60,12,42.3,334,0,789,2,5,60,529,202.3,20,38,311,1,43,90.3,85.0,,63.8,58.2,92.5,53.8,62,0,169,11,126,143,0,0,14,136,8,789,529,4.23,6.3,1.34,82
Tyler Goodson,101659,HB,IOWA,6,124,26,7,41.9,217,0,518,0,4,26,326,57.2,13,26,192,1,11,69.8,86.3,,43.6,81.0,67.2,55.5,56,0,162,14,86,148,0,0,17,138,5,518,326,2.63,4.2,1.88,109
Tyler Allgeier,83639,HB,BYU,6,121,26,9,39.2,251,0,640,1,2,26,424,74.3,18,40,128,2,16,76.0,85.0,,48.0,65.1,76.7,62.1,67,2,68,11,100,148,0,0,13,132,8,640,424,3.5,5.3,0.68,100
Chris Rodriguez Jr.,83689,HB,KENTUCKY,6,120,29,11,31.4,240,0,765,0,1,29,439,87.1,23,41,202,4,43,84.5,83.7,,40.7,64.4,84.3,59.2,31,0,23,6,74,143,0,0,6,126,5,765,439,3.66,6.4,0.31,76
Lew Nichols III,97187,HB,C MICHIGAN,6,115,25,13,52.0,311,0,598,2,0,25,298,49.1,20,32,134,0,49,74.4,84.8,60.4,36.4,54.9,79.4,57.3,47,1,112,17,150,122,0,0,21,132,3,598,298,2.59,5.2,0.75,65
