Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,8,320,220,2455,14,8.6,1484,1061,54,16.00%,4,1.20%,23,7.20%,12,39,11.50%,25
Buffalo Bills,7,236,152,1422,7,6.8,848,707,40,14.70%,15,5.50%,24,10.20%,21,60,22.00%,29
Carolina Panthers,8,281,184,1856,11,7.6,1047,885,92,30.00%,29,9.40%,22,7.80%,12,63,20.50%,35
Chicago Bears,8,220,144,1504,7,6.9,805,786,35,14.20%,31,12.60%,11,5.00%,13,55,22.30%,40
Cincinnati Bengals,8,262,153,1683,7,8.9,1038,736,68,23.80%,19,6.60%,37,14.10%,14,70,24.50%,39
Cleveland Browns,8,242,150,1666,10,7.8,939,850,69,25.70%,20,7.50%,14,5.80%,19,53,19.80%,42
Indianapolis Colts,8,236,162,1598,9,6.9,765,959,44,16.30%,22,8.10%,23,9.70%,19,64,23.70%,31
Arizona Cardinals,8,291,197,2018,14,6.7,918,1217,119,37.30%,31,9.70%,26,8.90%,14,71,22.30%,48
Dallas Cowboys,8,261,170,1427,8,7.3,683,953,87,28.00%,32,10.30%,30,11.50%,33,95,30.50%,37
Denver Broncos,8,284,178,1326,4,6.3,724,752,109,34.10%,30,9.40%,26,9.20%,24,80,25.00%,54
Detroit Lions,7,231,160,1865,12,9.3,1179,723,82,31.50%,24,9.20%,18,7.80%,11,53,20.40%,28
Green Bay Packers,8,209,140,1398,8,6.7,736,728,82,34.60%,20,8.40%,23,11.00%,17,60,25.30%,30
Houston Texans,7,221,133,1523,5,8.1,875,724,41,16.50%,25,10.10%,14,6.30%,15,54,21.80%,49
Jacksonville Jaguars,8,283,179,1897,10,7.2,950,1042,80,25.80%,24,7.70%,34,12.00%,14,72,23.20%,47
Kansas City Chiefs,7,291,198,1939,17,6.8,1091,994,94,29.50%,29,9.10%,31,10.70%,19,79,24.80%,43
Miami Dolphins,8,286,198,2097,12,7.9,1111,1078,90,28.40%,15,4.70%,17,5.90%,15,47,14.80%,43
Minnesota Vikings,7,251,173,1929,9,8.6,1075,974,45,15.50%,25,8.60%,16,6.40%,21,62,21.40%,31
New Orleans Saints,8,261,163,1666,10,7.9,914,892,44,15.20%,15,5.20%,16,6.10%,19,50,17.20%,32
New England Patriots,8,272,156,1796,12,9.3,1044,892,85,28.20%,45,15.00%,19,7.00%,23,87,28.90%,48
New York Giants,8,264,153,1667,9,9,953,799,117,39.10%,26,8.70%,27,10.20%,16,69,23.10%,26
New York Jets,8,279,174,1627,9,8.7,955,802,49,15.60%,22,7.00%,40,14.30%,21,83,26.40%,32
Tennessee Titans,7,255,172,1783,14,7.2,1152,770,55,19.30%,27,9.50%,25,9.80%,19,71,24.90%,44
Philadelphia Eagles,7,269,157,1286,8,7.2,709,739,75,24.60%,24,7.90%,29,10.80%,23,76,24.90%,41
Pittsburgh Steelers,8,297,182,2218,17,8.9,1315,993,94,28.60%,10,3.00%,21,7.10%,15,46,14.00%,36
Las Vegas Raiders,7,250,173,1807,15,6.7,937,944,69,25.80%,13,4.90%,22,8.80%,9,44,16.50%,34
Los Angeles Rams,7,205,141,1440,9,5.5,639,863,65,28.10%,6,2.60%,10,4.90%,15,31,13.40%,29
Baltimore Ravens,8,310,205,2134,12,6.5,1196,1089,76,21.80%,21,6.00%,20,6.50%,23,64,18.40%,47
Los Angeles Chargers,7,235,156,1540,13,7.7,947,706,76,29.50%,14,5.40%,21,8.90%,17,52,20.20%,26
Seattle Seahawks,8,270,174,1893,11,8.4,922,1115,56,18.20%,23,7.50%,26,9.60%,22,71,23.10%,47
San Francisco 49ers,8,254,169,1594,8,6.3,857,862,72,24.80%,27,9.30%,21,8.30%,26,74,25.50%,35
Tampa Bay Buccaneers,8,269,173,1552,13,8.1,929,776,96,31.40%,22,7.20%,23,8.60%,25,70,22.90%,32
Washington Commanders,8,248,150,1712,14,9.1,1102,719,70,24.30%,11,3.80%,43,17.30%,21,75,26.00%,27
