"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","435","21","0.35","67","1.47","67.6","-13","Jayron Kearse","527","11","0.17","65","0.73","76.3"
"Kyle Pitts","464","21","0.36","65","2.05","81.4","33","Tremaine Edmunds","385","14","0.27","83","1.21","51.1"
"Mark Andrews","547","23","0.49","73","2.17","91.6","5","Ernest Jones","247","13","0.2","78","0.76","58.8"
"Dawson Knox","437","14","0.35","73","1.23","62.2","29","Deion Jones","450","19","0.38","87","1.81","38.3"
"Tommy Tremble","248","11","0.17","64","0.7","57.6","-61","Pete Werner","177","15","0.19","74","0.79","80.9"
"Cole Kmet","429","19","0.25","66","1.26","63.1","-29","Jaylon Smith","134","13","0.2","82","0.94","61.5"
"C.J. Uzomah","423","13","0.29","79","1.09","62.3","4","Willie Gay Jr.","152","16","0.27","79","1.45","54.9"
"David Njoku","258","18","0.36","64","1.69","73.6","-1","Joe Schobert","398","14","0.2","69","0.92","51.8"
"Dalton Schultz","498","18","0.36","78","1.47","79.2","39","Isaiah Simmons","419","15","0.22","71","1.03","48.8"
"Noah Fant","389","20","0.35","77","1.44","60.2","-16","Drue Tranquill","283","11","0.2","87","0.86","65.3"
"Brock Wright","74","20","0.31","67","0.89","52","-13","Jordyn Brooks","474","18","0.4","87","1.75","57.7"
"Josiah Deguara","177","14","0.24","80","0.95","53.5","-13","Eric Kendricks","486","11","0.23","72","1.02","59.1"
"Jordan Akins","198","16","0.23","77","1.08","53","-52","Azeez Al-Shaair","367","19","0.34","82","1.35","64.8"
"Jack Doyle","239","17","0.31","68","1.22","74.8","3","Marquel Lee","6","17","0.27","100","1","63"
"James O'Shaughnessy","178","19","0.27","73","1.37","62.5","-31","Kyle Dugger","389","12","0.18","67","0.69","66.8"
"Travis Kelce","536","22","0.43","70","1.99","82.4","48","Germaine Pratt","337","15","0.28","80","1.18","49.9"
"Tyler Higbee","435","15","0.25","74","1","63.1","19","Patrick Queen","357","14","0.22","78","1.09","46.3"
"Jared Cook","424","17","0.27","61","1.14","61.4","24","Kareem Jackson","475","6","0.12","74","0.4","53.2"
"Darren Waller","346","24","0.37","65","1.86","70.7","-1","Bobby Okereke","524","13","0.25","84","0.92","59.7"
"Mike Gesicki","486","20","0.31","70","1.45","69.6","19","Jayon Brown","240","10","0.22","88","1.05","47.3"
"Tyler Conklin","425","17","0.3","75","1.27","66","-9","Krys Barnes","230","18","0.33","90","1.47","51"
"Hunter Henry","355","18","0.41","66","1.35","74","16","Shaquille Quarterman","45","13","0.1","50","0.36","59.3"
"Nick Vannett","85","15","0.31","62","1.45","56.3","-17","Jermaine Carter","324","9","0.17","83","0.79","47.1"
"Evan Engram","418","15","0.24","72","0.94","55.5","-12","Roquan Smith","416","13","0.2","82","0.93","47.9"
"Tyler Kroft","162","14","0.23","68","1.04","63.7","1","Devin White","507","15","0.25","81","1.01","36.9"
"Dallas Goedert","332","20","0.45","77","2.29","88.8","18","David Mayo","55","9","0.31","100","1.11","53.1"
"Zach Gentry","128","13","0.21","82","1","69.1","-35","Jeremiah Owusu-Koramoah","257","12","0.17","75","0.56","75.1"
"Gerald Everett","312","16","0.35","86","1.35","63.4","15","Derrick Barnes","125","19","0.48","88","2.13","36.4"
"George Kittle","336","25","0.56","77","2.61","91.2","37","Christian Kirksey","318","13","0.24","73","1.1","47.1"
"Rob Gronkowski","304","22","0.43","61","1.81","73.4","68","C.J. Mosley","446","15","0.31","88","1.2","39.6"
"Geoff Swaim","172","20","0.34","79","1.16","52.5","-29","Brandon Jones","272","7","0.15","89","0.85","61.8"
"John Bates","155","12","0.28","89","1.35","68.1","-50","T.J. Edwards","323","15","0.29","82","1.27","79.9"
