,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Akron,2022-02-25 18:00:00,270,54.00,8.0,16.67,133.5,16.67,25.8,62.8,70.8
Ohio,2022-02-25 18:00:00,-350,5.71,-8.0,20.00,133.5,20.00,74.2,70.8,62.8
Louisiana-Monroe,2022-02-25 19:00:00,130,26.00,3.0,18.18,135.5,18.18,42.0,66.3,69.3
Georgia Southern,2022-02-25 19:00:00,-150,13.33,-3.0,18.18,135.5,18.18,58.0,69.3,66.3
Louisiana-Lafayette,2022-02-25 19:00:00,215,43.00,6.5,18.18,140.0,18.18,30.4,66.8,73.3
Georgia State,2022-02-25 19:00:00,-265,7.55,-6.5,18.18,140.0,18.18,69.6,73.3,66.8
Northwestern,2022-02-25 19:00:00,,,,,,,,,
Penn State,2022-02-25 19:00:00,,,,,,,,,
Canisius,2022-02-25 19:00:00,800,160.00,15.5,17.39,144.0,18.18,10.6,64.3,79.8
Iona,2022-02-25 19:00:00,-1375,1.45,-15.5,19.05,144.0,18.18,89.4,79.8,64.3
Manhattan,2022-02-25 19:00:00,175,35.00,5.0,18.18,140.5,18.18,34.9,67.8,72.8
Marist,2022-02-25 19:00:00,-210,9.52,-5.0,18.18,140.5,18.18,65.1,72.8,67.8
St. Peter's,2022-02-25 19:00:00,,,4.0,18.18,131.5,18.18,,63.8,67.8
Monmouth,2022-02-25 19:00:00,,,-4.0,18.18,131.5,18.18,,67.8,63.8
Niagara,2022-02-25 19:00:00,,,-1.0,19.05,131.5,18.18,,66.3,65.3
Rider,2022-02-25 19:00:00,,,1.0,17.39,131.5,18.18,,65.3,66.3
Saint Louis,2022-02-25 19:00:00,135,27.00,3.0,18.18,144.0,20.00,41.2,70.5,73.5
Richmond,2022-02-25 19:00:00,-155,12.90,-3.0,18.18,144.0,16.67,58.8,73.5,70.5
Harvard,2022-02-25 19:00:00,,,8.5,17.39,142.5,19.05,,67.0,75.5
Princeton,2022-02-25 19:00:00,,,-8.5,19.05,142.5,17.39,,75.5,67.0
Coastal Carolina,2022-02-25 19:30:00,-290,6.90,-7.0,18.18,137.5,18.18,71.0,72.3,65.3
Arkansas-Little Rock,2022-02-25 19:30:00,230,46.00,7.0,18.18,137.5,18.18,29.0,65.3,72.3
Appalachian State,2022-02-25 20:00:00,110,22.00,2.0,18.18,132.5,18.18,45.7,65.3,67.3
Arkansas State,2022-02-25 20:00:00,-130,15.38,-2.0,18.18,132.5,18.18,54.3,67.3,65.3
Texas-Arlington,2022-02-25 20:00:00,260,52.00,7.0,21.00,131.5,18.18,26.5,62.3,69.3
South Alabama,2022-02-25 20:00:00,-335,5.97,-7.0,16.00,131.5,18.18,73.5,69.3,62.3
Texas State,2022-02-25 21:00:00,-130,15.38,-2.0,18.18,128.5,18.18,54.3,65.3,63.3
Troy,2022-02-25 21:00:00,110,22.00,2.0,18.18,128.5,18.18,45.7,63.3,65.3
Iowa,2022-02-25 21:00:00,-720,2.78,-12.0,18.18,162.5,20.00,84.0,87.3,75.3
Nebraska,2022-02-25 21:00:00,500,100.00,12.0,18.18,162.5,16.67,16.0,75.3,87.3
San Jose State,2022-02-25 23:00:00,,,21.5,16.67,125.0,18.18,,51.8,73.3
San Diego State,2022-02-25 23:00:00,,,-21.5,20.00,125.0,18.18,,73.3,51.8
