player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tyreek Hill,10799,WR,MIA,13,137,0,17,0,-2.1,3,86.7,,0,0,7.1,1,2,0,81.2,91.5,0,18,0.0,0,30,13,86.7,26,88.1,15,10.9,0,77,105,8.1,5.9,2.96,11.0,3,74.1,71.4,5,7,4.8,2,24,1,89.6,93.7,0,39,0.0,0,184,40,96.2,177,110.3,54,39.4,1,523,220,5.5,13.1,2.95
Justin Jefferson,61398,WR,MIN,13,135,0,18,0,-1.6,0,100.0,,0,0,0.0,0,1,0,91.1,69.9,0,14,0.0,0,52,7,92.3,48,91.1,7,5.2,0,41,52,7.4,5.9,0.85,12.8,4,85.0,87.5,7,8,5.6,2,21,0,79.6,91.6,0,64,0.0,0,171,34,91.8,157,127.1,40,29.6,1,608,231,6.8,17.9,3.87
Davante Adams,8688,WR,LV,13,132,0,23,0,-1.4,5,100.0,,0,0,0.0,0,2,0,90.9,76.5,0,16,2.6,1,39,5,84.6,33,136.3,5,3.8,1,36,43,8.6,7.2,1.09,9.2,8,85.7,66.7,2,3,0.0,0,19,0,90.4,92.4,2,45,0.6,1,155,30,92.3,143,119.4,35,26.5,3,403,168,5.6,13.4,2.82
Stefon Diggs,9579,WR,BUF,13,129,0,4,0,-1.8,4,100.0,,0,0,0.0,0,4,0,92.3,81.1,0,13,0.0,0,34,13,97.1,33,82.4,13,10.1,0,49,73,5.6,3.8,1.48,8.1,3,77.5,66.7,4,6,6.1,2,16,0,48.6,90.4,0,53,0.0,0,168,31,98.2,165,109.6,40,31.0,0,412,190,6.1,13.3,2.5
Travis Kelce,7844,TE,KC,13,115,0,16,0,-2.2,5,91.7,,0,0,8.3,1,4,0,61.5,80.7,0,18,6.3,3,48,11,89.6,43,114.9,12,10.4,1,59,85,7.7,5.4,1.37,7.7,12,75.0,37.5,3,8,7.1,3,28,1,67.3,90.2,0,46,0.4,1,231,39,93.9,217,120.9,52,45.2,3,463,194,5.0,11.9,2.13
CeeDee Lamb,61570,WR,DAL,13,111,0,9,0,-2.3,2,87.5,,0,0,0.0,0,0,0,91.1,51.5,0,13,0.0,0,29,7,96.6,28,83.9,8,7.2,0,33,48,6.9,4.7,1.18,10.6,3,70.7,53.8,7,13,2.4,1,28,0,80.2,82.3,3,30,0.0,0,260,41,95.4,248,84.8,58,52.3,1,552,180,4.4,13.5,2.23
Diontae Johnson,33441,WR,PIT,13,110,0,25,0,-3.7,0,100.0,,0,0,0.0,0,2,0,39.4,55.5,0,14,0.0,0,35,7,91.4,32,85.7,7,6.4,0,32,58,8.3,4.6,1.0,4.6,1,68.4,0.0,0,1,13.3,2,5,0,60.2,68.7,2,14,0.0,0,68,13,94.1,64,39.5,19,17.3,0,91,51,3.9,7.0,1.42
D.K. Metcalf,47864,WR,SEA,13,109,0,29,0,-1.0,1,75.0,,0,0,25.0,1,0,1,27.1,26.2,0,4,0.0,0,25,3,92.0,23,77.1,4,3.7,0,-3,3,1.0,-1.0,-0.13,13.6,0,55.6,60.0,3,5,9.1,1,5,1,74.3,81.9,0,23,0.0,0,79,10,97.5,77,108.6,18,16.5,2,100,12,1.2,10.0,1.3
Austin Ekeler,12164,HB,LAC,13,108,0,27,0,-5.1,10,90.0,,0,0,6.9,2,8,1,79.3,95.2,0,21,6.4,3,47,27,89.4,42,104.0,30,27.8,1,189,327,12.1,7.0,4.5,1.6,1,50.0,,0,0,28.6,2,0,0,77.0,74.3,0,7,0.0,0,41,5,97.6,40,56.3,10,9.3,0,19,17,3.4,3.8,0.48
Amari Cooper,9437,WR,CLV,13,106,0,8,0,-2.3,2,100.0,,0,0,0.0,0,1,0,90.2,52.9,0,9,0.0,0,39,4,97.4,38,79.2,4,3.8,0,11,20,5.0,2.8,0.29,13.0,2,75.0,50.0,3,6,0.0,0,15,0,63.7,79.8,0,45,0.0,0,116,18,94.8,110,152.3,24,22.6,3,277,79,4.4,15.4,2.52
Amon-Ra St. Brown,84470,WR,DET,12,106,0,11,0,-3.2,0,100.0,,0,0,0.0,0,5,0,92.0,91.2,0,13,0.0,0,42,10,95.2,40,96.3,10,9.4,0,71,103,10.3,7.1,1.78,5.1,4,79.6,16.7,1,6,6.5,3,22,0,89.9,91.4,0,29,0.5,1,213,43,93.0,198,103.7,54,50.9,1,400,193,4.5,9.3,2.02
Michael Pittman Jr.,29049,WR,IND,12,104,0,14,0,-2.8,0,100.0,100.0,1,1,0.0,0,0,0,90.6,45.1,0,10,0.0,0,42,4,90.5,38,79.2,4,3.8,0,9,20,5.0,2.3,0.24,6.9,3,73.3,62.5,5,8,4.3,1,16,0,90.3,71.5,2,26,0.0,0,132,22,92.4,122,71.7,30,28.8,0,261,121,5.5,11.9,2.14
Chris Godwin,11839,WR,TB,11,103,0,30,0,-1.8,2,90.9,,0,0,4.8,1,3,0,89.2,70.5,0,24,0.0,0,59,20,98.3,58,90.7,22,21.4,0,127,163,8.2,6.4,2.19,7.0,3,66.7,60.0,9,15,5.9,3,25,0,71.1,73.1,1,44,0.3,1,350,48,93.7,328,81.4,72,69.9,0,511,226,4.7,10.6,1.56
Christian Kirk,47546,WR,JAX,13,98,0,15,0,-2.6,3,85.7,,0,0,14.3,1,3,0,32.0,53.2,0,11,1.3,1,77,6,92.2,71,89.9,7,7.1,0,39,55,9.2,6.5,0.55,9.9,3,65.3,25.0,2,8,9.3,5,31,1,69.1,79.7,3,49,0.0,0,388,49,95.9,372,93.9,75,76.5,4,653,245,5.0,13.3,1.76
A.J. Brown,48327,WR,PHI,13,96,0,24,0,-1.6,1,85.7,,0,0,14.3,1,0,1,51.2,50.5,0,10,0.0,0,60,6,93.3,56,79.2,7,7.3,0,20,28,4.7,3.3,0.36,10.7,2,66.7,50.0,1,2,11.1,1,5,1,81.9,90.2,0,39,0.0,0,115,8,96.5,111,143.8,12,12.5,4,134,43,5.4,16.8,1.21
Garrett Wilson,97405,WR,NYJ,13,95,0,22,0,-1.9,3,81.8,,0,0,0.0,0,3,0,91.8,77.9,0,23,0.0,0,39,9,92.3,36,94.3,11,11.6,0,73,92,10.2,8.1,2.03,8.8,7,67.6,28.6,2,7,3.8,1,17,0,81.8,84.5,0,54,0.0,0,186,25,96.2,179,98.4,37,38.9,0,355,146,5.8,14.2,1.98
