,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Alabama,1/25/2022 18:30,-1250,1.6,-14.5,19.05,158,18.18,88.7,86.3,71.8
Georgia,1/25/2022 18:30,750,150,14.5,17.39,158,18.18,11.3,71.8,86.3
Richmond,1/25/2022 18:30,-120,16.67,-1,18.18,138.5,20,52.2,69.8,68.8
Rhode Island,1/25/2022 18:30,100,20,1,18.18,138.5,16.67,47.8,68.8,69.8
Michigan State,1/25/2022 19:00,,,5,,142,,,,
Illinois,1/25/2022 19:00,, ,-5,,142,,,,
Miami (OH),1/25/2022 19:00,-125,16,-1.5,17.39,148.5,18.18,53.2,75,73.5
Ball State,1/25/2022 19:00,105,21,1.5,19.05,148.5,18.18,46.8,73.5,75
Eastern Michigan,1/25/2022 19:00,260,52,8,18.18,153.5,18.18,26.5,72.8,80.8
Bowling Green,1/25/2022 19:00,-335,5.97,-8,18.18,153.5,18.18,73.5,80.8,72.8
Akron,1/25/2022 19:00,-760,2.63,-12.5,18.18,138.5,17.39,84.7,75.5,63
Central Michigan,1/25/2022 19:00,525,105,12.5,18.18,138.5,19.05,15.3,63,75.5
Western Michigan,1/25/2022 19:00,475,95,11,18.18,131,19.05,16.6,60,71
Kent State,1/25/2022 19:00,-675,2.96,-11,18.18,131,17.39,83.4,71,60
Northern Illinois,1/25/2022 19:00,,,18,,135,,,,
Ohio,1/25/2022 19:00,,,-18,,135,,,,
Buffalo,1/25/2022 19:00,170,34,4.5,18.18,158.5,19.05,35.7,77,81.5
Toledo,1/25/2022 19:00,-200,10,-4.5,18.18,158.5,17.39,64.3,81.5,77
Missouri State,1/25/2022 19:00,-255,7.84,-6,17.39,145.5,18.18,68.7,75.8,69.8
Indiana State,1/25/2022 19:00,205,41,6,19.05,145.5,18.18,31.3,69.8,75.8
Clemson,1/25/2022 19:00,525,105,11.5,19.05,146,20,15.3,67.3,78.8
Duke,1/25/2022 19:00,-760,2.63,-11.5,17.39,146,16.67,84.7,78.8,67.3
DePaul,1/25/2022 19:00,,,18,,133,,,,
Villanova,1/25/2022 19:00,,,-18,,133,,,,
Fordham,1/25/2022 19:00,650,130,13.5,19.05,128.5,17.39,12.8,57.5,71
Dayton,1/25/2022 19:00,-1000,2,-13.5,17.39,128.5,19.05,87.2,71,57.5
Cincinnati,1/25/2022 19:00,-160,12.5,-3.5,18.18,134.5,18.18,59.6,69,65.5
Temple,1/25/2022 19:00,140,28,3.5,18.18,134.5,18.18,40.4,65.5,69
Columbia,1/25/2022 19:00,1000,200,16,18.18,152,18.18,8.7,68,84
Yale,1/25/2022 19:00,-2000,1,-16,18.18,152,18.18,91.3,84,68
Siena,1/25/2022 19:00,850,170,15,19.05,139,17.39,10.1,62,77
Iona,1/25/2022 19:00,-1500,1.33,-15,17.39,139,19.05,89.9,77,62
Wright State,1/25/2022 19:00,-135,14.81,-2.5,18.18,145.5,18.18,55.3,74,71.5
Northern Kentucky,1/25/2022 19:00,115,23,2.5,18.18,145.5,18.18,44.7,71.5,74
William & Mary,1/25/2022 19:00,650,130,14,17.39,157,20,12.8,71.5,85.5
College of Charleston,1/25/2022 19:00,-1000,2,-14,19.05,157,16.67,87.2,85.5,71.5
Maryland,1/25/2022 20:00,140,28,4,18.18,131.5,16.67,40.4,63.8,67.8
Rutgers,1/25/2022 20:00,-160,12.5,-4,18.18,131.5,20,59.6,67.8,63.8
Kansas State,1/25/2022 20:00,650,130,14,18.18,137,20,12.8,61.5,75.5
Baylor,1/25/2022 20:00,-1000,2,-14,18.18,137,16.67,87.2,75.5,61.5
Syracuse,1/25/2022 20:00,-190,10.53,-4.5,18.18,139.5,19.05,63,72,67.5
Pittsburgh,1/25/2022 20:00,160,32,4.5,18.18,139.5,17.39,37,67.5,72
Southern Illinois,1/25/2022 20:00,,,12.5,,126.5,,,,
Loyola-Chicago,1/25/2022 20:00,,,-12.5,,126.5,,,,
Auburn,1/25/2022 20:30,-1000,2,-12.5,16.67,141.5,19.05,87.2,77,64.5
Missouri,1/25/2022 20:30,650,130,12.5,20,141.5,17.39,12.8,64.5,77
Georgetown,1/25/2022 20:30,900,180,15.5,17.39,148,19.05,9.6,66.3,81.8
Connecticut,1/25/2022 20:30,-1600,1.25,-15.5,19.05,148,17.39,90.4,81.8,66.3
Fresno State,1/25/2022 21:00,-210,9.52,-5.5,21,138,16.67,65.1,71.8,66.3
New Mexico,1/25/2022 21:00,175,35,5.5,16,138,20,34.9,66.3,71.8
Nevada,1/25/2022 21:00,270,54,9,18.18,152.5,18.18,25.8,71.8,80.8
Colorado State,1/25/2022 21:00,-350,5.71,-9,18.18,152.5,18.18,74.2,80.8,71.8
Wyoming,1/25/2022 21:00,180,36,5.5,18.18,131,16.67,34.2,62.8,68.3
Boise State,1/25/2022 21:00,-220,9.09,-5.5,18.18,131,20,65.8,68.3,62.8
Mississippi State,1/25/2022 21:00,350,70,9,20,142.5,19.05,21.2,66.8,75.8
Kentucky,1/25/2022 21:00,-475,4.21,-9,16.67,142.5,17.39,78.8,75.8,66.8
Texas,1/25/2022 21:00,-145,13.79,-2,16.67,122,17.39,57.1,62,60
TCU,1/25/2022 21:00,125,25,2,20,122,19.05,42.9,60,62
Air Force,1/25/2022 22:00,110,22,1.5,19.05,125,18.18,45.7,61.8,63.3
San Jose State,1/25/2022 22:00,-130,15.38,-1.5,17.39,125,18.18,54.3,63.3,61.8
Cal-Santa Barbara,1/25/2022 22:00,-335,5.97,-8,18.18,132.5,17.39,73.5,70.3,62.3
Cal State-Northridge,1/25/2022 22:00,260,52,8,18.18,132.5,19.05,26.5,62.3,70.3
Colorado,1/25/2022 22:00,250,50,8,17.39,136.5,18.18,27.3,64.3,72.3
Oregon,1/25/2022 22:00,-320,6.25,-8,19.05,136.5,18.18,72.7,72.3,64.3
Arizona,1/25/2022 23:00,-165,12.12,-3.5,17.39,150,18.18,60.4,76.8,73.3
UCLA,1/25/2022 23:00,145,29,3.5,19.05,150,18.18,39.6,73.3,76.8
