player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.78
"McIlroy, Rory",PGA TOUR,2,0,3,0,2.333
"Rahm, Jon",PGA TOUR,3,0,2,0,2.285
"Cantlay, Patrick",PGA TOUR,4,0,4,0,2.191
"Schauffele, Xander",PGA TOUR,5,0,6,0,2.16
"Fowler, Rickie",PGA TOUR,6,0,21,2,1.806
"Hovland, Viktor",PGA TOUR,7,0,5,0,1.787
"Hatton, Tyrrell",PGA TOUR,8,0,16,-1,1.786
"Smith, Cameron",LIV Tour,9,2,7,0,1.753
"Morikawa, Collin",PGA TOUR,10,-1,19,-1,1.713
"Clark, Wyndham",PGA TOUR,11,-1,11,0,1.636
"Koepka, Brooks",LIV Tour,12,0,12,0,1.525
"McCarthy, Denny",PGA TOUR,13,2,32,2,1.484
"Fleetwood, Tommy",PGA TOUR,14,-1,22,-1,1.452
"Henley, Russell",PGA TOUR,15,-1,35,-6,1.356
"Johnson, Dustin",LIV Tour,16,3,77,-5,1.353
"Fitzpatrick, Matthew",PGA TOUR,17,-1,9,0,1.347
"Finau, Tony",PGA TOUR,18,-1,14,0,1.345
"Spieth, Jordan",PGA TOUR,19,-1,10,0,1.338
"Bradley, Keegan",PGA TOUR,20,0,15,2,1.299
"Rose, Justin",PGA TOUR,21,0,29,-1,1.286
"Homa, Max",PGA TOUR,22,0,8,0,1.255
"Im, Sungjae",PGA TOUR,23,0,23,-1,1.223
"Matsuyama, Hideki",PGA TOUR,24,0,31,2,1.188
"Conners, Corey",PGA TOUR,25,1,34,-3,1.119
"Reed, Patrick",LIV Tour,26,9,51,-2,1.107
"Gooch, Talor",LIV Tour,27,-2,93,-3,1.097
"Day, Jason",PGA TOUR,28,0,26,1,1.078
"Burns, Sam",PGA TOUR,29,0,17,-1,1.07
"Scott, Adam",PGA TOUR,30,0,38,0,1.046
"Lowry, Shane",PGA TOUR,31,0,30,0,1.023
"Zalatoris, Will",PGA TOUR,32,0,13,0,1.008
"Young, Cameron",PGA TOUR,33,6,18,1,1
"Harman, Brian",PGA TOUR,34,0,28,-2,0.977
"Niemann, Joaquin",LIV Tour,35,-2,40,-1,0.946
"DeChambeau, Bryson",LIV Tour,36,1,100,-4,0.943
"Schenk, Adam",PGA TOUR,37,13,45,6,0.934
"Kim, Si Woo",PGA TOUR,38,-2,36,-1,0.933
"Thomas, Justin",PGA TOUR,39,-1,20,0,0.909
"Pereira, Mito",LIV Tour,40,-13,59,0,0.904
"Lee, Min Woo",PGA TOUR,41,1,47,-1,0.867
"Kim, Tom",PGA TOUR,42,1,25,0,0.857
"Theegala, Sahith",PGA TOUR,43,1,33,-1,0.844
"Cole, Eric",PGA TOUR,44,-4,74,0,0.836
"Kirk, Chris",PGA TOUR,45,4,39,2,0.828
"Rai, Aaron",PGA TOUR,46,-1,90,-2,0.823
"Putnam, Andrew",PGA TOUR,47,-1,62,-2,0.803
"Varner III, Harold",LIV Tour,48,6,83,-7,0.792
"Jaeger, Stephan",PGA TOUR,49,9,101,1,0.788
"Stricker, Steve",PGA TOUR Champions,50,1,9999,0,0.773
"Woodland, Gary",PGA TOUR,51,1,72,-1,0.771
"Smalley, Alex",PGA TOUR,52,17,63,22,0.739
"Hadwin, Adam",PGA TOUR,53,-12,55,-1,0.734
"Moore, Taylor",PGA TOUR,54,-7,48,-1,0.728
"Aberg, Ludvig",Amateur Events,55,11,303,0,0.728
"Meronk, Adrian",DP World Tour,56,-1,49,-1,0.724
"Grillo, Emiliano",PGA TOUR,57,-4,41,1,0.711
"Fox, Ryan",DP World Tour,58,-1,43,0,0.691
"Hubbard, Mark",PGA TOUR,59,6,89,5,0.69
"Rodgers, Patrick",PGA TOUR,60,-4,98,-3,0.673
"Noren, Alex",PGA TOUR,61,-2,66,-3,0.668
"English, Harris",PGA TOUR,62,-1,37,-1,0.643
"Garcia, Sergio",LIV Tour,63,-3,230,-11,0.642
"Poston, J.T.",PGA TOUR,64,16,57,5,0.629
"Tringale, Cameron",LIV Tour,65,-1,147,-5,0.626
"Straka, Sepp",PGA TOUR,66,31,27,10,0.624
"Bjork, Alexander",DP World Tour,67,-4,97,4,0.623
"Power, Seamus",PGA TOUR,68,8,50,0,0.622
"Taylor, Nick",PGA TOUR,69,-21,46,-1,0.616
"Todd, Brendon",PGA TOUR,70,21,61,17,0.607
"Kokrak, Jason",LIV Tour,71,-9,180,-11,0.559
"Burmester, Dean",LIV Tour,72,1,99,-1,0.545
"Grace, Branden",LIV Tour,73,-6,391,-8,0.543
"Munoz, Sebastian",LIV Tour,74,-6,122,-1,0.543
"Oosthuizen, Louis",LIV Tour,75,17,366,-18,0.534
"Spaun, J.J.",PGA TOUR,76,-2,86,-3,0.518
"Pieters, Thomas",LIV Tour,77,7,71,-3,0.509
"Casey, Paul",LIV Tour,78,-1,200,-8,0.497
"Hossler, Beau",PGA TOUR,79,4,123,5,0.497
"Eckroat, Austin",PGA TOUR,80,-5,76,1,0.492
"Herbert, Lucas",PGA TOUR,81,-2,54,1,0.485
"An, Byeong Hun",PGA TOUR,82,-11,131,-1,0.475
"Davis, Cameron",PGA TOUR,83,-2,53,0,0.474
"Mitchell, Keith",PGA TOUR,84,2,60,-2,0.442
"Steele, Brendan",LIV Tour,85,-7,163,-2,0.441
"Reavie, Chez",PGA TOUR,86,2,75,-2,0.419
"Bezuidenhout, Christiaan",PGA TOUR,87,-5,87,-1,0.408
"Kitayama, Kurt",PGA TOUR,88,5,24,0,0.382
"Lee, Kyounghoon",PGA TOUR,89,-4,52,0,0.382
"Hodges, Lee",PGA TOUR,90,4,114,-2,0.359
"Wu, Brandon",PGA TOUR,91,4,84,0,0.358
"Ghim, Doug",PGA TOUR,92,9,173,4,0.357
