player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Gavins, Daniel",150,-1.215,0.239,32,0.001,0.017,0.020,-0.133,-0.019,0.000,0.082,0.041,0.123,-0.965,2.813,"Genesis Scottish Open","The Renaissance Club"
"Pulkkanen, Tapio",150,-1.142,0.061,33,-0.002,0.000,-0.012,-0.060,0.026,-0.014,0.115,0.046,0.147,-0.981,2.833,"Genesis Scottish Open","The Renaissance Club"
"Frittelli, Dylan",150,-1.085,-0.023,33,-0.002,0.032,0.009,-0.049,-0.022,-0.009,0.112,0.039,0.142,-0.998,2.807,"Genesis Scottish Open","The Renaissance Club"
"Bachem, Nick",150,-1.268,0.011,23,0.032,0.043,0.024,0.042,-0.040,-0.025,0.058,0.093,0.126,-1.030,2.803,"Genesis Scottish Open","The Renaissance Club"
"Cabrera Bello, Rafa",150,-0.995,-0.058,39,-0.023,-0.052,0.032,-0.084,0.034,0.022,0.001,0.053,0.077,-1.071,2.809,"Genesis Scottish Open","The Renaissance Club"
"Van Rooyen, Erik",150,-1.196,-0.017,33,-0.002,0.032,-0.060,-0.000,0.037,-0.005,0.017,0.075,0.086,-1.120,2.832,"Genesis Scottish Open","The Renaissance Club"
"Lingmerth, David",150,-0.693,-0.119,35,-0.012,-0.119,-0.009,-0.127,-0.040,0.042,-0.082,0.034,-0.006,-1.125,2.789,"Genesis Scottish Open","The Renaissance Club"
"Sharma, Shubhankar",150,-1.084,-0.039,26,0.021,-0.068,0.004,-0.148,0.094,0.009,-0.011,0.051,0.049,-1.171,2.843,"Genesis Scottish Open","The Renaissance Club"
"Hanna, Chase",150,-1.272,-0.009,28,0.013,0.058,-0.005,-0.048,-0.040,-0.004,0.052,0.073,0.121,-1.182,2.803,"Genesis Scottish Open","The Renaissance Club"
"Bekker, Oliver",150,-1.359,-0.112,38,-0.021,0.006,0.076,0.056,-0.040,-0.015,0.073,0.080,0.138,-1.256,2.857,"Genesis Scottish Open","The Renaissance Club"
"Besseling, Wil",150,-1.599,-0.045,37,-0.018,0.047,-0.010,0.101,-0.041,-0.006,-0.002,0.126,0.118,-1.447,2.776,"Genesis Scottish Open","The Renaissance Club"
"Von Dellingshausen, Nicolai",150,-1.322,-0.012,30,0.008,-0.012,0.007,-0.321,-0.040,0.004,0.079,0.043,0.126,-1.566,2.803,"Genesis Scottish Open","The Renaissance Club"
"Seo, Yoseop",150,-1.740,0.035,27,0.020,0.011,0.064,-0.089,-0.040,0.004,0.041,0.109,0.153,-1.585,2.803,"Genesis Scottish Open","The Renaissance Club"
"Strydom, Ockie",150,-1.756,-0.046,38,-0.021,-0.020,-0.020,-0.066,-0.040,0.004,0.073,0.109,0.186,-1.783,2.803,"Genesis Scottish Open","The Renaissance Club"
"Kim, Yeongsu",150,-1.929,0.035,34,-0.005,0.001,0.006,-0.088,-0.040,0.015,0.043,0.104,0.162,-1.858,2.803,"Genesis Scottish Open","The Renaissance Club"
"Colsaerts, Nicolas",150,-1.923,0.104,40,-0.029,0.029,-0.169,-0.064,0.025,-0.009,0.059,0.116,0.166,-1.861,2.773,"Genesis Scottish Open","The Renaissance Club"
"Li, Haotong",150,-2.322,0.116,27,0.017,0.112,-0.227,-0.426,0.054,-0.001,0.154,0.074,0.227,-2.449,2.982,"Genesis Scottish Open","The Renaissance Club"
