player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Lowry, Shane",150,1.014,0.160,36,-0.013,0.033,-0.023,0.111,-0.040,-0.006,-0.033,-0.057,-0.095,1.146,2.780,"Genesis Scottish Open","The Renaissance Club"
"Lee, Min Woo",150,0.858,-0.100,24,0.028,0.076,0.016,0.153,0.051,-0.040,0.057,-0.052,-0.034,1.047,2.824,"Genesis Scottish Open","The Renaissance Club"
"Homa, Max",150,1.244,-0.140,32,0.000,0.065,0.012,-0.028,-0.019,-0.011,-0.020,-0.082,-0.113,1.022,2.771,"Genesis Scottish Open","The Renaissance Club"
"Im, Sungjae",150,1.214,-0.157,25,0.027,0.012,0.047,0.049,-0.056,-0.001,-0.048,-0.077,-0.125,1.012,2.793,"Genesis Scottish Open","The Renaissance Club"
"Conners, Corey",150,1.112,-0.073,31,0.004,-0.054,-0.005,0.112,-0.062,-0.004,-0.067,-0.043,-0.114,0.920,2.759,"Genesis Scottish Open","The Renaissance Club"
"Scott, Adam",150,1.039,0.058,43,-0.037,0.002,-0.013,-0.062,-0.040,-0.020,0.042,-0.049,-0.027,0.918,2.813,"Genesis Scottish Open","The Renaissance Club"
"Aberg, Ludvig",150,0.714,0.027,23,0.032,0.022,0.086,0.117,-0.040,-0.033,-0.002,-0.012,-0.047,0.911,2.803,"Genesis Scottish Open","The Renaissance Club"
"Rose, Justin",150,1.274,-0.011,42,-0.037,-0.044,0.068,-0.177,-0.052,-0.001,-0.035,-0.083,-0.118,0.904,2.808,"Genesis Scottish Open","The Renaissance Club"
"Burns, Sam",150,1.062,-0.194,26,0.021,0.064,-0.013,0.061,-0.040,-0.022,0.020,-0.067,-0.068,0.893,2.804,"Genesis Scottish Open","The Renaissance Club"
"Kim, Tom",150,0.844,0.011,21,0.042,-0.016,0.004,0.121,0.028,0.002,-0.090,-0.054,-0.142,0.892,2.803,"Genesis Scottish Open","The Renaissance Club"
"Rai, Aaron",150,0.816,0.120,28,0.016,-0.044,-0.048,0.101,0.054,0.009,-0.120,-0.044,-0.155,0.860,2.767,"Genesis Scottish Open","The Renaissance Club"
"Thomas, Justin",150,0.895,-0.221,30,0.009,0.069,0.041,0.142,-0.023,-0.016,0.019,-0.069,-0.066,0.846,2.795,"Genesis Scottish Open","The Renaissance Club"
"Herbert, Lucas",150,0.477,0.060,27,0.018,0.101,0.010,0.075,0.097,-0.014,0.038,-0.034,-0.010,0.829,2.814,"Genesis Scottish Open","The Renaissance Club"
"Fox, Ryan",150,0.684,0.025,36,-0.013,0.030,0.002,0.008,0.015,-0.023,0.099,-0.046,0.030,0.781,2.818,"Genesis Scottish Open","The Renaissance Club"
"Meronk, Adrian",150,0.715,-0.083,30,0.009,-0.003,-0.012,0.176,-0.028,-0.013,-0.005,-0.021,-0.039,0.736,2.824,"Genesis Scottish Open","The Renaissance Club"
"An, Byeong Hun",150,0.467,-0.120,31,0.003,0.052,-0.004,0.316,-0.040,-0.032,0.073,-0.026,0.014,0.689,2.787,"Genesis Scottish Open","The Renaissance Club"
"Davis, Cameron",150,0.464,0.002,28,0.016,0.048,-0.011,0.195,-0.040,-0.023,0.046,-0.018,0.005,0.679,2.806,"Genesis Scottish Open","The Renaissance Club"
"Smalley, Alex",150,0.729,-0.113,26,0.022,0.078,-0.051,0.081,0.010,-0.010,-0.034,-0.044,-0.088,0.667,2.803,"Genesis Scottish Open","The Renaissance Club"
"Woodland, Gary",150,0.763,-0.160,39,-0.023,-0.015,0.009,0.131,-0.021,-0.021,-0.018,-0.022,-0.062,0.623,2.776,"Genesis Scottish Open","The Renaissance Club"
"Detry, Thomas",150,0.337,0.039,30,0.008,0.075,0.008,0.028,0.134,-0.019,0.017,-0.027,-0.028,0.600,2.821,"Genesis Scottish Open","The Renaissance Club"
"Theegala, Sahith",150,0.836,-0.137,25,0.025,0.070,0.003,-0.137,-0.040,-0.009,0.059,-0.078,-0.028,0.593,2.822,"Genesis Scottish Open","The Renaissance Club"
"Power, Seamus",150,0.612,0.003,36,-0.013,0.043,0.011,-0.016,-0.040,-0.005,0.006,-0.043,-0.043,0.557,2.778,"Genesis Scottish Open","The Renaissance Club"
"Smith, Jordan",150,0.338,0.090,30,0.007,0.005,-0.002,0.096,0.029,-0.013,-0.024,-0.007,-0.043,0.520,2.760,"Genesis Scottish Open","The Renaissance Club"
"Macintyre, Robert",150,0.058,0.240,26,0.021,0.045,0.008,0.032,0.047,-0.011,0.046,-0.010,0.024,0.474,2.802,"Genesis Scottish Open","The Renaissance Club"
"Rodgers, Patrick",150,0.659,-0.150,31,0.006,0.048,-0.012,-0.025,-0.040,-0.016,0.037,-0.040,-0.019,0.468,2.758,"Genesis Scottish Open","The Renaissance Club"
"Noren, Alex",150,0.659,0.147,41,-0.030,0.042,-0.039,-0.279,-0.018,0.006,0.042,-0.074,-0.025,0.456,2.736,"Genesis Scottish Open","The Renaissance Club"
"Kitayama, Kurt",150,0.371,-0.120,30,0.008,0.047,0.001,0.040,0.069,-0.021,0.053,-0.033,-0.001,0.414,2.850,"Genesis Scottish Open","The Renaissance Club"
"Cole, Eric",150,0.826,-0.147,35,-0.009,0.030,-0.051,-0.196,-0.040,0.005,0.038,-0.065,-0.021,0.392,2.792,"Genesis Scottish Open","The Renaissance Club"
