tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,3M Open,525,"Finau, Tony",11676,1,1,TPC Twin Cities,883,71,67,-0.566,-0.069,4.641,1.775,6.347,5.781,298.7,0.786,0.833,0.75,30.57,28.714
pga,2022,2022,3M Open,525,"Finau, Tony",11676,1,2,TPC Twin Cities,883,71,68,0.33,2.221,-0.886,1.618,2.953,3.327,293.9,0.786,0.778,0.8,30.672,38.013
pga,2022,2022,3M Open,525,"Finau, Tony",11676,1,3,TPC Twin Cities,883,71,65,-2.516,1.727,2.773,1.589,6.089,3.573,293.4,0.857,0.944,1.0,57.132,26.381
pga,2022,2022,3M Open,525,"Finau, Tony",11676,1,4,TPC Twin Cities,883,71,67,3.578,-0.008,1.327,-0.058,1.262,4.84,286.9,0.786,0.833,0.667,21.327,29.215
pga,2022,2022,3M Open,525,"Grillo, Emiliano",12808,T2,1,TPC Twin Cities,883,71,67,0.846,1.909,2.08,0.946,4.935,5.781,289.6,0.714,0.944,0.5,33.224,27.583
pga,2022,2022,3M Open,525,"Grillo, Emiliano",12808,T2,2,TPC Twin Cities,883,71,65,3.14,-0.636,2.523,1.256,3.143,6.327,287.3,0.786,0.833,0.75,23.134,27.795
pga,2022,2022,3M Open,525,"Grillo, Emiliano",12808,T2,3,TPC Twin Cities,883,71,67,-0.299,0.82,0.003,1.049,1.872,1.573,291.7,0.714,0.722,0.571,40.251,34.451
pga,2022,2022,3M Open,525,"Grillo, Emiliano",12808,T2,4,TPC Twin Cities,883,71,71,-0.003,-0.889,1.328,0.403,0.843,0.84,289.4,0.643,0.722,0.286,64.791,27.493
pga,2022,2022,3M Open,525,"Im, Sungjae",17488,T2,1,TPC Twin Cities,883,71,65,4.494,0.493,1.383,1.411,3.287,7.781,294.3,0.714,0.778,0.75,37.956,28.397
pga,2022,2022,3M Open,525,"Im, Sungjae",17488,T2,2,TPC Twin Cities,883,71,70,0.986,0.194,-0.741,0.844,0.297,1.327,292.0,0.643,0.722,0.571,28.854,32.101
pga,2022,2022,3M Open,525,"Im, Sungjae",17488,T2,3,TPC Twin Cities,883,71,67,0.506,-1.686,0.946,1.807,1.067,1.573,294.1,0.929,0.722,0.429,42.444,31.715
pga,2022,2022,3M Open,525,"Im, Sungjae",17488,T2,4,TPC Twin Cities,883,71,68,-2.166,1.009,3.586,1.41,6.006,3.84,293.8,0.786,0.778,0.833,32.276,27.861
