Customer Name,Vessel name,Required del. date,Del Conf Date,Pricing Date,Plant,Port name,Product Name,Net weight,Net amount
Eagle Shipping International (USA),CANARY,25/03/2022,30/03/2022,28/03/2022,AK00,MOBILE (Alabama),AURELIA TI 3030          BULK   MAR   US,4550,8960
Eagle Shipping International (USA),CANARY,25/03/2022,30/03/2022,28/03/2022,AK00,MOBILE (Alabama),TALUSIA UNIVERSAL 100    BULK   MAR   US,14124,30329
Eagle Shipping International (USA),CANARY,25/03/2022,30/03/2022,28/03/2022,AK00,MOBILE (Alabama),PLANETELF ACD 32         20L    TOT C,20,800
Eagle Shipping International (USA),CANARY,25/03/2022,30/03/2022,28/03/2022,AK00,MOBILE (Alabama),VISGA 15                 20L    MAR C,34,156
Eagle Shipping International (USA),CANARY,25/03/2022,30/03/2022,28/03/2022,AK00,MOBILE (Alabama),VISGA 150                205L   MAR   US,182,789
Eagle Shipping International (USA),CANARY,25/03/2022,30/03/2022,28/03/2022,AK00,MOBILE (Alabama),BIONEPTAN 100            208L   MAR C,192,3536
Eagle Shipping International (USA),CANARY,25/03/2022,30/03/2022,28/03/2022,AK00,MOBILE (Alabama),VISGA 68                 205L   MAR   US,180,775
Eagle Shipping International (USA),SANKATY EAGLE,18/03/2022,22/03/2022,18/03/2022,AK00,NEW ORLEANS (Louisia,TALUSIA LS 40            BULK   MAR   US,9200,18676
JINYUANLING MARITIME COMPANY,JIN YUAN LING,2/4/2022,8/4/2022,4/4/2022,AJ80,HOUSTON (Texas),CERAN AD PLUS            18K    TOT C,108,1451
JINYUANLING MARITIME COMPANY,JIN YUAN LING,2/4/2022,8/4/2022,4/4/2022,AJ80,HOUSTON (Texas),TALUSIA UNIVERSAL        BULK   MAR   US,13953,35235
JINYUANLING MARITIME COMPANY,JIN YUAN LING,2/4/2022,8/4/2022,4/4/2022,AJ80,HOUSTON (Texas),VISGA 32                 205L   MAR   US,889,5258
JINYUANLING MARITIME COMPANY,JIN YUAN LING,2/4/2022,8/4/2022,4/4/2022,AJ80,HOUSTON (Texas),EPONA SA 220             20L    MAR C,85,1787
Wilhelmsen Ship Management Sdn Bhd,Talisman,21/03/2022,29/03/2022,20/03/2022,AZ70,LONG BEACH (Californ,AURELIA TI 3030          BULK   MAR   US,8189,15397
Wilhelmsen Ship Management Sdn Bhd,Talisman,21/03/2022,29/03/2022,20/03/2022,AZ70,LONG BEACH (Californ,TALUSIA UNIVERSAL        BULK   MAR   US,23256,42915
Wilhelmsen Ship Management Sdn Bhd,Talisman,21/03/2022,29/03/2022,20/03/2022,AZ70,LONG BEACH (Californ,BARELF SM 68             20L    MAR C,51,1114
CONTI 17.Container Schiffahrts-GmbH,CONTI CONQUEST,24/03/2022,6/4/2022,28/03/2022,AZ70,LOS ANGELES (Califor,TALUSIA UNIVERSAL        BULK   MAR   US,18605,34246
CONTI 17.Container Schiffahrts-GmbH,CONTI CONQUEST,24/03/2022,6/4/2022,28/03/2022,AZ70,LOS ANGELES (Califor,AURELIA TI 4030          BULK   MAR   US,4550,8862
MLT International NV,WHITNEY BAY,26/03/2022,29/03/2022,25/03/2022,AB90,GLOUCESTER (New Jers,TALUSIA LS 40            BULK   MAR   US,4611,10731
MLT International NV,WHITNEY BAY,26/03/2022,29/03/2022,25/03/2022,AB90,GLOUCESTER (New Jers,PRESLIA 68               20L    TOT C,88,386
MLT International NV,WHITNEY BAY,26/03/2022,29/03/2022,25/03/2022,AB90,GLOUCESTER (New Jers,EPONA Z 220              20L    MAR C,36,148
MLT International NV,WHITNEY BAY,26/03/2022,29/03/2022,25/03/2022,AB90,GLOUCESTER (New Jers,AURELIA TI 4030          208L   MAR   US,1887,5292
MLT International NV,WHITNEY BAY,26/03/2022,29/03/2022,25/03/2022,AB90,GLOUCESTER (New Jers,ATLANTA MARINE D 3005    208L   MAR   US,1845,4736
REEFERSHIP MARINE SERVICES LLC,DOLE PACIFIC,21/03/2022,29/03/2022,22/03/2022,AZ70,SAN DIEGO (Californi,DACNIS 100               20L    TOT C,35,273
REEFERSHIP MARINE SERVICES LLC,DOLE PACIFIC,21/03/2022,29/03/2022,22/03/2022,AZ70,SAN DIEGO (Californi,DISOLA W 15W40           20L    MAR C,35,306
REEFERSHIP MARINE SERVICES LLC,DOLE PACIFIC,21/03/2022,29/03/2022,22/03/2022,AZ70,SAN DIEGO (Californi,CERAN XM 220             18K    TOT C,252,4166
REEFERSHIP MARINE SERVICES LLC,DOLE PACIFIC,21/03/2022,29/03/2022,22/03/2022,AZ70,SAN DIEGO (Californi,CERAN AD PLUS            18K    TOT C,54,872
REEFERSHIP MARINE SERVICES LLC,DOLE PACIFIC,21/03/2022,29/03/2022,22/03/2022,AZ70,SAN DIEGO (Californi,PRESLIA 68               20L    TOT C,18,133
REEFERSHIP MARINE SERVICES LLC,DOLE PACIFIC,21/03/2022,29/03/2022,22/03/2022,AZ70,SAN DIEGO (Californi,CARTER EP 680            20L    TOT C,18,157
Master and Owners of MV CONSTANTINO,CONSTANTINOS P II,21/03/2022,23/03/2022,22/03/2022,AB90,BALTIMORE (Maryland),TALUSIA LS 40            BULK   MAR   US,7268,19240
Master and Owners of MV CONSTANTINO,CONSTANTINOS P II,21/03/2022,23/03/2022,22/03/2022,AB90,BALTIMORE (Maryland),DACNIS 100               20L    TOT C,53,282
MOL Techno-Trade Ltd.,ETHANE PEARL,22/03/2022,28/03/2022,23/03/2022,AY40,HOUSTON (Texas),TALUSIA HR 70            BULK   MAR   US,17857,36605
FLEET MANAGEMENT LIMITED,SPAR OCTANS,2/4/2022,7/4/2022,5/4/2022,AY40,HOUSTON (Texas),TALUSIA HR 70            BULK   MAR   US,9398,19500
ASSOCIATED MARITIME COMPANY,NEW ABILITY,27/03/2022,20/04/2022,29/03/2022,AB90,NEW YORK (New York),BIOMULTIS EP 2           18K    TOT C,180,4050
ASSOCIATED MARITIME COMPANY,NEW ABILITY,27/03/2022,20/04/2022,29/03/2022,AB90,NEW YORK (New York),CERAN AD PLUS            18K    TOT C,180,3022
ASSOCIATED MARITIME COMPANY,NEW ABILITY,27/03/2022,20/04/2022,29/03/2022,AB90,NEW YORK (New York),CERAN XM 220             18K    TOT C,90,1548
ASSOCIATED MARITIME COMPANY,NEW ABILITY,27/03/2022,20/04/2022,29/03/2022,AB90,NEW YORK (New York),CARTER EP 680            20L    TOT C,74,538
ASSOCIATED MARITIME COMPANY,NEW ABILITY,27/03/2022,20/04/2022,29/03/2022,AB90,NEW YORK (New York),PRESLIA 68               208L   TOT C,916,5649
ASSOCIATED MARITIME COMPANY,NEW ABILITY,27/03/2022,20/04/2022,29/03/2022,AB90,NEW YORK (New York),MULTIS EP 3              18K    TOT C,90,1191
ASSOCIATED MARITIME COMPANY,NEW ABILITY,27/03/2022,20/04/2022,29/03/2022,AB90,NEW YORK (New York),TALUSIA LS 40            BULK   MAR   US,18374,45620
SEASPAN SHIP MANAGEMENT LTD,CMA CGM CHILE,8/4/2022,26/04/2022,2/4/2022,AB90,NEWARK - ELIZABETH (,TALUSIA UNIVERSAL 100    BULK   MAR   US,23508,45893
SIRIUS INTERNATIONAL SHIPPING CO,ALANI,26/03/2022,28/03/2022,26/03/2022,AK20,ASTORIA (Oregon),DACNIS 100               20L    TOT C,88,548
SIRIUS INTERNATIONAL SHIPPING CO,ALANI,26/03/2022,28/03/2022,26/03/2022,AK20,ASTORIA (Oregon),BARELF SM 46             20L    MAR C,84,2368
SIRIUS INTERNATIONAL SHIPPING CO,ALANI,26/03/2022,28/03/2022,26/03/2022,AK20,ASTORIA (Oregon),EPONA Z 150              20L    MAR C,89,570
SIRIUS INTERNATIONAL SHIPPING CO,ALANI,26/03/2022,28/03/2022,26/03/2022,AK20,ASTORIA (Oregon),PRESLIA 68               20L    TOT C,53,320
SIRIUS INTERNATIONAL SHIPPING CO,ALANI,26/03/2022,28/03/2022,26/03/2022,AK20,ASTORIA (Oregon),VISGA 46                 20L    MAR C,192,1188
SHIKOKUPENTE SHIPPING INC,KYPROS SEA,28/03/2022,5/4/2022,1/4/2022,AK00,NEW ORLEANS (Louisia,EPONA Z 220              20L    MAR C,36,254
SHIKOKUPENTE SHIPPING INC,KYPROS SEA,28/03/2022,5/4/2022,1/4/2022,AK00,NEW ORLEANS (Louisia,CERAN XM 220             18K    TOT C,108,1696
REEFERSHIP MARINE SERVICES LLC,DOLE CHILE,8/4/2022,18/04/2022,10/4/2022,AB90,WILMINGTON (Delaware,AURELIA TI 4040          BULK   MAR   US,13533,29172
REEFERSHIP MARINE SERVICES LLC,DOLE CHILE,8/4/2022,18/04/2022,10/4/2022,AB90,WILMINGTON (Delaware,TALUSIA OPTIMA           BULK   MAR   US,18806,58954
REEFERSHIP MARINE SERVICES LLC,DOLE CHILE,8/4/2022,18/04/2022,10/4/2022,AB90,WILMINGTON (Delaware,ATLANTA MARINE D 3005    BULK   MAR   US,13552,22121
FLEET MANAGEMENT LIMITED,DODO,21/03/2022,28/03/2022,26/03/2022,AK00,NEW ORLEANS (Louisia,ATLANTA MARINE D 3005    BULK   MAR   US,3559,8040
FLEET MANAGEMENT LIMITED,DODO,21/03/2022,28/03/2022,26/03/2022,AK00,NEW ORLEANS (Louisia,AURELIA TI 4020          BULK   MAR   US,3600,8760
FLEET MANAGEMENT LIMITED,DODO,21/03/2022,28/03/2022,26/03/2022,AK00,NEW ORLEANS (Louisia,TALUSIA UNIVERSAL        BULK   MAR   US,5581,13200
DELPHINE LNG SHIPPING c/o Gazocean,LNG ENDEAVOUR,30/03/2022,1/4/2022,31/03/2022,AJ80,LAKE CHARLES (Louisi,VISGA 46                 205L   MAR   US,179,1127
DELPHINE LNG SHIPPING c/o Gazocean,LNG ENDEAVOUR,30/03/2022,1/4/2022,31/03/2022,AJ80,LAKE CHARLES (Louisi,BIOADHESIVE PLUS         18K    TOT C,36,920
DELPHINE LNG SHIPPING c/o Gazocean,LNG ENDEAVOUR,30/03/2022,1/4/2022,31/03/2022,AJ80,LAKE CHARLES (Louisi,CERAN AD PLUS            18K    TOT C,36,714
DELPHINE LNG SHIPPING c/o Gazocean,LNG ENDEAVOUR,30/03/2022,1/4/2022,31/03/2022,AJ80,LAKE CHARLES (Louisi,DACNIS 100               20L    TOT C,35,232
DELPHINE LNG SHIPPING c/o Gazocean,LNG ENDEAVOUR,30/03/2022,1/4/2022,31/03/2022,AJ80,LAKE CHARLES (Louisi,AZOLLA AF 46             20L    TOT C,53,326
FORTUNE POWER SHIPPING LTD. FOR,GUI YING,21/03/2022,31/03/2022,25/03/2022,AJ80,PORT ARTHUR (Texas),EPONA Z 100              20L    MAR C,176,1341
FORTUNE POWER SHIPPING LTD. FOR,GUI YING,21/03/2022,31/03/2022,25/03/2022,AJ80,PORT ARTHUR (Texas),EPONA Z 220              205L   MAR C,182,994
FORTUNE POWER SHIPPING LTD. FOR,GUI YING,21/03/2022,31/03/2022,25/03/2022,AJ80,PORT ARTHUR (Texas),EPONA Z 460              205L   MAR C,185,1469
Master WAN HAI 309,WAN HAI 309,21/03/2022,29/03/2022,23/03/2022,AB90,NEW YORK (New York),TALUSIA UNIVERSAL        BULK   MAR   US,4613,8611
Master WAN HAI 309,WAN HAI 309,21/03/2022,29/03/2022,23/03/2022,AB90,NEW YORK (New York),BARELF SM 68             20L    MAR C,51,1239
MARINEPOOL SOLUTIONS LIMITED,VELIKA EXPRESS,28/03/2022,6/4/2022,31/03/2022,AB90,NEWARK - ELIZABETH (,TALUSIA LS 40            BULK   MAR   US,18411,36137
MARINEPOOL SOLUTIONS LIMITED,VELIKA EXPRESS,28/03/2022,6/4/2022,31/03/2022,AB90,NEWARK - ELIZABETH (,CERAN XM 220             18K    TOT C,54,465
MARINEPOOL SOLUTIONS LIMITED,VELIKA EXPRESS,28/03/2022,6/4/2022,31/03/2022,AB90,NEWARK - ELIZABETH (,VISGA 32                 20L    MAR C,173,664
FLEET MANAGEMENT LIMITED,TENDRA TRADER,3/4/2022,12/4/2022,7/4/2022,AK00,NEW ORLEANS (Louisia,TALUSIA UNIVERSAL 100    BULK   MAR   US,4708,12200
ENEOS CORPORATION,BALSA 94,28/03/2022,30/03/2022,29/03/2022,AK00,NEW ORLEANS (Louisia,TALUSIA LS 40            BULK   MAR   US,3680,7966
ENEOS CORPORATION,BALSA 94,28/03/2022,30/03/2022,29/03/2022,AK00,NEW ORLEANS (Louisia,DISOLA M 4015            208L   MAR   US,749,1909
ENEOS CORPORATION,BALSA 94,28/03/2022,30/03/2022,29/03/2022,AK00,NEW ORLEANS (Louisia,ATLANTA MARINE D 3005    BULK   MAR   US,2669,5506
FLEET MANAGEMENT LIMITED,SPAR RIGEL,17/04/2022,26/04/2022,17/04/2022,AZ70,LONG BEACH (Californ,TALUSIA UNIVERSAL        BULK   MAR   US,13953,31950
EUROBULK LIMITED,SYNERGY OAKLAND,17/04/2022,28/04/2022,27/04/2022,AK20,SEATTLE (Washington),AURELIA TI 4040          BULK   MAR   US,2721,7094
EUROBULK LIMITED,SYNERGY OAKLAND,17/04/2022,28/04/2022,27/04/2022,AK20,SEATTLE (Washington),ATLANTA MARINE D 3005    BULK   MAR   US,4448,9635
EUROBULK LIMITED,SYNERGY OAKLAND,17/04/2022,28/04/2022,27/04/2022,AK20,SEATTLE (Washington),DACNIS 100               20L    TOT C,53,279
EUROBULK LIMITED,SYNERGY OAKLAND,17/04/2022,28/04/2022,27/04/2022,AK20,SEATTLE (Washington),VISGA 68                 20L    MAR C,35,184
EUROBULK LIMITED,SYNERGY OAKLAND,17/04/2022,28/04/2022,27/04/2022,AK20,SEATTLE (Washington),VISGA 32                 20L    MAR C,69,364
EUROBULK LIMITED,SYNERGY OAKLAND,17/04/2022,28/04/2022,27/04/2022,AK20,SEATTLE (Washington),TALUSIA HR 70            BULK   MAR   US,18795,43550
FLEET MANAGEMENT LIMITED,CONCEPTION LIGHT,4/4/2022,25/04/2022,8/4/2022,AK10,TAMPA (Florida),TALUSIA LS 40            BULK   MAR   US,7359,18478
FLEET MANAGEMENT LIMITED,CONCEPTION LIGHT,4/4/2022,25/04/2022,8/4/2022,AK10,TAMPA (Florida),ATLANTA MARINE D 3005    BULK   MAR   US,3560,8842
MASTER & OWNERS OF HAMBURG TEAM,HAMBURG TEAM,31/03/2022,5/4/2022,2/4/2022,AZ70,LONG BEACH (Californ,TALUSIA UNIVERSAL 100    BULK   MAR   US,4708,12554
MASTER & OWNERS OF HAMBURG TEAM,HAMBURG TEAM,31/03/2022,5/4/2022,2/4/2022,AZ70,LONG BEACH (Californ,ATLANTA MARINE D 3005    BULK   MAR   US,7117,15889
MASTER & OWNERS OF HAMBURG TEAM,HAMBURG TEAM,31/03/2022,5/4/2022,2/4/2022,AZ70,LONG BEACH (Californ,DISOLA M 4015            208L   MAR   US,1498,4542
MASTER & OWNERS OF HAMBURG TEAM,HAMBURG TEAM,31/03/2022,5/4/2022,2/4/2022,AZ70,LONG BEACH (Californ,DACNIS 100               20L    TOT C,35,180
MASTER & OWNERS OF HAMBURG TEAM,HAMBURG TEAM,31/03/2022,5/4/2022,2/4/2022,AZ70,LONG BEACH (Californ,DACNIS 46                20L    TOT C,35,231
ENMA LIMITED CORPORATION,Other vessel - ENMA LIMITED,31/03/2022,1/4/2022,31/03/2022,AJ80,FREEPORT (Texas),AURELIA TI 3030          208L   MAR   US,3773,10067
SEASPAN SHIP MANAGEMENT LTD,SEASPAN LUMACO,24/05/2022,1/6/2022,31/05/2022,AZ70,LOS ANGELES (Califor,AURELIA TI 4030          BULK   MAR   US,8189,15044
SEASPAN SHIP MANAGEMENT LTD,SEASPAN LUMACO,24/05/2022,1/6/2022,31/05/2022,AZ70,LOS ANGELES (Califor,TALUSIA UNIVERSAL 100    BULK   MAR   US,9416,18117
SEASPAN SHIP MANAGEMENT LTD,SEASPAN LUMACO,24/05/2022,1/6/2022,31/05/2022,AZ70,LOS ANGELES (Califor,VISGA 15                 20L    MAR C,51,515
SEASPAN SHIP MANAGEMENT LTD,SEASPAN LUMACO,24/05/2022,1/6/2022,31/05/2022,AZ70,LOS ANGELES (Califor,TALUSIA UNIVERSAL        BULK   MAR   US,18605,32232
SEASPAN SHIP MANAGEMENT LTD,SEASPAN LUMACO,24/05/2022,1/6/2022,31/05/2022,AZ70,LOS ANGELES (Califor,ATLANTA MARINE D 3005    BULK   MAR   US,21352,31478
MOL Techno-Trade Ltd.,GINGA PUMA,26/03/2022,25/04/2022,2/4/2022,AJ80,LAKE CHARLES (Louisi,TALUSIA UNIVERSAL        BULK   MAR   US,13953,30900
MOL Techno-Trade Ltd.,GINGA PUMA,26/03/2022,25/04/2022,2/4/2022,AJ80,LAKE CHARLES (Louisi,AURELIA TI 4030          BULK   MAR   US,3640,8240
MOL Techno-Trade Ltd.,GINGA PUMA,26/03/2022,25/04/2022,2/4/2022,AJ80,LAKE CHARLES (Louisi,BARELF CH 100            20L    MAR C,57,1553
MOL Techno-Trade Ltd.,GINGA PUMA,26/03/2022,25/04/2022,2/4/2022,AJ80,LAKE CHARLES (Louisi,VISGA 15                 20L    MAR C,68,404
MOL Techno-Trade Ltd.,GINGA PUMA,26/03/2022,25/04/2022,2/4/2022,AJ80,LAKE CHARLES (Louisi,CERAN AD PLUS            18K    TOT C,36,492
MOL Techno-Trade Ltd.,GINGA PUMA,26/03/2022,25/04/2022,2/4/2022,AJ80,LAKE CHARLES (Louisi,BIOMULTIS EP 2           50K    TOT C,50,767
FLEET MANAGEMENT LIMITED,HUEMUL,24/04/2022,11/5/2022,7/5/2022,AY40,HOUSTON (Texas),AURELIA TI 4040          208L   MAR   US,1509,4060
FLEET MANAGEMENT LIMITED,HUEMUL,24/04/2022,11/5/2022,7/5/2022,AY40,HOUSTON (Texas),TALUSIA UNIVERSAL        BULK   MAR   US,17674,38190
FLEET MANAGEMENT LIMITED,HUEMUL,24/04/2022,11/5/2022,7/5/2022,AY40,HOUSTON (Texas),ATLANTA MARINE D 3005    208L   MAR   US,2214,4967
SSC SHIP MANAGEMENT PTE LTD,CENTAURUS LEADER,28/03/2022,20/04/2022,28/03/2022,AK10,JACKSONVILLE (Florid,TALUSIA UNIVERSAL        BULK   MAR   US,12409,32355
SSC SHIP MANAGEMENT PTE LTD,CENTAURUS LEADER,28/03/2022,20/04/2022,28/03/2022,AK10,JACKSONVILLE (Florid,ATLANTA MARINE D 3005    BULK   MAR   US,5338,13430
SSC SHIP MANAGEMENT PTE LTD,CENTAURUS LEADER,28/03/2022,20/04/2022,28/03/2022,AK10,JACKSONVILLE (Florid,CERAN AD PLUS            18K    TOT C,54,725
MASTER & OWNERS OF WESTERN MIAMI,WESTERN MIAMI,25/03/2022,28/03/2022,26/03/2022,AY40,HOUSTON (Texas),AURELIA TI 4020          208L   MAR   US,1872,4264
ABILITY MARITIME CORP. FOR OWNERS,INTERLINK ABILITY,24/03/2022,21/04/2022,24/03/2022,AZ10,MONTREAL,CERAN XM 220             18K    TOT C,18,406
ABILITY MARITIME CORP. FOR OWNERS,INTERLINK ABILITY,24/03/2022,21/04/2022,24/03/2022,AZ10,MONTREAL,EPONA Z 150              205L   MAR C,182,1876
ABILITY MARITIME CORP. FOR OWNERS,INTERLINK ABILITY,24/03/2022,21/04/2022,24/03/2022,AZ10,MONTREAL,PLANETELF ACD 68         20L    TOT C,39,1580
ENEOS CORPORATION,ENERGY INNOVATOR,4/4/2022,20/04/2022,4/4/2022,AB90,BALTIMORE (Maryland),DISOLA M 4015            208L   MAR   US,14976,43566
ENEOS CORPORATION,LADY ROSEBAY,25/03/2022,6/4/2022,30/03/2022,AZ70,LOS ANGELES (Califor,TALUSIA LS 40            BULK   MAR   US,9200,18100
ENEOS CORPORATION,LADY ROSEBAY,25/03/2022,6/4/2022,30/03/2022,AZ70,LOS ANGELES (Califor,VISGA 68                 205L   MAR   US,360,2206
ENEOS CORPORATION,LADY ROSEBAY,25/03/2022,6/4/2022,30/03/2022,AZ70,LOS ANGELES (Califor,CERAN XM 220             18K    TOT C,54,777
ENEOS CORPORATION,LADY ROSEBAY,25/03/2022,6/4/2022,30/03/2022,AZ70,LOS ANGELES (Califor,EPONA SA 220             20L    MAR C,51,1124
ENEOS CORPORATION,LADY ROSEBAY,25/03/2022,6/4/2022,30/03/2022,AZ70,LOS ANGELES (Califor,AURELIA TI 4030          208L   MAR   US,1887,4493
MARINEPOOL SOLUTIONS LIMITED,FAIRCHEM CUTLASS,17/04/2022,26/04/2022,21/04/2022,AJ80,HOUSTON (Texas),AURELIA TI 4030          208L   MAR   US,943,2053
MARINEPOOL SOLUTIONS LIMITED,FAIRCHEM CUTLASS,17/04/2022,26/04/2022,21/04/2022,AJ80,HOUSTON (Texas),PRESLIA 68               20L    TOT C,35,132
MARINEPOOL SOLUTIONS LIMITED,FAIRCHEM CUTLASS,17/04/2022,26/04/2022,21/04/2022,AJ80,HOUSTON (Texas),DISOLA W 15W40           20L    MAR C,18,75
Norspan LNG X AS,Rioja Knutsen,18/04/2022,21/04/2022,19/04/2022,AJ80,PORT ARTHUR (Texas),DACNIS 150               208L   TOT C,1479,7860
DELANO SHIPPING LLC,TAMARACK,25/03/2022,20/04/2022,30/03/2022,AB90,WILMINGTON (Delaware,TALUSIA UNIVERSAL 100    BULK   MAR   US,9609,23068
DELANO SHIPPING LLC,TAMARACK,25/03/2022,20/04/2022,30/03/2022,AB90,WILMINGTON (Delaware,ATLANTA MARINE D 3005    BULK   MAR   US,4540,9494
