"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Kyle Farmer","CIN","14","54","0","4","7","1","5.6%","20.4%",".060",".333",".260",".315",".320",".291",".315","83","-1.2","-2.3","-0.8","-0.2","14813"
"Jorge Soler","MIA","13","56","1","3","2","0","10.7%","28.6%",".102",".250",".184",".286",".286",".269",".301","77","-0.2","-1.6","-1.6","-0.2","14221"
"Kolten Wong","MIL","14","51","0","5","5","1","2.0%","21.6%",".104",".237",".188",".216",".292",".225",".227","41","0.6","-2.7","-0.3","-0.2","12532"
"Alejandro Kirk","TOR","12","44","0","1","1","0","13.6%","9.1%",".000",".265",".243",".341",".243",".269",".291","73","-1.2","-2.4","-0.6","-0.2","22581"
"Ramon Urias","BAL","12","50","0","3","2","0","6.0%","26.0%",".043",".265",".191",".240",".234",".220",".344","40","-0.1","-3.2","-0.1","-0.2","18795"
"Bo Bichette","TOR","14","62","1","5","4","1","1.6%","25.8%",".082",".273",".213",".226",".295",".234",".313","48","0.0","-3.3","-0.4","-0.2","19612"
"Ketel Marte","ARI","14","61","0","3","4","1","6.6%","27.9%",".093",".263",".185",".262",".278",".250",".280","58","0.0","-2.9","-0.9","-0.2","13613"
"Darin Ruf","SFG","14","60","0","5","2","0","13.3%","28.3%",".039",".265",".176",".300",".216",".253",".299","65","0.4","-2.0","-1.8","-0.2","9929"
"Trent Grisham","SDP","15","57","1","2","2","0","12.3%","31.6%",".102",".200",".143",".250",".245",".237",".282","54","0.4","-2.5","-1.3","-0.2","18564"
"Paul Goldschmidt","STL","12","54","0","7","3","2","13.0%","16.7%",".043",".243",".196",".302",".239",".260",".282","71","0.9","-0.9","-2.9","-0.2","9218"
"Whit Merrifield","KCR","12","50","0","1","2","3","4.0%","8.0%",".021",".136",".125",".160",".146",".144",".273","-15","0.3","-5.7","1.9","-0.2","11281"
"Luis Arraez","MIN","13","44","1","5","4","0","11.4%","9.1%",".128",".324",".308",".386",".436",".365",".350","146","-0.4","1.7","-5.5","-0.3","18568"
"Franmil Reyes","CLE","12","53","2","4","5","0","3.8%","37.7%",".118",".276",".196",".226",".314",".245",".253","59","-0.8","-3.1","-1.1","-0.3","14566"
"Jesus Aguilar","MIA","12","50","0","1","3","0","12.0%","26.0%",".000",".258",".190",".280",".190",".227",".256","49","-0.6","-3.5","-0.8","-0.3","11342"
"Jeimer Candelario","DET","12","49","0","5","2","0","8.2%","22.4%",".067",".206",".156",".224",".222",".210",".319","34","-0.1","-3.4","-1.0","-0.3","13621"
"Alcides Escobar","WSN","13","50","0","5","2","1","8.0%","28.0%",".022",".226",".156",".240",".178",".204",".241","27","0.0","-4.0","-0.5","-0.3","6310"
"Nelson Cruz","WSN","15","66","2","7","9","0","10.6%","16.7%",".103",".200",".190",".277",".293",".260",".360","65","-0.8","-3.4","-1.6","-0.3","2434"
"Carlos Santana","KCR","10","38","0","2","1","0","15.8%","10.5%",".031",".071",".063",".211",".094",".168",".335","2","-0.4","-4.3","0.0","-0.3","2396"
"Joey Votto","CIN","14","56","0","3","2","0","8.9%","37.5%",".021",".296",".167",".286",".188",".237",".251","46","-0.3","-3.7","-2.2","-0.5","4314"
"Joey Gallo","NYY","14","47","0","0","0","0","12.8%","38.3%",".000",".217",".122",".234",".122",".184",".318","17","0.0","-4.1","-2.3","-0.5","14128"
"Brendan Rodgers","COL","11","47","0","3","1","0","8.5%","34.0%",".024",".148",".095",".170",".119",".144",".216","-25","-0.1","-6.6","0.0","-0.6","17907"
"Miguel Sano","MIN","13","48","1","1","3","1","14.6%","29.2%",".077",".080",".077",".229",".154",".199",".336","27","-1.0","-4.7","-2.2","-0.6","12164"
