"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Brandon Belt","SFG","12","56","4","8","8","0","17.9%","25.0%",".283",".250",".239",".375",".522",".400",".388","164","0.2","4.1","-1.1","0.5","10264"
"Jesus Sanchez","MIA","12","52","3","9","9","0","3.8%","25.0%",".286",".394",".327",".365",".612",".429",".392","185","-0.7","4.1","-1.1","0.5","19913"
"Jeff McNeil","NYM","14","56","1","8","6","1","8.9%","10.7%",".100",".302",".280",".357",".380",".337",".339","125","0.9","2.4","0.5","0.5","15362"
"Alex Verdugo","BOS","14","55","3","4","10","0","9.1%","9.1%",".229",".286",".313",".364",".542",".382",".398","154","-0.3","2.7","0.0","0.5","17027"
"DJ LeMahieu","NYY","13","50","1","4","4","0","10.0%","20.0%",".116",".375",".302",".400",".419",".374",".395","154","-0.4","2.4","0.5","0.5","9874"
"Gavin Lux","LAD","11","41","1","9","5","2","17.1%","14.6%",".182",".259",".242",".366",".424",".354",".485","133","1.3","2.8","0.4","0.5","19955"
"Daulton Varsho","ARI","14","52","4","5","7","1","15.4%","28.8%",".286",".160",".190",".308",".476",".344",".412","121","0.8","2.0","0.8","0.5","19918"
"Anthony Santander","BAL","14","57","1","4","2","0","21.1%","17.5%",".116",".344",".279",".456",".395",".393",".411","165","-0.2","3.6","-1.1","0.5","14551"
"Anthony Rizzo","NYY","14","59","4","7","10","2","13.6%","15.3%",".298",".206",".234",".390",".532",".407",".417","178","-0.7","4.0","-1.7","0.5","3473"
"Matt Chapman","TOR","14","53","2","3","9","0","9.4%","26.4%",".188",".344",".271",".340",".458",".358",".307","137","0.0","2.0","0.4","0.5","16505"
"Nico Hoerner","CHC","14","45","1","3","5","2","2.2%","15.6%",".159",".306",".273",".289",".432",".319",".322","105","0.0","0.2","2.5","0.5","21479"
