"Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"PHI","146","10.3%","21.9%","0.47","1",".397",".544",".941",".232","5.1",".371","28","11.9",".415","170"
"STL","105","7.6%","22.9%","0.33","2",".352",".570",".922",".290","7.1",".302","19","7.8",".405","168"
"CHW","92","6.5%","19.6%","0.33","1",".337",".518",".855",".224","4.5",".328","15","4.9",".376","157"
"TEX","171","8.8%","20.5%","0.43","4",".345",".497",".842",".216","4.6",".319","27","8.3",".370","152"
"CHC","161","9.3%","21.1%","0.44","0",".335",".469",".804",".210","3.0",".298","23","6.1",".354","131"
"COL","138","8.0%","18.8%","0.42","2",".365",".388",".753",".107","5.0",".351","19","3.9",".344","111"
"TBR","147","8.2%","21.8%","0.38","1",".340",".421",".761",".143","5.1",".350","20","3.9",".341","135"
"SDP","174","11.5%","24.7%","0.47","3",".328",".425",".752",".190","4.4",".275","23","4.6",".341","125"
"ATL","144","9.7%","22.2%","0.44","0",".333",".426",".760",".163","1.5",".326","19","3.8",".340","119"
"CLE","155","11.6%","21.3%","0.55","2",".357",".354",".711",".100","4.1",".313","19","2.5",".328","120"
"SEA","124","16.1%","21.0%","0.77","1",".331",".356",".687",".168","4.3",".208","15","1.2",".319","118"
"LAA","200","10.0%","27.5%","0.36","4",".325",".373",".698",".119","5.5",".339","23","1.5",".316","111"
"DET","123","13.0%","26.0%","0.50","1",".341",".321",".662",".085","3.2",".329","13","0.0",".306","103"
"PIT","134","6.7%","20.1%","0.33","1",".313",".360",".673",".096","1.7",".323","14","0.0",".306","98"
"BOS","118","7.6%","22.9%","0.33","0",".302",".365",".667",".125","1.8",".308","12","-0.9",".300","94"
"NYM","141","12.8%","22.7%","0.56","2",".329",".310",".639",".095","4.6",".271","14","-0.7",".298","99"
"OAK","143","6.3%","27.3%","0.23","1",".280",".376",".656",".150","4.3",".289","14","-1.0",".296","101"
"NYY","139","9.4%","23.7%","0.39","0",".299",".347",".646",".132","1.1",".267","14","-1.2",".293","97"
"MIN","186","8.6%","24.7%","0.35","0",".280",".335",".615",".138","1.0",".235","17","-3.1",".283","88"
"SFG","119","10.1%","28.6%","0.35","1",".286",".324",".610",".124","4.1",".271","10","-2.2",".280","84"
"MIA","132","10.6%","28.0%","0.38","0",".303",".298",".601",".096","1.3",".276","11","-2.7",".279","83"
"BAL","211","10.0%","29.9%","0.33","1",".301",".283",".585",".064","2.0",".325","17","-5.1",".273","78"
"CIN","215","7.4%","27.4%","0.27","2",".279",".285",".564",".083","2.7",".267","16","-6.7",".263","64"
"HOU","131","9.2%","19.1%","0.48","0",".262",".299",".561",".120","0.7",".202","10","-4.3",".260","75"
"TOR","76","9.2%","30.3%","0.30","1",".289",".279",".569",".074","2.8",".311","5","-2.9",".254","64"
"ARI","144","8.3%","20.1%","0.41","0",".257",".287",".544",".109","0.7",".204","10","-5.7",".252","60"
"WSN","162","9.3%","16.0%","0.58","0",".289",".250",".539",".043","2.6",".250","11","-6.8",".251","58"
"MIL","151","9.3%","23.2%","0.40","1",".258",".276",".534",".097","1.6",".222","10","-6.5",".248","57"
"LAD","103","9.7%","26.2%","0.37","0",".272",".239",".511",".054","1.8",".262","6","-4.8",".243","58"
"KCR","50","2.0%","24.0%","0.08","0",".220",".271",".491",".083","0.2",".229","2","-3.0",".224","50"
