"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Michael Kopech","CHW","0","0","0","3","3","14.0","9.64","3.21","0.00",".200","83.3%","26.7%","0.0%","96.1","0.64","2.09","2.18","3.87","0.5","17282"
"Miles Mikolas","STL","1","0","0","3","3","15.1","7.63","1.76","0.00",".283","82.4%","41.3%","0.0%","92.8","1.76","2.59","2.13","3.75","0.5","9803"
"Andrew Heaney","LAD","1","0","0","2","2","10.1","13.94","2.61","0.00",".200","87.5%","45.0%","0.0%","91.7","0.00","1.99","1.10","1.99","0.5","15423"
"Alex Cobb","SFG","1","0","0","2","2","9.1","13.50","1.93","0.00",".417","50.0%","69.6%","0.0%","","4.82","1.04","0.68","1.38","0.5","6562"
"Tarik Skubal","DET","0","1","0","2","2","9.2","9.31","0.93","0.00",".355","50.0%","51.6%","0.0%","94.6","3.72","3.95","1.28","2.36","0.5","22267"
"Zach Eflin","PHI","0","1","0","3","3","13.2","7.90","1.98","0.00",".395","61.9%","39.5%","0.0%","93.6","5.27","2.87","2.16","3.50","0.5","13774"
"Max Scherzer","NYM","3","0","0","3","3","18.0","11.50","3.50","0.50",".216","76.9%","32.4%","5.6%","94.3","2.50","2.95","2.54","3.13","0.5","3137"
"Clayton Kershaw","LAD","2","0","0","2","2","12.0","15.00","0.00","1.50",".200","62.5%","40.9%","20.0%","90.7","3.00","1.39","1.87","0.80","0.4","2036"
"Logan Webb","SFG","1","1","0","3","3","17.2","5.60","2.04","0.00",".268","73.7%","58.9%","0.0%","93.4","2.55","3.42","2.47","3.44","0.4","17995"
"Dylan Cease","CHW","2","1","0","3","3","16.0","10.69","3.94","0.56",".293","75.3%","51.2%","8.3%","96.5","3.38","2.20","2.79","2.96","0.4","18525"
"Zac Gallen","ARI","0","0","0","2","2","9.0","9.00","2.00","0.00",".182","83.3%","40.9%","0.0%","94.1","1.00","1.26","1.70","3.31","0.4","19291"
"Dylan Bundy","MIN","2","0","0","2","2","10.1","6.97","0.87","0.00",".200","85.7%","46.7%","0.0%","89.5","0.87","1.50","1.78","3.17","0.4","12917"
"Bruce Zimmermann","BAL","1","0","0","3","3","15.0","9.60","3.00","0.60",".297","89.7%","38.9%","9.1%","90.9","1.20","3.08","2.77","2.87","0.4","20370"
"Steven Matz","STL","2","1","0","3","3","13.2","11.20","1.98","0.66",".450","68.0%","39.0%","14.3%","","5.27","4.68","2.16","1.88","0.4","13361"
"Carlos Carrasco","NYM","1","0","0","3","3","18.1","9.82","0.98","0.98",".167","97.8%","41.9%","10.5%","93.2","1.47","2.38","2.77","2.71","0.4","6632"
"Frankie Montas","OAK","2","1","0","3","3","17.1","8.83","1.56","1.04",".239","60.6%","50.0%","15.4%","96.2","3.63","2.65","3.10","2.58","0.4","14309"
"Chris Bassitt","NYM","2","1","0","3","3","18.0","10.00","2.00","1.00",".256","78.9%","45.5%","11.8%","92.3","3.00","2.79","3.09","2.89","0.4","12304"
"Brandon Woodruff","MIL","2","1","0","3","3","14.2","7.98","3.68","0.00",".244","61.1%","38.5%","0.0%","96.2","4.30","3.42","2.90","4.51","0.4","16162"
"Jordan Montgomery","NYY","0","1","0","3","3","14.1","6.91","3.14","0.00",".233","75.0%","42.9%","0.0%","92.2","2.51","2.57","2.76","4.31","0.3","16511"
"Chris Paddack","MIN","0","2","0","2","2","9.0","7.00","0.00","0.00",".355","58.3%","50.0%","0.0%","93.3","5.00","1.92","1.82","3.13","0.3","20099"
"Brad Keller","KCR","0","2","0","3","3","17.2","7.13","2.55","0.51",".208","68.5%","51.0%","6.7%","94.3","2.55","3.15","3.04","3.41","0.3","15734"
"John Means","BAL","0","0","0","2","2","8.0","7.88","2.25","0.00",".320","70.0%","40.0%","0.0%","92.3","3.38","3.57","2.04","3.51","0.3","16269"
"Shane McClanahan","TBR","0","1","0","3","3","15.0","14.40","3.00","1.20",".296","83.3%","62.1%","33.3%","97.6","2.40","2.40","2.77","1.56","0.3","21483"
