"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Bryce Elder","ATL","1","1","0","2","2","10.0","6.30","4.50","1.80",".233","82.0%","46.7%","20.0%","","4.50","7.35","6.04","4.75","-0.1","27779"
"Josh Rogers","WSN","1","2","0","3","3","14.0","4.50","3.21","1.93",".244","74.3%","39.6%","13.6%","90.5","5.14","4.68","5.90","5.17","-0.1","18510"
"Dakota Hudson","STL","0","1","0","2","2","7.0","7.71","2.57","2.57",".286","48.8%","52.2%","22.2%","92.6","7.71","4.87","6.32","4.29","-0.1","19206"
"Robbie Ray","SEA","2","1","0","3","3","19.1","6.05","3.26","1.86",".241","82.5%","39.7%","16.0%","92.9","4.19","4.59","5.62","4.63","-0.1","11486"
"Aaron Ashby","MIL","0","0","0","1","1","4.0","9.00","9.00","2.25",".111","71.4%","70.0%","33.3%","95.6","0.00","","8.04","5.77","-0.1","23550"
"Elieser Hernandez","MIA","1","1","0","2","2","10.2","9.28","3.38","2.53",".259","92.6%","36.7%","20.0%","91.5","4.22","2.77","6.04","4.22","-0.1","16933"
"Zach Davies","ARI","1","1","0","3","3","14.1","6.91","3.77","1.88",".244","67.6%","52.3%","21.4%","","5.02","3.87","5.48","4.04","-0.1","13183"
"Charlie Morton","ATL","1","2","0","3","3","15.2","8.04","4.02","1.72",".304","68.8%","32.7%","13.6%","95.1","6.32","5.85","5.46","4.81","-0.1","4676"
"Aaron Nola","PHI","1","2","0","3","3","14.2","9.82","2.45","2.45",".257","76.4%","63.2%","36.4%","92.7","5.52","3.35","5.83","3.27","-0.2","16149"
"Marco Gonzales","SEA","1","1","0","3","3","13.2","8.56","1.98","2.63",".279","48.6%","44.7%","23.5%","89.0","3.29","4.14","5.82","3.64","-0.2","15467"
"Bryse Wilson","PIT","0","0","0","3","3","11.1","4.76","6.35","1.59",".270","69.8%","42.1%","14.3%","92.6","6.35","7.00","6.39","5.72","-0.2","19990"
"Joan Adon","WSN","1","2","0","3","3","15.1","7.63","5.28","1.76",".289","73.4%","39.6%","14.3%","94.5","5.87","8.50","5.84","5.09","-0.2","22925"
"Jose Berrios","TOR","1","0","0","3","3","11.1","8.74","4.76","2.38",".378","81.7%","30.0%","15.8%","94.6","6.35","7.62","6.66","5.41","-0.2","14168"
"Mark Leiter","CHC","0","1","0","2","2","7.1","8.59","7.36","2.45",".300","44.6%","45.5%","28.6%","91.6","11.05","6.71","7.13","4.83","-0.2","15551"
"Nick Lodolo","CIN","0","2","0","2","2","9.0","12.00","5.00","3.00",".400","75.9%","57.1%","60.0%","94.5","8.00","3.74","7.04","3.43","-0.2","26378"
"Huascar Ynoa","ATL","0","2","0","2","2","6.2","10.80","8.10","2.70",".429","49.3%","52.2%","33.3%","96.7","13.50","10.25","7.24","4.52","-0.2","20468"
"Gerrit Cole","NYY","0","0","0","3","3","11.1","9.53","5.56","2.38",".222","70.3%","33.3%","23.1%","97.9","6.35","5.13","6.48","4.54","-0.2","13125"
"Cole Irvin","OAK","1","1","0","3","3","16.2","5.40","1.62","2.16",".264","85.4%","43.9%","21.1%","91.8","4.32","7.13","5.68","4.05","-0.2","19244"
"Tommy Romero","TBR","0","0","0","1","1","1.2","5.40","27.00","5.40",".250","71.4%","40.0%","50.0%","90.9","16.20","","18.64","12.41","-0.2","23465"
"Caleb Smith","ARI","0","1","0","1","1","1.0","18.00","27.00","18.00",".000","0.0%","50.0%","100.0%","91.1","36.00","","34.04","10.66","-0.3","14875"
"Spencer Howard","TEX","0","0","0","1","1","3.0","15.00","0.00","12.00",".333","0.0%","40.0%","66.7%","95.7","18.00","8.15","17.04","2.33","-0.3","23252"
"Nick Pivetta","BOS","0","3","0","3","3","11.2","7.71","6.94","3.09",".343","61.9%","25.6%","26.7%","93.4","10.03","15.72","8.10","5.32","-0.3","15454"
"Adam Oller","OAK","0","2","0","3","3","9.2","7.45","7.45","3.72",".344","57.5%","36.1%","26.7%","94.0","11.17","9.94","9.25","5.90","-0.5","20132"
"Nick Martinez","SDP","0","2","0","3","3","14.2","7.98","6.14","3.07",".289","100.0%","41.9%","27.8%","92.8","4.30","6.96","7.95","5.12","-0.5","12730"
