"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"game_away_home_spread","SF@CHI","","SF","CHI","2022-09-11T17:00:00Z","6.5","away","-110","-0.01580952380952383","36","65","home","-110","-0.03180952380952384","64","35"
"game_away_home_win","SF@CHI","","SF","CHI","2022-09-11T17:00:00Z","","away","-299","-0.01487468671679204","42","65","home","241","-0.027668621700879692","58","35"
"game_point_total","SF@CHI","","SF","CHI","2022-09-11T17:00:00Z","40.5","over","-110","0.015190476190476199","19","60","under","-110","-0.06280952380952382","81","40"
"recv_yd","B. Pringle","WR","CHI","SF","2022-09-11T17:00:00Z","21.5","over","-115","-0.05194801574768254","null","null","under","-117","-0.02209597529341234","null","null"
"recv_rec","C. Kmet","TE","CHI","SF","2022-09-11T17:00:00Z","3.5","over","-126","-0.16862212389380538","null","null","under","-105","0.09890487804878045","null","null"
"recv_yd","C. Kmet","TE","CHI","SF","2022-09-11T17:00:00Z","32.5","over","-113","-0.07718725640753771","null","null","under","-118","0.0054125459883968","null","null"
"recv_rec","D. Mooney","WR","CHI","SF","2022-09-11T17:00:00Z","4.5","over","-149","-0.21139357429718875","null","null","under","111","0.1390663507109005","null","null"
"recv_yd","D. Mooney","WR","CHI","SF","2022-09-11T17:00:00Z","59.5","over","-113","-0.12377346605011558","null","null","under","-118","0.05195051118471483","null","null"
"recv_rec","D. Montgomery","RB","CHI","SF","2022-09-11T17:00:00Z","2.5","over","105","-0.1312520841","null","null","under","-141","0.05837745468921174","null","null"
"recv_yd","D. Montgomery","RB","CHI","SF","2022-09-11T17:00:00Z","15.5","over","-117","-0.020789304673177633","null","null","under","-115","-0.05319762334329564","null","null"
"rush_att","D. Montgomery","RB","CHI","SF","2022-09-11T17:00:00Z","14.5","over","-108","-0.028326707052884537","null","null","under","-124","-0.04446096302196434","null","null"
"rush_recv_yd","D. Montgomery","RB","CHI","SF","2022-09-11T17:00:00Z","75.5","over","-108","-0.06881879560124998","null","null","under","-115","0.014680433788153424","null","null"
