,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
North Florida,2022-01-20 12:00:00,1500,300.00,22.5,18.18,138.0,18.18,6.0,57.8,80.3
Florida State,2022-01-20 12:00:00,-3500,0.57,-22.5,18.18,138.0,18.18,94.0,80.3,57.8
Georgetown,2022-01-20 17:00:00,500,100.00,11.5,17.39,145.0,19.05,16.0,66.8,78.3
Providence,2022-01-20 17:00:00,-720,2.78,-11.5,19.05,145.0,17.39,84.0,78.3,66.8
Winthrop,2022-01-20 18:00:00,-170,11.76,-3.5,18.18,137.0,18.18,61.2,70.3,66.8
Presbyterian,2022-01-20 18:00:00,150,30.00,3.5,18.18,137.0,18.18,38.8,66.8,70.3
Appalachian State,2022-01-20 19:00:00,165,33.00,5.0,17.39,135.0,18.18,36.3,65.0,70.0
Georgia State,2022-01-20 19:00:00,-195,10.26,-5.0,19.05,135.0,18.18,63.7,70.0,65.0
Coastal Carolina,2022-01-20 19:00:00,100,20.00,1.0,19.05,135.0,20.00,47.8,67.0,68.0
Georgia Southern,2022-01-20 19:00:00,-120,16.67,-1.0,17.39,135.0,16.67,52.2,68.0,67.0
College of Charleston,2022-01-20 19:00:00,270,54.00,8.0,16.67,150.0,18.18,25.8,71.0,79.0
Towson,2022-01-20 19:00:00,-350,5.71,-8.0,20.00,150.0,18.18,74.2,79.0,71.0
UNC-Wilmington,2022-01-20 19:00:00,240,48.00,7.0,18.18,146.0,20.00,28.1,69.5,76.5
James Madison,2022-01-20 19:00:00,-305,6.56,-7.0,18.18,146.0,16.67,71.9,76.5,69.5
Elon,2022-01-20 19:00:00,190,38.00,6.0,17.39,140.0,19.05,33.0,67.0,73.0
Drexel,2022-01-20 19:00:00,-235,8.51,-6.0,19.05,140.0,17.39,67.0,73.0,67.0
William & Mary,2022-01-20 19:00:00,1000,200.00,16.5,18.18,145.0,20.00,8.7,64.3,80.8
Delaware,2022-01-20 19:00:00,-2000,1.00,-16.5,18.18,145.0,16.67,91.3,80.8,64.3
UNC-Charlotte,2022-01-20 19:00:00,475,95.00,11.0,20.00,125.5,18.18,16.6,57.3,68.3
North Texas,2022-01-20 19:00:00,-675,2.96,-11.0,16.67,125.5,18.18,83.4,68.3,57.3
South Dakota,2022-01-20 19:00:00,,,,,,,,,
Western Illinois,2022-01-20 19:00:00,,,,,,,,,
Purdue,2022-01-20 19:00:00,-160,12.50,-3.5,18.18,144.0,19.05,59.6,73.8,70.3
Indiana,2022-01-20 19:00:00,140,28.00,3.5,18.18,144.0,17.39,40.4,70.3,73.8
Western Kentucky,2022-01-20 19:00:00,-125,16.00,-1.5,17.39,142.5,18.18,53.2,72.0,70.5
Florida Atlantic,2022-01-20 19:00:00,105,21.00,1.5,19.05,142.5,18.18,46.8,70.5,72.0
Akron,2022-01-20 19:00:00,110,22.00,2.0,18.18,149.5,18.18,45.7,73.8,75.8
Bowling Green,2022-01-20 19:00:00,-130,15.38,-2.0,18.18,149.5,18.18,54.3,75.8,73.8
Belmont,2022-01-20 19:00:00,-235,8.51,-5.5,18.18,141.0,18.18,67.0,73.3,67.8
Morehead State,2022-01-20 19:00:00,190,38.00,5.5,18.18,141.0,18.18,33.0,67.8,73.3
Austin Peay,2022-01-20 19:00:00,145,29.00,3.5,18.18,144.5,18.18,39.6,70.5,74.0
Tennessee-Martin,2022-01-20 19:00:00,-165,12.12,-3.5,18.18,144.5,18.18,60.4,74.0,70.5
Chattanooga,2022-01-20 19:00:00,-165,12.12,-3.5,18.18,124.0,18.18,60.4,63.8,60.3
UNC-Greensboro,2022-01-20 19:00:00,145,29.00,3.5,18.18,124.0,18.18,39.6,60.3,63.8
Samford,2022-01-20 19:00:00,160,32.00,4.5,18.18,158.0,16.67,37.0,76.8,81.3
VMI,2022-01-20 19:00:00,-190,10.53,-4.5,18.18,158.0,20.00,63.0,81.3,76.8
Marshall,2022-01-20 19:00:00,-135,14.81,-2.5,18.18,148.0,18.18,55.3,75.3,72.8
Florida International,2022-01-20 19:00:00,115,23.00,2.5,18.18,148.0,18.18,44.7,72.8,75.3
Wright State,2022-01-20 19:00:00,-1250,1.60,-14.5,18.18,136.0,20.00,88.7,75.3,60.8
IUPUI,2022-01-20 19:00:00,750,150.00,14.5,18.18,136.0,16.67,11.3,60.8,75.3
SIU-Edwardsville,2022-01-20 19:00:00,,,,,,,,,
Tennessee Tech,2022-01-20 19:00:00,,,,,,,,,
SMU,2022-01-20 19:00:00,205,41.00,6.0,18.18,151.5,18.18,31.3,72.8,78.8
Memphis,2022-01-20 19:00:00,-255,7.84,-6.0,18.18,151.5,18.18,68.7,78.8,72.8
Saint Louis,2022-01-20 19:00:00,-155,12.90,-3.0,17.39,151.5,18.18,58.8,77.3,74.3
Massachusetts,2022-01-20 19:00:00,135,27.00,3.0,19.05,151.5,18.18,41.2,74.3,77.3
Troy,2022-01-20 19:30:00,-125,16.00,-1.5,18.18,144.5,18.18,53.2,73.0,71.5
Louisiana-Monroe,2022-01-20 19:30:00,105,21.00,1.5,18.18,144.5,18.18,46.8,71.5,73.0
Texas State,2022-01-20 19:30:00,-280,7.14,-6.5,17.39,137.5,17.39,70.5,72.0,65.5
Arkansas-Little Rock,2022-01-20 19:30:00,225,45.00,6.5,19.05,137.5,19.05,29.5,65.5,72.0
Monmouth,2022-01-20 19:30:00,-135,14.81,-2.0,16.67,137.5,20.00,55.3,69.8,67.8
Fairfield,2022-01-20 19:30:00,115,23.00,2.0,20.00,137.5,16.67,44.7,67.8,69.8
New Mexico State,2022-01-20 19:30:00,-195,10.26,-4.5,18.18,136.0,18.18,63.7,70.3,65.8
Sam Houston,2022-01-20 19:30:00,165,33.00,4.5,18.18,136.0,18.18,36.3,65.8,70.3
USC,2022-01-20 19:30:00,-130,15.38,-2.0,19.05,137.0,18.18,54.3,69.5,67.5
Colorado,2022-01-20 19:30:00,110,22.00,2.0,17.39,137.0,18.18,45.7,67.5,69.5
