player_name,sample_size,school,dg_rank,dg_change,wagr_rank,wagr_change,dg_index
"Surratt, Caleb",108,"—",1,0,19,0,2.01625298528964
"Aberg, Ludvig",150,"texas tech",2,0,2,0,2.01290270605241
"Sargent, Gordon",144,"—",3,0,4,0,1.99041761430715
"Bennett, Sam",150,"texas a&m",4,0,3,0,1.6281302338191297
"Ford, David",139,"—",5,0,14,0,1.5797657709981299
"Vick, Travis",150,"texas",6,0,15,0,1.54195591407781
"Thorbjornsen, Michael",150,"—",7,0,5,0,1.46659510169675
"Menante, Dylan",150,"pepperdine",8,1,6,0,1.43211433931852
"James, Benjamin",130,"—",9,-1,43,0,1.4246217844978701
"Nakajima, Keita",150,"—",10,0,1,0,1.37847167637684
"Gabrelcik, Nicholas",140,"—",11,0,11,0,1.3566687927151297
"Brennan, Michael",150,"—",12,0,13,0,1.30193304808891
"Sherwood, Cole",150,"—",13,0,22,0,1.1982677359757499
"Chassart, Adrien Dumont de",150,"illinois",14,0,17,-1,1.1556371839935502
"Castillo, Ricky",150,"florida",15,0,20,-2,1.14202762303976
"Vilips, Karl",150,"—",16,0,52,2,1.0406750956277901
"Hagestad, Stewart",147,"southern california",17,0,10,0,1.01223516643703
"Davenport, Reid",150,"vanderbilt",18,0,37,0,1.00015072718599
"Moldovan, Maxwell",150,"—",19,0,30,1,0.97432011180305
"Stark, Brian",150,"oklahoma state",20,0,24,1,0.96724575982406
"Lamprecht, Christo",150,"—",21,0,46,0,0.957470467369502
"Mouw, William",150,"pepperdine",22,0,28,1,0.9419349118613779
"Fernandez de oliveira, Mateo",150,"tcu",23,1,29,1,0.9146111787433019
"Marshall Butler, John",150,"—",24,-1,44,1,0.914356771917263
"Maas, Christiaan",150,"—",25,0,32,-4,0.8860054993328922
"Greaser, Austin",150,"north carolina",26,1,8,0,0.874071074352155
"Beck, Evan",34,"wake forest",27,-1,60,1,0.8671171937096921
"Choi, Sam",150,"new mexico",28,0,26,0,0.858616176256015
"Zuska, Jiri",150,"louisville",29,0,50,2,0.8286193394753509
"Lewis, Bryce",150,"tennessee",30,2,31,2,0.8026462593037241
"Townsend, Hugo",150,"boise state",31,0,45,-1,0.800844223961049
"Lyerly, Nicholas",150,"uncg",32,-2,53,2,0.800474608581147
"TK Chantananuwat, Ratchanon",82,"—",33,1,12,0,0.752896687459672
"Forrester, Bartley",128,"georgia tech",34,1,76,2,0.7317075207863242
"Jang, Yubin",33,"—",35,2,232,0,0.686640511971839
"Lee, Eric",32,"—",36,-3,97,42,0.6765833688008249
"Lin, Yuxin",150,"southern california",37,-1,47,1,0.6601272626460141
"Hitchner, Derek",150,"pepperdine",38,1,58,1,0.609644495235056
"Vaillant, Tom",150,"—",39,-1,81,1,0.602797965117441
"Jackson, Palmer",150,"notre dame",40,0,38,0,0.6008670280326529
"Summerhays, Preston",150,"—",41,0,65,1,0.586976888428951
"Bairstow, Sam",150,"—",42,1,7,0,0.557679375835465
"Sale, Julien",150,"arkansas state",43,-1,70,0,0.554721675559041
"Biondi, Fred",150,"florida",44,1,21,0,0.5194093284844811
"Keefer, John",150,"baylor",45,1,64,1,0.505177840902899
"Welch, Patrick",150,"oklahoma",46,3,48,2,0.493029929746535
"Furukawa, Ryunosuke",29,"—",47,3,116,-2,0.483925967965725
"Barber, Garrett",150,"lsu",48,-1,77,-1,0.481255883968177
"Ballester, Jose Luis",150,"—",49,3,55,-8,0.464161004618257
"Ford, Maxwell",150,"—",50,4,74,0,0.455930392960495
"Chatfield, Davis",150,"notre dame",51,2,88,0,0.45587345637286
"McKinney, Connor",150,"—",52,3,35,0,0.441402726378239
"Potter, Luke",112,"—",53,6,99,5,0.4282937030410329
"Brown, Barclay",150,"stanford",54,2,36,0,0.42459233341639707
"Wenyi, Ding",90,"—",55,-4,16,4,0.410003451734211
"Goodman, Andrew",143,"—",56,2,104,-2,0.40913735777522
"Semikawa, Taiga",95,"—",57,0,18,-1,0.40889289141284996
"Carr, Ben",150,"georgia southern",58,3,71,0,0.388083704922848
"Gough, John",150,"charlotte",59,-11,25,-2,0.374715973492971
"Lundell, Carson",150,"brigham young",60,2,78,-1,0.36632559713223295
"Burnett, Ryan",150,"north carolina",61,2,72,0,0.36232196711236797
"Hopewell, Hayden",150,"—",62,3,39,0,0.35990808177861794
"Roberts, Brett",141,"—",63,1,86,0,0.35257746304941706
"Sienkiewicz, Chase",150,"arizona",64,5,75,0,0.32453967649080395
"Jonsson, Tobias",66,"—",65,2,141,-3,0.32426275227685
"Suzuki, Kosuke",77,"—",66,2,23,1,0.32326747184454196
"Steelman, Ross",150,"missouri",67,4,27,0,0.29367284890277195
"Clanton, Luke",150,"—",68,-2,92,8,0.289454479139462
"Neergaard-Petersen, Rasmus",150,"oklahoma state",69,3,33,1,0.287314039847707
"Brown, Hamish",150,"—",70,12,130,3,0.27824279108757105
"Vogelsong, Alexander",150,"auburn",71,2,162,2,0.264779542286675
"Banke, Christian",150,"san diego state",72,5,107,-4,0.255983364835014
"Howe, Connor",150,"georgia tech",73,1,73,0,0.255313285492058
"Yaun, Jonathan",150,"liberty",74,4,133,-5,0.24584457975903698
"Claycomb, Canon",150,"alabama",75,1,125,-2,0.245613870602291
"Rank, Garrett",150,"—",76,-1,136,-7,0.24481503280009803
"Skogen, Bard Bjornevik",150,"—",77,2,51,2,0.23781538568605703
"Williams, Mason",150,"georgia southern",78,2,128,-1,0.23638990515838698
"Chinn, Kelly",142,"—",79,2,82,-1,0.209943299309393
"Baker, Brantley",29,"—",80,5,209,1,0.206451674407239
"Moll, William",150,"vanderbilt",81,3,91,-2,0.205540512923006
"Trolio, Cohen",107,"—",82,1,109,-4,0.200010857392601
"Bo, Jin",150,"—",83,7,34,-2,0.168136956597156
"Siebers, Ian",138,"—",84,4,80,-1,0.16686187302750302
"Scott, Sandy",150,"texas tech",85,4,265,-8,0.16579111121396803
"Steinlechner, Maximilian",150,"nc state",86,1,49,0,0.16356060532822
"Ideriha, Taichiro",69,"—",87,4,124,-2,0.156804667645825
"Bacha, Carson",122,"—",88,4,156,1,0.135083742545
"Pounds, Aaron",32,"—",89,-29,321,-49,0.129391670400973
"Bryant, Davis",150,"colorado state",90,4,197,4,0.1279592244925
"Kjettrup, Frederik",150,"—",91,2,40,0,0.12371907253245501
"Okada, Kohei",37,"—",92,6,117,-8,0.0843409494292815
"Bling, Devon",150,"ucla",93,3,57,1,0.0798324745895429
"Albers, Anton",150,"little rock",94,5,63,1,0.0772093273395216
"Anderson, Cole",150,"florida state",95,2,114,-3,0.0753828117916182
"Jakubcik, Filip",68,"—",96,-1,147,3,0.0725569090186768
"Kobori, Kazuma",150,"—",97,8,61,2,0.0408332996756888
"Higgins, Robbie",66,"—",98,3,120,-2,0.0408267200484476
"Davies, Archie",150,"east tennessee st.",99,1,59,1,0.0374945787235275
"Perico, Julian",150,"arkansas",100,2,149,-1,0.035826253622941
"Rodrigues, Daniel",114,"—",101,3,112,-5,0.0328595561718803
