datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Svensson, Adam","Adam Svensson",150,23590146,6700,27.893,1:17 pm,0,49.1,1.4,0,50.6,-0.19,100,2.20984775263565,
"Huh, John","John Huh",150,23590147,6700,27.226,7:26 am,1,48.2,1.4,0,49.5,-0.26,100,2.81754275804243,
"Cink, Stewart","Stewart Cink",150,23590153,6600,28.847,1:39 pm,0,51.9,1.8,0,53.7,0.07,100,2.32185881868078,
"Putnam, Andrew","Andrew Putnam",150,23590154,6600,28.239,12:00 pm,0,51.1,1.7,0,52.8,-0.01,100,2.36924716847071,
"Vegas, Jhonattan","Jhonattan Vegas",150,23590151,6600,28.674,8:32 am,1,51.9,1.9,0,53.8,0.08,100,1.96642647232409,
"Palmer, Ryan","Ryan Palmer",150,23590155,6600,28.225,8:43 am,1,49.9,1.5,0,51.4,-0.1,100,2.10071318632779,
"Tarren, Callum","Callum Tarren",150,23590152,6600,28.113,8:43 am,1,50.3,1.6,0,51.9,-0.07,100,3.36781030522235,
"Jaeger, Stephan","Stephan Jaeger",150,23590150,6600,28.597,1:17 pm,0,52,1.8,0,53.7,0.07,100,3.43440256277209,
"Knox, Russell","Russell Knox",150,23590157,6500,27.028,12:00 pm,0,48.2,1.3,0,49.6,-0.18,100,2.27341924507914,
"List, Luke","Luke List",150,23590156,6500,28.874,1:06 pm,0,52.1,1.9,0,54,0.18,100,2.95763120609546,
"Laird, Martin","Martin Laird",150,23590161,6500,27.974,8:32 am,1,50.6,1.7,0,52.2,-0.02,100,1.92473316292696,
"Lipsky, David","David Lipsky",150,23590160,6500,28.753,12:00 pm,0,52.1,1.8,0,53.9,0.16,100,1.62732377450765,
"Mullinax, Trey","Trey Mullinax",150,23590159,6500,26.759,7:15 am,1,46,1.1,0,47.1,-0.33,100,3.26857459066761,
"Rodgers, Patrick","Patrick Rodgers",150,23590162,6500,27.980,12:11 pm,0,50.8,1.7,0,52.5,0,100,1.64311989110429,
"NeSmith, Matthew","Matthew NeSmith",150,23590158,6500,29.093,7:15 am,1,52.7,1.9,0,54.7,0.25,100,2.49456487743213,
"Dahmen, Joel","Joel Dahmen",150,23590165,6400,27.852,12:11 pm,0,49.2,1.5,0,50.7,-0.07,100,1.88149988992256,
"Pan, C.T.","C.T. Pan",150,23590164,6400,27.311,1:17 pm,0,48.7,1.4,0,50.1,-0.11,100,1.5008477817123,
"Hadley, Chesson","Chesson Hadley",150,23590168,6400,25.750,1:28 pm,0,43.9,0.9,0,44.9,-0.43,100,2.27640280483862,
"Spaun, J.J.","J.J. Spaun",150,23590166,6400,28.414,8:21 am,1,50.6,1.7,0,52.3,0.05,100,1.69535428192602,
"Kitayama, Kurt","Kurt Kitayama",150,23590163,6400,28.105,7:59 am,1,49.9,1.5,0,51.4,-0.03,100,3.434789588829,
"Hodges, Lee","Lee Hodges",150,23590167,6400,27.264,8:32 am,1,48.1,1.3,0,49.4,-0.15,100,1.39820189702383,
"Fowler, Rickie","Rickie Fowler",150,23590169,6400,27.614,8:32 am,1,48.6,1.4,0,50.1,-0.11,100,1.94560267379195,
