"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","31","32","0.26","60","0.68","51.8","-28","Micah McFadden","13","8","0.08","100","","74.7"
"Kyle Pitts","20","15","0.32","67","2.2","79.4","-23","Quay Walker","27","15","0.24","75","1.33","92.1"
"Mark Andrews","","","","","","","-24","Dax Hill","32","9","0.05","33","0.19","75.3"
"Dawson Knox","39","10","0.14","75","0.64","44.4","-1","Robert Spillane","35","9","0.14","100","0.54","71.4"
"Hayden Hurst","27","26","0.56","71","1.52","70.8","-6","Tyrann Mathieu","39","13","0.17","40","1.21","61.8"
"Cole Kmet","43","16","0.22","71","1.02","55.5","-44","Lavonte David","44","18","0.3","100","1.2","67.4"
"Irv Smith Jr.","24","21","0.2","60","0.71","41.9","-19","Patrick Queen","45","20","0.27","67","1.33","72.3"
"David Njoku","24","12","0.18","67","1","63.5","-8","Cole Holcomb","25","8","0.13","50","0.88","50.3"
"Jake Ferguson","14","43","0.22","33","0.79","69","12","C.J. Mosley","46","7","0.11","100","0.46","65.5"
"Adam Trautman","23","22","0.37","100","1.48","56.5","-29","Jamin Davis","16","12","0.18","100","0.56","73.8"
"Sam LaPorta","26","19","0.34","100","1.5","67.8","21","Jordyn Brooks","15","13","0.27","100","1.4","55.4"
"Luke Musgrave","24","17","0.33","75","2.08","62.9","9","Nate Landman","","","","","",""
"Dalton Schultz","49","8","0.05","50","0.08","46.7","-45","Zaire Franklin","33","18","0.23","83","0.82","92.3"
"Andrew Ogletree","9","22","0.33","50","2.22","67.9","-7","Christian Harris","18","11","0.17","100","0.56","43.4"
"Evan Engram","31","16","0.32","100","1.58","68.4","19","Willie Gay","13","23","0.48","67","3.23","50.3"
"Travis Kelce","","","","","","","18","Foyesade Oluokun","40","12","0.13","80","0.32","76"
"Tyler Higbee","31","10","0.25","100","1.58","70.7","9","Fred Warner","47","17","0.27","75","1.45","64.4"
"Gerald Everett","23","13","0.18","67","0.91","61.9","25","Azeez Al-Shaair","36","6","0.09","100","0.33","53.2"
"Michael Mayer","9","","","","","42.6","3","Terrel Bernard","24","8","0.25","100","1.62","44.8"
"Durham Smythe","42","14","0.18","50","1.05","63.2","-13","Kyle Dugger","34","6","0.11","100","0.5","61.2"
"T.J. Hockenson","36","22","0.32","100","0.97","74","20","Zach Cunningham","50","20","0.24","80","0.78","60.1"
"Hunter Henry","42","14","0.4","83","1.33","72.2","42","Jerome Baker","39","15","0.31","83","1.77","38.9"
"Juwan Johnson","31","16","0.21","60","1.16","61.4","2","Frankie Luvu","14","57","1.36","88","4.36","61"
"Darren Waller","23","22","0.29","60","1.57","64","12","Krys Barnes","8","12","0.25","100","1.25","54.1"
"Tyler Conklin","19","5","0.06","100","0.11","66.5","-13","Leighton Vander Esch","25","","","","","70.5"
"Dallas Goedert","35","3","","","","48.9","-13","Jordan Hicks","30","10","0.14","67","0.73","69.7"
"Pat Freiermuth","26","15","0.28","25","0.12","52.9","-39","Grant Delpit","33","21","0.16","57","0.42","91.6"
"Noah Fant","14","","","","","55.1","-9","Alex Anzalone","38","11","0.13","75","0.47","62.7"
"George Kittle","26","23","0.19","50","0.73","57.9","36","Christian Rozeboom","18","22","0.39","100","1.72","35"
"Cade Otton","29","10","0.13","67","0.66","42","-14","Tremaine Edmunds","28","14","0.34","100","1.96","51.3"
"Chigoziem Okonkwo","30","7","","","","47.4","-16","Amen Ogbongbemiga","","","","","",""
"Logan Thomas","31","23","0.27","57","1.39","55.1","-42","Josey Jewell","24","","","","","77.9"
