player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kirk Cousins,7102,QB,MIN,2,10.16,0,93,18,79.7,79,82,9.0,2.65,0,2,2.3,70.7,58,30,7.9,87,93.5,5,33,28.2,76.9,81.2,76.2,56.5,2,1,91,13.3,115.2,4.6,4,1,0,1,6,2,2.2,687,8.4,77.4,62,63,9.0,2.45,0,2,3.0,69.8,44,22,8.3,65,69.9,4,22,25.8,70.8,80.4,69.9,59.1,1,1,69,9.1,110.2,3.1,2,0,0,0,4,2,2.9,534,8.5,91.3,23,25,5.6,2.99,0,0,0.0,80.0,20,8,4.8,28,30.1,1,12,77.0,83.0,75.9,82.7,58.3,1,0,28,25.0,122.3,7.1,2,1,0,1,2,0,0.0,174,7.0,0,100.0,6,6,-3.8,2.12,0,0,0.0,100.0,6,0,0.0,6,6.5,0,1,68.9,66.0,70.6,65.4,,0,0,6,,81.3,0.0,0,0,0,0,0,0,0.0,21,3.5,-1.52
Jalen Hurts,40291,QB,PHI,2,7.16,0,69,24,80.9,47,52,10.6,3.36,0,2,3.7,69.2,36,27,5.3,65,94.2,2,14,28.1,66.1,81.9,75.0,44.6,1,1,69,25.9,93.4,10.8,7,6,0,4,2,3,4.3,360,6.9,82.1,39,43,8.8,3.04,0,2,4.4,69.8,30,18,6.3,50,72.5,2,10,26.5,62.8,81.4,71.4,45.7,1,1,54,16.7,88.4,6.0,3,4,0,3,2,3,5.6,231,5.4,83.3,12,13,12.2,3.82,0,0,0.0,76.9,10,9,0.0,19,27.5,0,4,75.1,72.9,74.7,75.3,54.5,0,0,20,44.4,108.5,21.1,4,2,0,1,0,0,0.0,132,10.2,0,100.0,4,4,-2.3,1.5,0,0,0.0,100.0,4,0,0.0,4,5.8,0,0,68.0,65.3,69.9,64.7,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,3,0.8,4.78
Mac Jones,60323,QB,NE,1,26.63,0,58,19,65.0,40,41,11.9,2.66,0,4,9.5,56.1,23,18,11.5,45,77.6,3,18,80.0,82.0,0.0,80.6,69.0,1,1,47,11.1,89.8,4.4,2,2,0,0,3,2,4.3,263,6.4,68.9,45,46,9.0,2.46,0,4,8.5,60.9,28,17,9.7,50,86.2,3,16,80.6,80.5,0.0,79.1,69.0,1,1,52,11.8,89.1,4.0,2,2,0,0,3,2,3.8,261,5.7,100.0,7,8,3.1,1.91,1,0,0.0,87.5,7,1,0.0,8,13.8,0,3,70.3,57.1,71.5,57.2,,0,0,8,0.0,95.3,0.0,0,0,0,0,0,1,12.5,55,6.9,0,100.0,12,13,-3.8,1.41,1,0,0.0,92.3,12,0,0.0,13,22.4,0,1,72.8,54.7,73.2,54.8,,0,0,13,,83.7,0.0,0,0,0,0,0,1,7.7,53,4.1,1.21
C.J. Stroud,129759,QB,HST,1,-16.67,0,54,13,70.3,37,38,7.5,2.91,0,0,0.0,60.5,23,24,11.5,47,87.0,3,14,33.2,54.2,79.3,54.6,56.6,0,0,52,20.8,75.3,10.6,5,4,1,0,0,2,3.8,208,5.5,77.1,35,36,5.6,2.5,0,0,0.0,66.7,24,16,11.1,41,75.9,3,13,29.5,65.2,78.9,63.2,66.0,0,0,45,12.5,82.6,4.9,2,2,1,0,0,1,2.2,216,6.0,62.5,8,8,7.6,3.33,0,0,0.0,50.0,4,9,20.0,13,24.1,1,1,73.2,31.7,73.5,36.8,50.0,0,0,14,33.3,57.3,23.1,3,2,0,0,0,1,7.1,26,3.3,0,100.0,6,6,-3.3,1.27,0,0,0.0,83.3,5,1,16.7,7,13.0,1,0,69.6,63.2,71.1,62.8,,0,0,7,0.0,90.3,0.0,0,0,0,0,0,0,0.0,34,5.7,-2.75
Kenny Pickett,60515,QB,PIT,1,34.88,0,52,25,70.7,41,43,8.3,2.94,0,0,0.0,65.1,28,23,3.4,49,94.2,1,9,80.5,52.0,78.7,52.7,58.3,1,2,51,21.7,66.4,10.2,5,1,1,0,1,2,3.9,224,5.2,70.7,41,43,8.2,2.87,0,0,0.0,65.1,28,22,3.4,49,94.2,1,9,80.5,52.0,78.7,52.7,58.3,1,2,51,22.7,66.8,10.2,5,1,1,0,1,2,3.9,228,5.3,100.0,3,3,-3.3,2.6,0,0,0.0,100.0,3,2,0.0,3,5.8,0,0,65.5,63.8,68.2,63.4,,0,0,3,0.0,79.2,0.0,0,0,0,0,0,0,0.0,4,1.3,0,100.0,3,3,-4.0,1.33,0,0,0.0,100.0,3,1,0.0,3,5.8,0,0,65.5,63.7,68.2,63.3,,0,0,3,0.0,79.2,0.0,0,0,0,0,0,0,0.0,8,2.7,-3.97
Josh Allen,46601,QB,BUF,1,33.33,0,50,4,74.3,35,37,9.5,3.01,0,2,5.3,67.6,25,21,3.8,46,92.0,1,12,28.1,48.4,79.0,51.2,49.0,0,3,47,23.8,58.7,10.9,5,4,1,1,1,4,8.5,223,6.0,73.5,34,36,8.8,2.9,0,1,2.7,66.7,24,19,4.0,43,86.0,1,11,27.5,43.7,78.9,46.3,49.0,0,3,44,15.8,53.6,7.0,3,4,1,1,1,4,9.1,185,5.1,100.0,5,5,4.4,2.81,0,1,20.0,100.0,5,2,0.0,7,14.0,0,2,69.6,79.1,71.1,77.5,,0,0,7,100.0,109.2,28.6,2,0,0,0,0,0,0.0,51,10.2,0,100.0,4,4,-3.3,1.53,0,0,0.0,100.0,4,0,0.0,4,8.0,0,1,66.9,64.6,69.2,64.1,,0,0,4,,80.2,0.0,0,0,0,0,0,0,0.0,13,3.3,5.06
Justin Fields,82118,QB,CHI,1,39.39,0,49,6,75.9,29,32,4.7,3.39,1,1,3.0,65.6,21,26,4.5,43,87.8,1,13,29.7,61.0,79.2,47.8,85.1,1,1,45,15.4,79.9,9.3,4,7,0,1,1,2,4.4,198,6.2,76.7,30,33,3.3,3.13,1,1,3.0,60.6,20,19,13.0,41,83.7,3,12,29.2,51.7,79.0,42.8,75.8,1,1,42,10.5,71.5,4.9,2,5,0,1,1,2,4.8,170,5.2,100.0,4,4,6.3,3.46,0,0,0.0,100.0,4,7,0.0,8,16.3,0,2,71.4,83.4,72.3,73.8,74.8,0,0,10,28.6,114.6,25.0,2,2,0,0,0,0,0.0,46,11.5,0,100.0,5,5,-2.2,1.73,0,0,0.0,60.0,3,0,40.0,6,12.2,2,1,69.6,59.7,71.1,62.4,58.3,0,0,7,,67.1,0.0,0,0,0,0,0,0,0.0,18,3.6,6.35
Tua Tagovailoa,60326,QB,MIA,1,6.06,0,46,17,70.0,40,43,13.1,2.55,2,6,13.6,60.5,26,14,7.1,44,95.7,2,24,30.0,92.2,79.0,92.9,44.5,0,1,45,0.0,111.3,0.0,0,1,0,1,3,1,2.2,467,10.9,71.0,31,33,11.5,2.32,2,4,12.1,60.6,20,12,9.1,33,71.7,2,16,27.6,90.2,78.3,92.0,36.5,0,1,33,0.0,101.8,0.0,0,0,0,0,2,1,3.0,330,10.0,72.7,11,12,14.6,2.95,0,2,15.4,66.7,8,2,0.0,13,28.3,0,8,73.2,88.8,73.5,84.1,64.4,0,0,14,0.0,132.6,0.0,0,1,0,1,1,0,0.0,136,11.3,0,100.0,2,2,-3.0,1.45,0,0,0.0,100.0,2,0,0.0,2,4.3,0,0,63.6,62.6,66.9,62.2,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-0.5,1.33
Anthony Richardson,124393,QB,IND,1,-1.75,0,45,14,72.4,29,33,6.6,3.03,2,0,0.0,60.6,20,13,4.8,41,91.1,1,11,80.6,48.1,79.0,50.4,50.8,2,1,43,30.8,62.1,9.8,4,4,0,0,0,1,2.3,175,5.3,78.3,23,26,5.2,2.88,1,0,0.0,65.4,17,11,5.6,32,71.1,1,8,79.3,56.8,78.4,60.4,51.9,2,0,33,27.3,78.0,9.4,3,3,0,0,0,0,0.0,134,5.2,70.0,10,11,5.7,3.02,1,0,0.0,63.6,7,2,0.0,13,28.9,0,5,73.2,39.4,73.5,41.4,58.3,0,1,14,50.0,81.3,7.7,1,1,0,0,1,1,7.1,89,8.1,0,100.0,4,4,-3.8,1.85,0,0,0.0,100.0,4,0,0.0,4,8.9,0,2,66.9,64.7,69.2,64.2,,0,0,4,,156.3,0.0,0,0,0,0,1,0,0.0,48,12.0,2.94
Patrick Mahomes,11765,QB,KC,1,-12.22,0,45,16,61.8,34,36,10.8,3.53,0,2,5.1,50.0,18,20,14.3,42,93.3,3,12,79.8,79.9,78.8,74.9,75.3,0,1,45,0.0,75.0,0.0,0,6,0,2,2,1,2.2,210,5.8,63.3,30,30,10.4,3.32,0,2,6.3,56.7,17,17,10.5,36,80.0,2,12,78.7,82.2,78.4,77.0,75.3,0,1,38,0.0,84.9,0.0,0,6,0,0,2,1,2.6,196,6.5,71.4,7,9,6.1,3.67,0,0,0.0,44.4,4,3,20.0,9,20.0,1,1,71.4,62.9,72.8,62.5,,0,0,10,0.0,53.0,0.0,0,0,0,2,0,0,0.0,30,3.3,0,100.0,3,3,-3.7,1.4,0,0,0.0,100.0,3,0,0.0,3,6.7,0,1,65.5,63.7,69.1,63.1,,0,0,3,,88.9,0.0,0,0,0,0,0,0,0.0,16,5.3,-3.2
