"","Name","ID","Salary","fpts","FPTS","proj_own","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"30","Sepp Straka",22529135,7600,59.8,52.03,10.8,0.0154,0.0149,-5e-04,-0.0325,22,9.19,0
"31","Bubba Watson",22529136,7500,61.22,44.07,5.4,0.0127,0.014,0.0013,0.1024,26,12.95,0
"32","Keith Mitchell",22529137,7500,68.8,60.96,10.4,0.0129,0.0148,0.0019,0.1473,23,14.34,0.26
"33","Kevin Kisner",22529138,7500,59.68,42.73,1.8,0.0075,0.0072,-3e-04,-0.04,46,8.98,0
"34","Christiaan Bezuidenhout",22529140,7400,65.54,48.43,4.5,0.0073,0.0071,-2e-04,-0.0274,47,9.32,0
"35","Ryan Palmer",22529141,7400,64.87,74.3,4.1,0.0067,0.0065,-2e-04,-0.0299,50,9.26,0.16
"36","Ian Poulter",22529142,7400,58.02,51.45,2.4,0.0039,0.0041,2e-04,0.0513,65,9.83,0
"37","Kurt Kitayama",22529143,7400,58.04,58.62,6.3,0.0056,0.0083,0.0027,0.4821,43,17.55,0.26
"38","Matthew NeSmith",22529144,7300,62.94,51.51,6,0.0077,0.0074,-3e-04,-0.039,45,9.29,0
"39","C.T. Pan",22529145,7300,63.85,47.83,6.7,0.0107,0.0103,-4e-04,-0.0374,38,9.39,0
"40","Tom Hoge",22529146,7300,63.86,52.35,8.3,0.0137,0.0132,-5e-04,-0.0365,31,9.49,0.08
"41","Dylan Frittelli",22529147,7300,54.31,69.92,2.2,0.0063,0.0067,4e-04,0.0635,48,10.65,0.16
"42","Luke List",22529148,7300,68.86,49.61,5.2,0.009,0.0086,-4e-04,-0.0444,41,9.22,0
"43","Mackenzie Hughes",22529149,7200,55.62,53.58,2.6,0.0083,0.008,-3e-04,-0.0361,44,9.45,0.1
"44","Shaun Norris",22529150,7200,51.83,45.37,1.2,0.0024,0.0024,0,0,90,9.45,0
"45","J.J. Spaun",22529151,7200,59.3,50.56,4.3,0.0081,0.0085,4e-04,0.0494,42,10.91,0.02
"46","Aaron Rai",22529152,7200,61.47,44.05,4.5,0.011,0.0106,-4e-04,-0.0364,36,9.52,0
"47","Charles Howell III",22529153,7200,64.62,47.22,3.4,0.0107,0.0103,-4e-04,-0.0374,38,9.49,0
"48","Matthew Wolff",22529154,7200,44.45,61.22,9.1,0.0076,0.0116,0.004,0.5263,32,21.18,0.3
"49","Patton Kizzire",22529155,7100,68.98,44.42,5.7,0.0145,0.0139,-6e-04,-0.0414,27,9.57,0
"50","David Lipsky",22529156,7100,62.75,57.82,2.1,0.0056,0.0054,-2e-04,-0.0357,55,9.47,0.1
"51","Sahith Theegala",22529157,7100,59.86,62.41,8.7,0.006,0.0067,7e-04,0.1167,48,11.53,0.2
"52","Brendon Todd",22529158,7100,57.48,51.08,1.1,0.0047,0.0045,-2e-04,-0.0426,61,9.38,0.04
"53","Matthias Schwab",22529159,7100,68.85,68.89,1.3,0.0066,0.0064,-2e-04,-0.0303,51,9.57,0.1
"54","Scott Stallings",22529160,7000,59.28,45.44,1.8,0.0096,0.0092,-4e-04,-0.0417,39,9.58,0
"55","Nick Taylor",22529161,7000,59.6,38.43,1.8,0.0043,0.0046,3e-04,0.0698,60,10.52,0
"56","Lee Westwood",22529162,7000,54.73,26.05,0.6,0.0038,0.0036,-2e-04,-0.0526,70,9.39,0
"57","Patrick Rodgers",22529163,7000,60.92,39.97,2.1,0.0056,0.0054,-2e-04,-0.0357,55,9.57,0
"58","Carlos Ortiz",22529165,7000,56.34,43.58,3.6,0.0056,0.0054,-2e-04,-0.0357,55,9.57,0
"59","Danny Willett",22529166,6900,56.25,43.58,2.5,0.0049,0.0047,-2e-04,-0.0408,58,9.59,0
