"","G","G","G","G","G","G"
"1",22529105,22529114,22529122,22529141,22529147,22529159
"2",22529105,22529121,22529122,22529125,22529141,22529147
"3",22529106,22529111,22529122,22529141,22529147,22529159
"4",22529105,22529121,22529122,22529128,22529141,22529147
"5",22529105,22529111,22529122,22529147,22529157,22529159
"6",22529105,22529111,22529122,22529141,22529156,22529159
"7",22529105,22529111,22529122,22529147,22529154,22529159
"8",22529105,22529114,22529122,22529141,22529147,22529157
"9",22529105,22529121,22529122,22529125,22529128,22529147
"10",22529105,22529122,22529125,22529126,22529128,22529141
"11",22529105,22529121,22529122,22529126,22529128,22529141
"12",22529105,22529121,22529122,22529125,22529128,22529157
"13",22529105,22529121,22529122,22529125,22529128,22529154
"14",22529105,22529121,22529122,22529125,22529126,22529157
"15",22529105,22529121,22529122,22529125,22529128,22529156
"16",22529105,22529121,22529122,22529125,22529126,22529154
"17",22529111,22529112,22529121,22529122,22529125,22529157
"18",22529111,22529112,22529122,22529125,22529128,22529157
"19",22529106,22529111,22529121,22529137,22529154,22529157
"20",22529106,22529111,22529121,22529143,22529154,22529157
"21",22529106,22529111,22529121,22529154,22529156,22529157
"22",22529111,22529112,22529114,22529137,22529154,22529157
"23",22529111,22529112,22529114,22529137,22529154,22529156
"24",22529106,22529111,22529126,22529137,22529154,22529156
"25",22529111,22529112,22529120,22529126,22529137,22529154
"26",22529111,22529112,22529120,22529126,22529129,22529154
"27",22529111,22529114,22529116,22529126,22529137,22529154
"28",22529106,22529111,22529129,22529137,22529143,22529154
"29",22529111,22529112,22529114,22529137,22529149,22529154
"30",22529111,22529112,22529116,22529126,22529143,22529154
"31",22529112,22529114,22529120,22529126,22529129,22529137
"32",22529112,22529114,22529116,22529126,22529137,22529143
"33",22529112,22529114,22529120,22529126,22529133,22529137
"34",22529106,22529114,22529126,22529129,22529137,22529149
"35",22529106,22529112,22529126,22529137,22529143,22529149
"36",22529106,22529112,22529126,22529133,22529143,22529149
"37",22529106,22529112,22529129,22529133,22529143,22529149
"38",22529106,22529112,22529129,22529133,22529143,22529146
"39",22529106,22529119,22529120,22529129,22529133,22529143
"40",22529106,22529116,22529120,22529129,22529143,22529146
"41",22529108,22529116,22529120,22529129,22529130,22529143
"42",22529113,22529116,22529119,22529120,22529129,22529143
"43",22529113,22529116,22529119,22529120,22529123,22529143
"44",22529113,22529116,22529119,22529120,22529130,22529131
"45",22529108,22529117,22529119,22529123,22529130,22529146
"46",22529108,22529117,22529119,22529123,22529131,22529146
"47",22529108,22529117,22529119,22529123,22529130,22529158
"48",22529113,22529117,22529119,22529123,22529130,22529131
"49",22529108,22529113,22529123,22529130,22529131,22529158
"50",22529108,22529113,22529123,22529130,22529131,22529151
