Purdue (1) ,82,Final
NC State,72,OT
Villanova (6) ,36,Final
Baylor (2) ,57,
Long Beach State,62,Final
USC (16) ,73,
Jackson State,37,Final
Iowa State (17) ,47,
Florida (20) ,68,Final
Maryland,70,
Rutgers,63,Final
Seton Hall (23) ,77,
Alice Lloyd,55,Final
Northern Kentucky,91,
Buffalo State,52,Final
Niagara,112,
California Baptist,54,Final
UC-Riverside,70,
UC-San Diego,51,Final
Seattle,73,
Colgate,64,Final
St. John's (NY),82,
Davidson,79,Final
Northeastern,69,
Fairfield,70,Final
William & Mary,47,
Florida A&M,66,Final
Akron,73,
Florida State,65,Final
South Carolina,66,
Green Bay,64,Final
Kansas State,82,
Hampton,54,Final
Loyola (MD),67,
Indiana-Kokomo,58,Final
Ball State,85,
Iona,91,Final
Yale,77,
John Jay,51,Final
Hofstra,102,
Kent State,50,Final
West Virginia,63,
Merrimack,49,Final
Indiana,81,
Miami (FL),72,Final
Fordham,66,
Millsaps,29,Final
Alabama-Birmingham,103,
Kansas City,56,Final
SIU-Edwardsville,60,
Monmouth,56,Final
Pitt,52,
Navy,67,Final
Marist,61,
NJIT,52,Final
Northwestern,70,
Nyack,48,Final
St. Peter's,87,
Oregon,69,Final
Stanford,72,
Presbyterian,76,Final
College of Charleston,78,OT
Southwestern (TX),54,Final
Texas State,101,
Tennessee State,73,Final
Lipscomb,65,
Tennessee Wesleyan,55,Final
Chattanooga,104,
UTEP,77,Final
New Mexico,69,
Virginia Tech,57,Final
Dayton,62,
Wofford,59,Final
Coastal Carolina,60,
