"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2022-01-30T20:00:00Z","CIN","29","16","1.01","21","33","-29","23","KC","34","13","1.5","24","29"
"2022-01-30T20:00:00Z","KC","24","11","1.62","23","48","17","68","CIN","34","17","1.34","18","50"
"2022-01-30T23:30:00Z","LA","21","20","1.42","17","53","-8","38","SF","35","17","1.06","22","45"
"2022-01-30T23:30:00Z","SF","23","14","1.11","19","63","-47","45","LA","35","17","1.01","31","48"
