player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,4,-3.89,0,184,7,71.7,138,146,8.6,2.61,2,5,3.2,64.4,94,58,5.1,174,94.6,5,59,,52.3,66.5,20.6,65.3,60.0,68.0,2,4,183,27.6,93.3,9.2,16,11,0,4,8,8,4.4,1077,7.4,73.0,115,120,7.2,2.51,1,2,1.6,65.0,78,47,7.1,145,78.8,6,49,,46.1,60.0,14.3,59.5,60.0,64.3,1,4,153,29.8,91.3,9.7,14,10,0,3,7,7,4.6,850,7.1,71.0,31,36,10.9,2.81,2,3,7.9,61.1,22,12,0.0,39,21.2,0,11,,79.2,80.7,77.3,76.9,,65.9,1,0,41,16.7,91.1,5.1,2,1,0,2,1,1,2.4,249,6.9,0,87.5,8,10,-1.9,1.86,1,0,0.0,60.0,6,1,14.3,10,5.4,1,1,,71.9,58.4,72.6,58.3,,,0,0,11,0.0,64.6,0.0,0,0,0,1,0,0,0.0,22,2.2,-0.16
Joe Flacco,4332,QB,NYJ,3,11.08,0,165,22,72.8,125,146,9.2,2.69,4,3,2.0,56.8,83,61,8.8,156,94.5,8,47,,29.0,54.0,83.6,53.5,,61.5,7,3,162,14.8,76.9,5.8,9,1,0,10,5,6,3.7,862,5.9,73.9,111,130,7.9,2.59,4,1,0.8,56.9,74,49,9.8,137,83.0,8,39,,27.6,49.2,83.3,48.7,,61.5,6,3,142,12.2,75.7,4.4,6,1,0,9,5,5,3.5,717,5.5,78.3,23,25,10.6,2.81,0,2,7.1,68.0,17,12,5.6,28,17.0,1,10,,77.6,74.7,76.3,73.4,,,1,0,31,25.0,89.4,10.7,3,0,0,1,0,1,3.2,184,7.4,0,100.0,9,9,-3.2,1.47,0,0,0.0,88.9,8,0,11.1,9,5.5,1,2,,71.9,67.7,72.6,67.0,,,0,0,11,,84.7,0.0,0,0,0,0,0,0,0.0,39,4.3,1.84
Carson Wentz,10636,QB,WAS,3,-15.48,0,153,32,74.0,104,115,9.6,2.81,4,5,4.0,61.7,71,50,7.8,138,90.2,6,42,,65.3,64.7,41.3,64.0,,64.1,2,2,149,30.0,95.3,10.9,15,8,0,5,7,5,3.4,792,6.9,80.8,78,83,8.6,2.68,2,4,4.4,68.7,57,37,9.5,102,66.7,6,33,,85.7,74.5,32.7,73.1,,68.3,1,1,109,35.1,102.3,12.7,13,6,0,2,4,2,1.8,637,7.7,67.5,40,47,7.3,2.79,2,1,2.0,53.2,25,16,7.4,51,33.3,2,11,,34.9,44.3,78.4,46.0,,54.5,2,2,56,12.5,69.8,3.9,2,2,0,3,3,4,7.1,224,4.8,0,92.9,14,15,-2.9,1.87,0,0,0.0,73.3,11,3,15.4,15,9.8,2,2,,73.9,56.9,73.9,56.9,,,1,1,16,0.0,54.6,0.0,0,0,0,0,0,1,6.3,69,4.6,-2.9
Kyler Murray,38334,QB,ARZ,3,-7.86,0,151,1,72.6,106,117,8.5,2.6,3,5,4.0,61.5,72,34,6.5,127,84.1,5,36,,87.6,70.9,83.3,65.3,,84.3,1,1,138,14.7,81.3,3.9,5,5,0,7,3,3,2.2,645,5.5,77.3,110,120,5.9,2.32,3,5,3.9,65.0,78,24,8.2,128,84.8,7,37,,87.6,73.8,83.3,68.6,,83.0,1,1,138,16.7,85.6,3.1,4,4,0,6,3,3,2.2,704,5.9,66.7,18,21,9.2,3.12,0,0,0.0,57.1,12,12,0.0,23,15.2,0,4,,76.1,56.2,75.3,54.2,,63.1,0,0,24,8.3,65.8,4.3,1,1,0,3,0,0,0.0,81,3.9,0,90.9,22,24,-3.6,1.64,0,0,0.0,75.0,18,2,10.0,24,15.9,2,5,,76.1,68.1,75.3,67.4,,,0,0,24,0.0,88.9,0.0,0,0,0,2,0,0,0.0,140,5.8,-2.01
Josh Allen,46601,QB,BUF,3,6.2,0,151,4,78.9,109,121,7.9,2.71,4,8,6.4,70.2,85,46,1.2,139,92.1,1,55,,65.4,77.0,34.8,70.1,,88.6,1,2,143,15.2,108.6,5.0,7,11,1,6,8,8,5.6,952,7.9,78.8,85,95,6.6,2.48,3,6,6.1,69.5,66,37,1.5,112,74.2,1,42,,60.5,73.8,28.0,67.2,,85.1,1,2,116,18.9,93.8,6.3,7,9,1,5,4,6,5.2,650,6.8,85.3,34,37,8.4,2.96,1,2,5.4,75.7,28,10,3.4,39,25.8,1,17,,78.9,76.1,77.1,71.7,,73.1,0,0,39,0.0,145.7,0.0,0,2,0,2,5,2,5.1,364,9.8,0,100.0,10,11,-2.3,1.38,0,0,0.0,81.8,9,1,10.0,12,7.9,1,4,,72.4,64.3,72.9,63.9,,,0,0,12,0.0,120.5,0.0,0,0,0,1,1,0,0.0,62,5.6,3.0
Matt Ryan,4317,QB,IND,3,-12.5,0,132,14,71.9,96,105,8.6,2.74,3,1,0.9,61.0,64,38,7.2,120,90.9,5,38,,20.8,54.8,83.2,55.4,,50.9,2,3,123,31.6,79.0,10.0,12,3,0,4,3,7,5.7,718,6.8,75.9,87,93,6.4,2.49,2,1,1.0,66.7,62,31,6.1,102,77.3,4,30,,25.1,61.6,82.9,63.0,,43.2,2,3,106,25.8,77.4,7.8,8,1,0,2,2,5,4.7,581,6.2,66.7,21,24,10.3,3.12,1,0,0.0,54.2,13,7,7.1,30,22.7,1,10,,19.3,39.8,76.3,38.2,,66.4,0,1,31,57.1,76.4,13.3,4,2,0,2,1,3,9.7,188,7.8,0,91.7,12,12,-4.1,1.54,0,0,0.0,91.7,11,0,0.0,12,9.1,0,2,,73.2,57.2,73.5,57.3,,,0,1,14,,49.7,0.0,0,0,0,0,0,1,7.1,51,4.3,1.58
Justin Herbert,28237,QB,LAC,3,-1.67,0,132,27,74.5,106,116,8.5,2.85,3,5,4.2,64.7,75,52,5.1,121,91.7,4,36,,62.4,70.9,83.0,68.6,,68.5,2,2,126,5.8,99.0,2.5,3,2,0,5,7,3,2.4,838,7.2,74.1,81,87,7.5,2.63,0,3,3.3,66.7,58,34,3.3,91,68.9,2,26,,55.1,68.2,82.3,66.9,,61.8,1,1,94,5.9,98.3,2.2,2,2,0,5,4,3,3.2,628,7.2,82.4,34,40,7.1,3.18,4,2,4.9,65.0,26,19,7.1,41,31.1,2,15,,79.5,71.3,77.5,68.3,60.0,65.6,1,1,43,5.3,100.2,2.4,1,0,0,1,3,0,0.0,282,7.1,0,100.0,9,11,-5.3,2.22,1,0,0.0,81.8,9,1,0.0,11,8.3,0,5,,71.9,63.1,72.9,63.3,60.0,,0,0,11,0.0,93.9,0.0,0,0,0,1,0,0,0.0,72,6.5,-0.17
Derek Carr,8671,QB,LV,3,25.07,0,130,23,68.8,96,108,10.6,2.68,1,5,4.3,58.3,63,36,4.5,118,90.8,3,45,,35.9,60.2,83.0,58.0,,72.6,6,4,127,19.4,81.9,5.9,7,3,0,5,5,8,6.3,809,7.5,68.1,91,103,9.6,2.54,2,4,3.6,57.3,59,29,4.8,111,85.4,3,39,,32.6,54.2,82.8,53.2,,64.2,5,4,118,20.7,80.7,5.4,6,2,0,5,6,8,6.8,684,6.6,93.3,15,17,7.7,2.82,0,1,5.0,82.4,14,8,0.0,19,14.6,0,8,,75.6,81.8,75.3,77.3,60.0,65.9,1,0,22,12.5,107.4,5.3,1,1,0,1,0,0,0.0,166,9.8,0,100.0,10,12,-3.1,1.62,1,0,0.0,83.3,10,1,0.0,12,9.2,0,2,,72.8,63.8,73.5,64.0,60.0,,0,0,13,0.0,108.7,0.0,0,0,0,1,1,0,0.0,41,3.4,3.12
Jameis Winston,9434,QB,NO,3,-24.35,0,129,20,70.3,101,109,12.8,2.69,1,7,6.0,62.4,68,39,4.2,123,95.3,3,34,,37.4,65.4,83.1,67.0,,37.5,1,5,130,28.2,79.6,8.9,11,3,2,4,4,7,5.4,849,7.8,72.6,95,103,11.1,2.53,2,7,6.4,66.0,68,34,1.4,115,89.1,1,33,,34.6,66.8,82.9,69.4,,29.2,1,4,122,29.4,86.8,8.7,10,2,2,3,4,6,4.9,813,7.9,63.6,11,12,20.1,3.5,0,0,0.0,41.7,5,6,28.6,14,10.9,2,2,,73.5,55.7,73.7,51.3,,65.9,0,1,15,16.7,17.7,7.1,1,1,0,1,0,1,6.7,45,3.8,0,100.0,5,6,-3.8,1.5,1,0,0.0,83.3,5,1,0.0,6,4.7,0,1,,69.6,60.8,71.1,60.6,,,0,0,7,0.0,79.2,0.0,0,0,0,0,0,0,0.0,9,1.5,-4.14
Kirk Cousins,7102,QB,MIN,3,15.88,0,125,18,72.6,95,106,7.9,2.78,1,4,3.5,61.3,65,41,5.8,112,89.6,4,41,,60.4,72.4,34.7,71.2,,66.7,3,3,120,9.8,84.6,3.6,4,2,1,6,5,4,3.3,700,6.6,67.9,78,85,6.5,2.48,0,3,3.4,57.6,49,31,7.5,89,71.2,4,29,,53.8,62.3,27.7,61.0,,68.3,2,3,94,9.7,63.4,3.4,3,1,1,4,1,4,4.3,491,5.8,89.7,29,34,6.8,3.18,1,1,2.7,73.5,25,13,3.8,36,28.8,1,16,,78.9,88.8,77.1,87.8,,58.3,2,0,39,7.7,135.3,2.8,1,1,0,2,4,0,0.0,267,7.9,0,83.3,12,13,-4.0,1.83,0,0,0.0,69.2,9,3,10.0,13,10.4,1,4,,72.8,66.7,73.2,66.1,,,1,0,13,0.0,78.4,0.0,0,0,0,0,0,0,0.0,58,4.5,2.07
