"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Baker Mayfield","TB","TEN","QB","5100","18.0","2.1","8.9","10.4","30754562","9.0","27.6"
"Marquise Brown","ARI","ATL","WR","5200","15.2","1.9","26.9","29.6","30754896","5.1","28.2"
"Trey McBride","ARI","ATL","TE","3500","11.8","1.9","29.2","38.2","30755246","3.9","22.1"
"Joe Burrow","CIN","HOU","QB","6800","22.8","1.8","16.9","18.4","30754547","12.8","33.7"
"Evan Engram","JAX","SF","TE","4500","13.8","1.8","21.1","22.5","30755232","5.2","24.8"
"Geno Smith","SEA","WAS","QB","5800","19.8","1.8","14.8","15.8","30754553","10.3","30.2"
"Joe Mixon","CIN","HOU","RB","6200","17.0","1.7","28.9","42.0","30754630","7.3","29.2"
"Ja'Marr Chase","CIN","HOU","WR","8600","21.8","1.7","23.1","28.5","30754850","8.6","37.5"
"Cowboys ","DAL","NYG","DST","4400","11.4","1.6","24.5","33.6","30755438","5.0","18.3"
"Tank Dell","HOU","CIN","WR","5500","15.3","1.4","23.6","28.0","30754890","4.6","29.1"
"Tyler Boyd","CIN","HOU","WR","4600","13.3","1.2","20.1","20.4","30754904","4.2","25.1"
"Trenton Irwin","CIN","HOU","WR","3000","10.1","1.2","15.1","17.9","30755074","2.2","20.6"
"Dalton Schultz","HOU","CIN","TE","4900","13.9","1.2","13.8","16.7","30755228","4.6","25.8"
"Tony Pollard","DAL","NYG","RB","7300","18.5","1.1","21.8","23.5","30754618","7.6","32.0"
"Brock Purdy","SF","JAX","QB","5700","18.7","1.0","9.7","10.0","30754555","9.3","29.1"
"Taylor Heinicke","ATL","ARI","QB","5100","16.7","0.9","3.2","2.9","30754561","8.3","26.1"
"Bijan Robinson","ATL","ARI","RB","6000","15.8","0.9","18.4","21.4","30754634","6.0","27.9"
"Amon-Ra St. Brown","DET","LAC","WR","8300","20.4","0.9","20.4","25.3","30754854","8.5","34.9"
"Cardinals ","ARI","ATL","DST","2500","6.9","0.9","10.9","13.3","30755455","1.1","13.8"
"Bengals ","CIN","HOU","DST","2800","7.4","0.9","10.7","12.0","30755452","2.0","14.9"
"CeeDee Lamb","DAL","NYG","WR","8500","20.6","0.8","12.9","12.8","30754852","7.8","36.4"
"T.J. Hockenson","MIN","NO","TE","5000","13.7","0.8","18.5","22.2","30755226","4.9","24.9"
"Christian McCaffrey","SF","JAX","RB","9200","22.0","0.8","13.8","13.7","30754608","9.5","36.7"
"Rachaad White","TB","TEN","RB","5800","15.2","0.8","23.5","26.2","30754638","6.6","26.1"
"Sam Howell","WAS","SEA","QB","5900","19.0","0.7","4.9","6.1","30754552","9.7","29.0"
"DeAndre Hopkins","TEN","TB","WR","6000","15.5","0.6","15.7","16.6","30754876","4.8","29.4"
"Joshua Dobbs","MIN","NO","QB","5500","17.5","0.5","4.2","4.5","30754557","8.6","27.2"
"Seahawks ","SEA","WAS","DST","4100","9.6","0.5","9.1","8.5","30755439","3.5","17.1"
"Aaron Jones","GB","PIT","RB","6500","16.3","0.4","13.4","12.4","30754628","6.5","28.3"
"Najee Harris","PIT","GB","RB","4900","13.1","0.4","16.1","15.7","30754652","4.9","23.8"
"Browns ","CLE","BAL","DST","3000","7.4","0.4","4.9","3.9","30755450","1.6","15.0"
"Devin Singletary","HOU","CIN","RB","4700","12.7","0.3","9.1","9.4","30754664","4.6","23.2"
"Christian Kirk","JAX","SF","WR","6000","15.1","0.3","10.8","8.9","30754878","5.1","27.7"
"Buccaneers ","TB","TEN","DST","3500","8.3","0.3","6.9","6.5","30755445","2.2","15.2"
"Dak Prescott","DAL","NYG","QB","6700","20.9","0.2","10.8","10.8","30754548","11.0","31.5"
"Terry McLaurin","WAS","SEA","WR","5800","14.7","0.2","12.4","12.9","30754882","4.9","27.3"
"Sam LaPorta","DET","LAC","TE","5700","14.4","0.1","10.9","7.8","30755222","4.7","27.0"
"Robert Woods","HOU","CIN","WR","4000","11.0","0.1","5.1","5.3","30754918","3.1","21.3"
"Austin Ekeler","LAC","DET","RB","8400","19.8","0.1","14.0","9.2","30754610","8.2","33.3"
"Tyler Lockett","SEA","WAS","WR","6100","15.2","0.1","11.2","8.3","30754874","4.8","28.7"
"Travis Etienne Jr.","JAX","SF","RB","7100","17.1","0.0","18.7","22.6","30754620","7.4","28.8"
"Ravens ","BAL","CLE","DST","4000","8.9","-0.1","7.8","6.8","30755440","3.0","16.0"
"Lions ","DET","LAC","DST","3100","7.0","-0.1","2.5","1.0","30755449","1.3","14.8"
"Steelers ","PIT","GB","DST","3800","8.3","-0.2","3.6","2.4","30755442","2.0","15.0"
"Titans ","TEN","TB","DST","3300","7.3","-0.2","1.6","1.1","30755447","1.7","14.4"
"Noah Brown","HOU","CIN","WR","3700","10.0","-0.3","9.6","8.0","30754932","2.3","20.1"
