Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3771572767,healthdude82 (3/10),90,390.5,G Scottie Scheffler G Justin Rose G Harris English G Emiliano Grillo G Hayden Buckley G Harry Hall,,Scottie Scheffler,G,41.16%,56
2,3771048992,PlatypusBrigade (17/20),108,390,G Scottie Scheffler G Brian Harman G Byeong Hun An G Harris English G Emiliano Grillo G Ben Martin,,Jordan Spieth,G,23.53%,20
3,3769495294,postalwolf (2/20),108,386,G Viktor Hovland G Collin Morikawa G Harris English G Emiliano Grillo G Justin Suh G Andrew Novak,,Tommy Fleetwood,G,20.57%,21
3,3771002473,stargell8pops,108,386,G Viktor Hovland G Rickie Fowler G Brian Harman G Harris English G Emiliano Grillo G Akshay Bhatia,,Justin Rose,G,19.04%,52
5,3772100762,mayhuz4vthokies (8/9),107,384,G Scottie Scheffler G Viktor Hovland G Harris English G Justin Suh G Akshay Bhatia G Carson Young,,Viktor Hovland,G,17.42%,65
5,3769353902,CRNaro,94,384,G Scottie Scheffler G Viktor Hovland G Rickie Fowler G Akshay Bhatia G Harry Hall G Erik Compton,,Eric Cole,G,17.29%,22.5
5,3770579746,dlaw-n-boys2019,94,384,G Scottie Scheffler G Viktor Hovland G Rickie Fowler G Akshay Bhatia G Harry Hall G Erik Compton,,Sungjae Im,G,16.77%,25.5
5,3771641987,emmy63,94,384,G Scottie Scheffler G Viktor Hovland G Rickie Fowler G Akshay Bhatia G Harry Hall G Erik Compton,,Rickie Fowler,G,15.33%,51
5,3772159777,pdonadio (4/4),94,384,G Scottie Scheffler G Viktor Hovland G Rickie Fowler G Akshay Bhatia G Harry Hall G Erik Compton,,Cameron Davis,G,13.63%,27
10,3771935207,TKyleM89 (11/20),108,381.5,G Scottie Scheffler G Viktor Hovland G Byeong Hun An G Sam Stevens G Andrew Novak G Harry Hall,,Brendon Todd,G,12.98%,43
11,3771852771,wahoo21 (2/3),108,375.5,G Scottie Scheffler G Justin Rose G Harris English G Emiliano Grillo G Sepp Straka G Akshay Bhatia,,Christiaan Bezuidenhout,G,12.79%,45
11,3771971140,KDsBoyz,100,375.5,G Scottie Scheffler G Viktor Hovland G Kurt Kitayama G Sepp Straka G Akshay Bhatia G Harry Hall,,Denny McCarthy,G,12.01%,23.5
13,3771846443,lancer8233,99,372.5,G Viktor Hovland G Kyoung-Hoon Lee G Byeong Hun An G Harris English G Emiliano Grillo G Patrick Rodgers,,Tony Finau,G,11.96%,22.5
14,3770593805,annabella001 (4/7),90,371,G Scottie Scheffler G Max Homa G Harris English G Lucas Herbert G Ben Martin G Harry Hall,,Hayden Buckley,G,11.88%,27.5
15,3770073095,Mymoney3 (1/20),108,370.5,G Scottie Scheffler G Sam Burns G Min Woo Lee G Emiliano Grillo G Robby Shelton G Harry Hall,,Stephan Jaeger,G,11.85%,44.5
16,3772087331,mattels1991,107,370,G Scottie Scheffler G Viktor Hovland G Rickie Fowler G Andrew Novak G Harry Hall G Carson Young,,Emiliano Grillo,G,11.80%,73
17,3771556282,He-man24 (11/20),108,369,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Aaron Rai G Akshay Bhatia G Kevin Streelman,,Akshay Bhatia,G,11.29%,60
17,3771935197,TKyleM89 (1/20),90,369,G Scottie Scheffler G Viktor Hovland G Byeong Hun An G Nate Lashley G Ben Martin G Harry Hall,,Collin Morikawa,G,11.26%,46
19,3769808702,texas111 (5/20),107,368.5,G Scottie Scheffler G Justin Rose G Harris English G Emiliano Grillo G Mark Hubbard G Carson Young,,Max Homa,G,10.14%,53
19,3772007464,mich1727,96,368.5,G Viktor Hovland G Max Homa G Kyoung-Hoon Lee G Justin Suh G Joel Dahmen G Harry Hall,,Sepp Straka,G,9.90%,50.5
21,3772071218,krav4747 (15/20),108,368,G Max Homa G Justin Rose G Harris English G Emiliano Grillo G Ryan Fox G Patrick Rodgers,,Thomas Detry,G,9.15%,45
