player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,1,1,1,2.666
"Rahm, Jon",PGA TOUR,2,-1,2,-1,2.507
"Schauffele, Xander",PGA TOUR,3,0,5,0,2.277
"Cantlay, Patrick",PGA TOUR,4,0,4,0,2.213
"McIlroy, Rory",PGA TOUR,5,1,3,0,2.111
"Finau, Tony",PGA TOUR,6,-1,12,0,1.797
"Hatton, Tyrrell",PGA TOUR,7,1,18,-1,1.736
"Hovland, Viktor",PGA TOUR,8,8,6,5,1.718
"Im, Sungjae",PGA TOUR,9,-2,19,-1,1.551
"Smith, Cameron",LIV Tour,10,8,8,0,1.529
"Morikawa, Collin",PGA TOUR,11,3,17,-1,1.488
"Spieth, Jordan",PGA TOUR,12,0,11,-1,1.474
"Day, Jason",PGA TOUR,13,-4,22,-2,1.469
"Thomas, Justin",PGA TOUR,14,-4,15,-2,1.396
"Clark, Wyndham",PGA TOUR,15,-4,33,-1,1.377
"Homa, Max",PGA TOUR,16,-3,7,-1,1.374
"Koepka, Brooks",LIV Tour,17,19,13,31,1.372
"Fitzpatrick, Matthew",PGA TOUR,18,-1,9,-2,1.358
"Young, Cameron",PGA TOUR,19,-4,16,-1,1.329
"Fleetwood, Tommy",PGA TOUR,20,3,23,0,1.313
"Rose, Justin",PGA TOUR,21,12,29,4,1.298
"Conners, Corey",PGA TOUR,22,5,28,1,1.271
"Johnson, Dustin",LIV Tour,23,-4,82,0,1.242
"Fowler, Rickie",PGA TOUR,24,-4,52,-3,1.234
"Henley, Russell",PGA TOUR,25,-3,31,-4,1.21
"Matsuyama, Hideki",PGA TOUR,26,-1,25,-1,1.188
"Zalatoris, Will",PGA TOUR,27,-3,10,-1,1.157
"Bradley, Keegan",PGA TOUR,28,1,24,-2,1.141
"McCarthy, Denny",PGA TOUR,29,5,54,1,1.122
"Reed, Patrick",LIV Tour,30,7,44,4,1.109
"Theegala, Sahith",PGA TOUR,31,0,27,-2,1.095
"Pereira, Mito",PGA TOUR,32,6,50,6,1.09
"Niemann, Joaquin",LIV Tour,33,-7,30,-2,1.046
"Kuchar, Matt",PGA TOUR,34,-6,51,-2,1.031
"Burns, Sam",PGA TOUR,35,-14,14,0,1.007
"Kim, Tom",PGA TOUR,36,-6,21,-2,0.992
"Scott, Adam",PGA TOUR,37,4,40,-2,0.967
"Kirk, Chris",PGA TOUR,38,4,36,-1,0.965
"Howell III, Charles",LIV Tour,39,1,379,-4,0.955
"Kim, Si Woo",PGA TOUR,40,-1,38,-2,0.938
"Lee, Kyounghoon",PGA TOUR,41,2,43,-1,0.911
"Gooch, Talor",LIV Tour,42,-7,67,-4,0.894
"Moore, Taylor",PGA TOUR,43,-11,45,0,0.886
"Lowry, Shane",PGA TOUR,44,8,26,0,0.885
"Varner III, Harold",LIV Tour,45,5,64,1,0.795
"Taylor, Nick",PGA TOUR,46,-1,66,-2,0.786
"Todd, Brendon",PGA TOUR,47,-3,72,-3,0.775
"Rodgers, Patrick",PGA TOUR,48,6,101,4,0.753
"Jaeger, Stephan",PGA TOUR,49,0,116,1,0.748
"Davis, Cameron",PGA TOUR,50,33,49,19,0.737
"Buckley, Hayden",PGA TOUR,51,5,71,5,0.73
"Hadwin, Adam",PGA TOUR,52,1,69,2,0.721
"Harman, Brian",PGA TOUR,53,-5,37,-3,0.719
"Woodland, Gary",PGA TOUR,54,-8,77,-2,0.706
"Hoge, Tom",PGA TOUR,55,-8,32,-2,0.695
"Poston, J.T.",PGA TOUR,56,2,56,-2,0.678
"Meronk, Adrian",DP World Tour,57,5,47,0,0.665
"Kitayama, Kurt",PGA TOUR,58,42,20,1,0.657
"Svensson, Adam",PGA TOUR,59,7,58,0,0.626
"Cole, Eric",PGA TOUR,60,24,103,19,0.617
"Putnam, Andrew",PGA TOUR,61,-4,73,-1,0.617
"Spaun, J.J.",PGA TOUR,62,-11,75,-1,0.616
"Hossler, Beau",PGA TOUR,63,6,121,10,0.614
"Garcia, Sergio",LIV Tour,64,-5,206,-6,0.578
"Fox, Ryan",DP World Tour,65,33,41,0,0.577
"Steele, Brendan",PGA TOUR,66,-6,143,-2,0.567
"Herbert, Lucas",PGA TOUR,67,14,48,-2,0.559
"Power, Seamus",PGA TOUR,68,-13,42,-3,0.548
"Noren, Alex",PGA TOUR,69,-6,60,-3,0.546
