datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Rai, Aaron","Aaron Rai",150,28078749,7000,28.616,N/A,0,55.9,2.9,0,58.8,0.45,100,5,
"Dahmen, Joel","Joel Dahmen",150,28078750,7000,27.142,N/A,0,50.9,1.9,0,52.8,-0.03,100,5,
"Norrman, Vincent","Vincent Norrman",150,28078748,7000,27.211,N/A,0,49,1.7,0,50.7,-0.14,100,5,
"Lashley, Nate","Nate Lashley",150,28078752,6900,27.491,N/A,0,51.1,2.1,0,53.2,0.04,100,5,
"Block, Michael","Michael Block",57,28078754,6900,20.496,N/A,0,32.8,0.3,0,33.2,-1,100,5,
"List, Luke","Luke List",150,28078753,6900,26.653,N/A,0,48,1.5,0,49.5,-0.17,100,5,
"Reavie, Chez","Chez Reavie",150,28078755,6900,27.606,N/A,0,50.2,1.9,0,52.1,-0.03,100,5,
"Stallings, Scott","Scott Stallings",150,28078751,6900,28.220,N/A,0,52.9,2.2,0,55.1,0.2,100,5,
"Noren, Alex","Alex Noren",150,28078758,6800,27.768,N/A,0,52,2.2,0,54.3,0.18,100,5,
"Schenk, Adam","Adam Schenk",150,28078756,6800,27.924,N/A,0,51.6,2,0,53.6,0.12,100,5,
"Griffin, Ben","Ben Griffin",150,28078757,6800,28.555,N/A,0,54.8,2.6,0,57.4,0.44,100,5,
"Martin, Ben","Ben Martin",150,28078760,6800,28.493,N/A,0,53.7,2.4,0,56.1,0.34,100,5,
"Champ, Cameron","Cameron Champ",150,28078759,6800,25.361,N/A,0,43,1,0,44,-0.41,100,5,
"Bhatia, Akshay","Akshay Bhatia",150,28078763,6700,27.945,N/A,0,51.6,2.1,0,53.7,0.19,100,5,
"Eckroat, Austin","Austin Eckroat",150,28078761,6700,27.229,N/A,0,49.3,1.7,0,51,-0.02,100,5,
"Kim, Michael","Michael Kim",150,28078764,6700,27.074,N/A,0,49.5,1.7,0,51.3,-0.01,100,5,
"Hardy, Nick","Nick Hardy",150,28078765,6700,27.050,N/A,0,49.9,1.8,0,51.7,0.02,100,5,
"Wallace, Matt","Matt Wallace",150,28078762,6700,27.217,N/A,0,49.4,1.7,0,51.2,-0.01,100,5,
"Wu, Dylan","Dylan Wu",150,28078767,6600,27.366,N/A,0,51.1,2,0,53.1,0.19,100,5,
"Hodges, Lee","Lee Hodges",150,28078768,6600,28.257,N/A,0,53.2,2.2,0,55.4,0.38,100,5,
"Higgo, Garrick","Garrick Higgo",150,28078766,6600,27.661,N/A,0,50.7,1.9,0,52.7,0.16,100,5,
"Hubbard, Mark","Mark Hubbard",150,28078769,6600,27.779,N/A,0,53.2,2.3,0,55.5,0.4,100,5,
"Norlander, Henrik","Henrik Norlander",150,28078770,6600,25.206,N/A,0,44.5,1.2,0,45.6,-0.26,100,5,
